"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Aiken County, SC","45003","American Indian or Alaska Native","1002-5",Suppressed
,"Aiken County, SC","45003","Asian","A",30
,"Aiken County, SC","45003","Black or African American","2054-5",580
,"Aiken County, SC","45003","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Aiken County, SC","45003","White","2106-3",1255
,"Aiken County, SC","45003","More than one race","M",61
,"Aiken County, SC","45003","Unknown or Not Stated","UNK",0
,"Aiken County, SC","45003","Not Available","NA",0
,"Aiken County, SC","45003","Not Reported","NR",0
,"Anderson County, SC","45007","American Indian or Alaska Native","1002-5",Suppressed
,"Anderson County, SC","45007","Asian","A",31
,"Anderson County, SC","45007","Black or African American","2054-5",394
,"Anderson County, SC","45007","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Anderson County, SC","45007","White","2106-3",1802
,"Anderson County, SC","45007","More than one race","M",62
,"Anderson County, SC","45007","Unknown or Not Stated","UNK",0
,"Anderson County, SC","45007","Not Available","NA",0
,"Anderson County, SC","45007","Not Reported","NR",0
,"Beaufort County, SC","45013","American Indian or Alaska Native","1002-5",Suppressed
,"Beaufort County, SC","45013","Asian","A",34
,"Beaufort County, SC","45013","Black or African American","2054-5",412
,"Beaufort County, SC","45013","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Beaufort County, SC","45013","White","2106-3",1366
,"Beaufort County, SC","45013","More than one race","M",51
,"Beaufort County, SC","45013","Unknown or Not Stated","UNK",0
,"Beaufort County, SC","45013","Not Available","NA",0
,"Beaufort County, SC","45013","Not Reported","NR",0
,"Berkeley County, SC","45015","American Indian or Alaska Native","1002-5",12
,"Berkeley County, SC","45015","Asian","A",70
,"Berkeley County, SC","45015","Black or African American","2054-5",718
,"Berkeley County, SC","45015","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Berkeley County, SC","45015","White","2106-3",1952
,"Berkeley County, SC","45015","More than one race","M",119
,"Berkeley County, SC","45015","Unknown or Not Stated","UNK",0
,"Berkeley County, SC","45015","Not Available","NA",0
,"Berkeley County, SC","45015","Not Reported","NR",0
,"Charleston County, SC","45019","American Indian or Alaska Native","1002-5",26
,"Charleston County, SC","45019","Asian","A",97
,"Charleston County, SC","45019","Black or African American","2054-5",1269
,"Charleston County, SC","45019","Native Hawaiian or Other Pacific Islander","NHOPI",16
,"Charleston County, SC","45019","White","2106-3",3504
,"Charleston County, SC","45019","More than one race","M",122
,"Charleston County, SC","45019","Unknown or Not Stated","UNK",0
,"Charleston County, SC","45019","Not Available","NA",0
,"Charleston County, SC","45019","Not Reported","NR",0
,"Dorchester County, SC","45035","American Indian or Alaska Native","1002-5",10
,"Dorchester County, SC","45035","Asian","A",40
,"Dorchester County, SC","45035","Black or African American","2054-5",550
,"Dorchester County, SC","45035","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Dorchester County, SC","45035","White","2106-3",1260
,"Dorchester County, SC","45035","More than one race","M",77
,"Dorchester County, SC","45035","Unknown or Not Stated","UNK",0
,"Dorchester County, SC","45035","Not Available","NA",0
,"Dorchester County, SC","45035","Not Reported","NR",0
,"Florence County, SC","45041","American Indian or Alaska Native","1002-5",Suppressed
,"Florence County, SC","45041","Asian","A",39
,"Florence County, SC","45041","Black or African American","2054-5",743
,"Florence County, SC","45041","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Florence County, SC","45041","White","2106-3",795
,"Florence County, SC","45041","More than one race","M",32
,"Florence County, SC","45041","Unknown or Not Stated","UNK",0
,"Florence County, SC","45041","Not Available","NA",0
,"Florence County, SC","45041","Not Reported","NR",0
,"Greenville County, SC","45045","American Indian or Alaska Native","1002-5",41
,"Greenville County, SC","45045","Asian","A",169
,"Greenville County, SC","45045","Black or African American","2054-5",1349
,"Greenville County, SC","45045","Native Hawaiian or Other Pacific Islander","NHOPI",28
,"Greenville County, SC","45045","White","2106-3",4843
,"Greenville County, SC","45045","More than one race","M",191
,"Greenville County, SC","45045","Unknown or Not Stated","UNK",0
,"Greenville County, SC","45045","Not Available","NA",0
,"Greenville County, SC","45045","Not Reported","NR",0
,"Horry County, SC","45051","American Indian or Alaska Native","1002-5",21
,"Horry County, SC","45051","Asian","A",62
,"Horry County, SC","45051","Black or African American","2054-5",591
,"Horry County, SC","45051","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Horry County, SC","45051","White","2106-3",2439
,"Horry County, SC","45051","More than one race","M",121
,"Horry County, SC","45051","Unknown or Not Stated","UNK",0
,"Horry County, SC","45051","Not Available","NA",0
,"Horry County, SC","45051","Not Reported","NR",0
,"Lexington County, SC","45063","American Indian or Alaska Native","1002-5",11
,"Lexington County, SC","45063","Asian","A",94
,"Lexington County, SC","45063","Black or African American","2054-5",723
,"Lexington County, SC","45063","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Lexington County, SC","45063","White","2106-3",2458
,"Lexington County, SC","45063","More than one race","M",94
,"Lexington County, SC","45063","Unknown or Not Stated","UNK",0
,"Lexington County, SC","45063","Not Available","NA",0
,"Lexington County, SC","45063","Not Reported","NR",0
,"Pickens County, SC","45077","American Indian or Alaska Native","1002-5",Suppressed
,"Pickens County, SC","45077","Asian","A",20
,"Pickens County, SC","45077","Black or African American","2054-5",72
,"Pickens County, SC","45077","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Pickens County, SC","45077","White","2106-3",1031
,"Pickens County, SC","45077","More than one race","M",38
,"Pickens County, SC","45077","Unknown or Not Stated","UNK",0
,"Pickens County, SC","45077","Not Available","NA",0
,"Pickens County, SC","45077","Not Reported","NR",0
,"Richland County, SC","45079","American Indian or Alaska Native","1002-5",13
,"Richland County, SC","45079","Asian","A",122
,"Richland County, SC","45079","Black or African American","2054-5",2543
,"Richland County, SC","45079","Native Hawaiian or Other Pacific Islander","NHOPI",23
,"Richland County, SC","45079","White","2106-3",1740
,"Richland County, SC","45079","More than one race","M",157
,"Richland County, SC","45079","Unknown or Not Stated","UNK",0
,"Richland County, SC","45079","Not Available","NA",0
,"Richland County, SC","45079","Not Reported","NR",0
,"Spartanburg County, SC","45083","American Indian or Alaska Native","1002-5",Suppressed
,"Spartanburg County, SC","45083","Asian","A",90
,"Spartanburg County, SC","45083","Black or African American","2054-5",848
,"Spartanburg County, SC","45083","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Spartanburg County, SC","45083","White","2106-3",2826
,"Spartanburg County, SC","45083","More than one race","M",106
,"Spartanburg County, SC","45083","Unknown or Not Stated","UNK",0
,"Spartanburg County, SC","45083","Not Available","NA",0
,"Spartanburg County, SC","45083","Not Reported","NR",0
,"Sumter County, SC","45085","American Indian or Alaska Native","1002-5",Suppressed
,"Sumter County, SC","45085","Asian","A",29
,"Sumter County, SC","45085","Black or African American","2054-5",687
,"Sumter County, SC","45085","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Sumter County, SC","45085","White","2106-3",569
,"Sumter County, SC","45085","More than one race","M",44
,"Sumter County, SC","45085","Unknown or Not Stated","UNK",0
,"Sumter County, SC","45085","Not Available","NA",0
,"Sumter County, SC","45085","Not Reported","NR",0
,"York County, SC","45091","American Indian or Alaska Native","1002-5",23
,"York County, SC","45091","Asian","A",171
,"York County, SC","45091","Black or African American","2054-5",715
,"York County, SC","45091","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"York County, SC","45091","White","2106-3",2090
,"York County, SC","45091","More than one race","M",58
,"York County, SC","45091","Unknown or Not Stated","UNK",0
,"York County, SC","45091","Not Available","NA",0
,"York County, SC","45091","Not Reported","NR",0
,"Unidentified Counties, SC","45999","American Indian or Alaska Native","1002-5",79
,"Unidentified Counties, SC","45999","Asian","A",156
,"Unidentified Counties, SC","45999","Black or African American","2054-5",4668
,"Unidentified Counties, SC","45999","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Unidentified Counties, SC","45999","White","2106-3",7085
,"Unidentified Counties, SC","45999","More than one race","M",306
,"Unidentified Counties, SC","45999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, SC","45999","Not Available","NA",0
,"Unidentified Counties, SC","45999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: South Carolina (45)"
"Year: 2021"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:42:41 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:42:41 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
