"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Cache County, UT","49005","American Indian or Alaska Native","1002-5",Suppressed
,"Cache County, UT","49005","Asian","A",43
,"Cache County, UT","49005","Black or African American","2054-5",32
,"Cache County, UT","49005","Native Hawaiian or Other Pacific Islander","NHOPI",19
,"Cache County, UT","49005","White","2106-3",1952
,"Cache County, UT","49005","More than one race","M",44
,"Cache County, UT","49005","Unknown or Not Stated","UNK",0
,"Cache County, UT","49005","Not Available","NA",0
,"Cache County, UT","49005","Not Reported","NR",0
,"Davis County, UT","49011","American Indian or Alaska Native","1002-5",27
,"Davis County, UT","49011","Asian","A",115
,"Davis County, UT","49011","Black or African American","2054-5",76
,"Davis County, UT","49011","Native Hawaiian or Other Pacific Islander","NHOPI",59
,"Davis County, UT","49011","White","2106-3",4496
,"Davis County, UT","49011","More than one race","M",188
,"Davis County, UT","49011","Unknown or Not Stated","UNK",0
,"Davis County, UT","49011","Not Available","NA",0
,"Davis County, UT","49011","Not Reported","NR",0
,"Salt Lake County, UT","49035","American Indian or Alaska Native","1002-5",135
,"Salt Lake County, UT","49035","Asian","A",745
,"Salt Lake County, UT","49035","Black or African American","2054-5",436
,"Salt Lake County, UT","49035","Native Hawaiian or Other Pacific Islander","NHOPI",301
,"Salt Lake County, UT","49035","White","2106-3",13021
,"Salt Lake County, UT","49035","More than one race","M",541
,"Salt Lake County, UT","49035","Unknown or Not Stated","UNK",0
,"Salt Lake County, UT","49035","Not Available","NA",0
,"Salt Lake County, UT","49035","Not Reported","NR",0
,"Utah County, UT","49049","American Indian or Alaska Native","1002-5",69
,"Utah County, UT","49049","Asian","A",225
,"Utah County, UT","49049","Black or African American","2054-5",106
,"Utah County, UT","49049","Native Hawaiian or Other Pacific Islander","NHOPI",76
,"Utah County, UT","49049","White","2106-3",11259
,"Utah County, UT","49049","More than one race","M",400
,"Utah County, UT","49049","Unknown or Not Stated","UNK",0
,"Utah County, UT","49049","Not Available","NA",0
,"Utah County, UT","49049","Not Reported","NR",0
,"Washington County, UT","49053","American Indian or Alaska Native","1002-5",25
,"Washington County, UT","49053","Asian","A",30
,"Washington County, UT","49053","Black or African American","2054-5",23
,"Washington County, UT","49053","Native Hawaiian or Other Pacific Islander","NHOPI",29
,"Washington County, UT","49053","White","2106-3",2124
,"Washington County, UT","49053","More than one race","M",82
,"Washington County, UT","49053","Unknown or Not Stated","UNK",0
,"Washington County, UT","49053","Not Available","NA",0
,"Washington County, UT","49053","Not Reported","NR",0
,"Weber County, UT","49057","American Indian or Alaska Native","1002-5",35
,"Weber County, UT","49057","Asian","A",52
,"Weber County, UT","49057","Black or African American","2054-5",44
,"Weber County, UT","49057","Native Hawaiian or Other Pacific Islander","NHOPI",16
,"Weber County, UT","49057","White","2106-3",3243
,"Weber County, UT","49057","More than one race","M",123
,"Weber County, UT","49057","Unknown or Not Stated","UNK",0
,"Weber County, UT","49057","Not Available","NA",0
,"Weber County, UT","49057","Not Reported","NR",0
,"Unidentified Counties, UT","49999","American Indian or Alaska Native","1002-5",194
,"Unidentified Counties, UT","49999","Asian","A",66
,"Unidentified Counties, UT","49999","Black or African American","2054-5",30
,"Unidentified Counties, UT","49999","Native Hawaiian or Other Pacific Islander","NHOPI",21
,"Unidentified Counties, UT","49999","White","2106-3",6045
,"Unidentified Counties, UT","49999","More than one race","M",157
,"Unidentified Counties, UT","49999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, UT","49999","Not Available","NA",0
,"Unidentified Counties, UT","49999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Utah (49)"
"Year: 2021"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:47:10 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:47:10 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
