"Notes","State of Residence","State of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Alabama","01","American Indian or Alaska Native","1002-5",214
,"Alabama","01","Asian","A",892
,"Alabama","01","Black or African American","2054-5",16793
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI",94
,"Alabama","01","White","2106-3",38934
,"Alabama","01","More than one race","M",1127
,"Alabama","01","Unknown or Not Stated","UNK",0
,"Alabama","01","Not Available","NA",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","American Indian or Alaska Native","1002-5",1826
,"Alaska","02","Asian","A",544
,"Alaska","02","Black or African American","2054-5",297
,"Alaska","02","Native Hawaiian or Other Pacific Islander","NHOPI",310
,"Alaska","02","White","2106-3",5398
,"Alaska","02","More than one race","M",992
,"Alaska","02","Unknown or Not Stated","UNK",0
,"Alaska","02","Not Available","NA",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","American Indian or Alaska Native","1002-5",3904
,"Arizona","04","Asian","A",2803
,"Arizona","04","Black or African American","2054-5",4965
,"Arizona","04","Native Hawaiian or Other Pacific Islander","NHOPI",268
,"Arizona","04","White","2106-3",63457
,"Arizona","04","More than one race","M",2519
,"Arizona","04","Unknown or Not Stated","UNK",0
,"Arizona","04","Not Available","NA",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","American Indian or Alaska Native","1002-5",266
,"Arkansas","05","Asian","A",855
,"Arkansas","05","Black or African American","2054-5",6890
,"Arkansas","05","Native Hawaiian or Other Pacific Islander","NHOPI",597
,"Arkansas","05","White","2106-3",26622
,"Arkansas","05","More than one race","M",735
,"Arkansas","05","Unknown or Not Stated","UNK",0
,"Arkansas","05","Not Available","NA",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","American Indian or Alaska Native","1002-5",2229
,"California","06","Asian","A",61888
,"California","06","Black or African American","2054-5",25110
,"California","06","Native Hawaiian or Other Pacific Islander","NHOPI",1994
,"California","06","White","2106-3",313860
,"California","06","More than one race","M",15527
,"California","06","Unknown or Not Stated","UNK",0
,"California","06","Not Available","NA",0
,"California","06","Not Reported","NR",0
,"Colorado","08","American Indian or Alaska Native","1002-5",652
,"Colorado","08","Asian","A",2637
,"Colorado","08","Black or African American","2054-5",3501
,"Colorado","08","Native Hawaiian or Other Pacific Islander","NHOPI",240
,"Colorado","08","White","2106-3",53830
,"Colorado","08","More than one race","M",2089
,"Colorado","08","Unknown or Not Stated","UNK",0
,"Colorado","08","Not Available","NA",0
,"Colorado","08","Not Reported","NR",0
,"Connecticut","09","American Indian or Alaska Native","1002-5",283
,"Connecticut","09","Asian","A",1981
,"Connecticut","09","Black or African American","2054-5",5581
,"Connecticut","09","Native Hawaiian or Other Pacific Islander","NHOPI",24
,"Connecticut","09","White","2106-3",26879
,"Connecticut","09","More than one race","M",922
,"Connecticut","09","Unknown or Not Stated","UNK",0
,"Connecticut","09","Not Available","NA",0
,"Connecticut","09","Not Reported","NR",0
,"Delaware","10","American Indian or Alaska Native","1002-5",17
,"Delaware","10","Asian","A",548
,"Delaware","10","Black or African American","2054-5",2966
,"Delaware","10","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Delaware","10","White","2106-3",6585
,"Delaware","10","More than one race","M",353
,"Delaware","10","Unknown or Not Stated","UNK",0
,"Delaware","10","Not Available","NA",0
,"Delaware","10","Not Reported","NR",0
,"District of Columbia","11","American Indian or Alaska Native","1002-5",37
,"District of Columbia","11","Asian","A",446
,"District of Columbia","11","Black or African American","2054-5",3869
,"District of Columbia","11","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"District of Columbia","11","White","2106-3",3943
,"District of Columbia","11","More than one race","M",352
,"District of Columbia","11","Unknown or Not Stated","UNK",0
,"District of Columbia","11","Not Available","NA",0
,"District of Columbia","11","Not Reported","NR",0
,"Florida","12","American Indian or Alaska Native","1002-5",392
,"Florida","12","Asian","A",6926
,"Florida","12","Black or African American","2054-5",50567
,"Florida","12","Native Hawaiian or Other Pacific Islander","NHOPI",227
,"Florida","12","White","2106-3",154763
,"Florida","12","More than one race","M",3385
,"Florida","12","Unknown or Not Stated","UNK",0
,"Florida","12","Not Available","NA",0
,"Florida","12","Not Reported","NR",0
,"Georgia","13","American Indian or Alaska Native","1002-5",206
,"Georgia","13","Asian","A",5737
,"Georgia","13","Black or African American","2054-5",43457
,"Georgia","13","Native Hawaiian or Other Pacific Islander","NHOPI",256
,"Georgia","13","White","2106-3",71391
,"Georgia","13","More than one race","M",3026
,"Georgia","13","Unknown or Not Stated","UNK",0
,"Georgia","13","Not Available","NA",0
,"Georgia","13","Not Reported","NR",0
,"Hawaii","15","American Indian or Alaska Native","1002-5",30
,"Hawaii","15","Asian","A",3903
,"Hawaii","15","Black or African American","2054-5",350
,"Hawaii","15","Native Hawaiian or Other Pacific Islander","NHOPI",1383
,"Hawaii","15","White","2106-3",4039
,"Hawaii","15","More than one race","M",5915
,"Hawaii","15","Unknown or Not Stated","UNK",0
,"Hawaii","15","Not Available","NA",0
,"Hawaii","15","Not Reported","NR",0
,"Idaho","16","American Indian or Alaska Native","1002-5",354
,"Idaho","16","Asian","A",410
,"Idaho","16","Black or African American","2054-5",312
,"Idaho","16","Native Hawaiian or Other Pacific Islander","NHOPI",80
,"Idaho","16","White","2106-3",20735
,"Idaho","16","More than one race","M",536
,"Idaho","16","Unknown or Not Stated","UNK",0
,"Idaho","16","Not Available","NA",0
,"Idaho","16","Not Reported","NR",0
,"Illinois","17","American Indian or Alaska Native","1002-5",158
,"Illinois","17","Asian","A",8510
,"Illinois","17","Black or African American","2054-5",21536
,"Illinois","17","Native Hawaiian or Other Pacific Islander","NHOPI",59
,"Illinois","17","White","2106-3",99478
,"Illinois","17","More than one race","M",2448
,"Illinois","17","Unknown or Not Stated","UNK",0
,"Illinois","17","Not Available","NA",0
,"Illinois","17","Not Reported","NR",0
,"Indiana","18","American Indian or Alaska Native","1002-5",107
,"Indiana","18","Asian","A",2333
,"Indiana","18","Black or African American","2054-5",10497
,"Indiana","18","Native Hawaiian or Other Pacific Islander","NHOPI",134
,"Indiana","18","White","2106-3",65025
,"Indiana","18","More than one race","M",1850
,"Indiana","18","Unknown or Not Stated","UNK",0
,"Indiana","18","Not Available","NA",0
,"Indiana","18","Not Reported","NR",0
,"Iowa","19","American Indian or Alaska Native","1002-5",201
,"Iowa","19","Asian","A",1085
,"Iowa","19","Black or African American","2054-5",2661
,"Iowa","19","Native Hawaiian or Other Pacific Islander","NHOPI",315
