"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Allen County, OH","39003","Under 15 years","15",0
,"Allen County, OH","39003","15-19 years","15-19",75
,"Allen County, OH","39003","20-24 years","20-24",321
,"Allen County, OH","39003","25-29 years","25-29",399
,"Allen County, OH","39003","30-34 years","30-34",281
,"Allen County, OH","39003","35-39 years","35-39",98
,"Allen County, OH","39003","40-44 years","40-44",18
,"Allen County, OH","39003","45-49 years","45-49",0
,"Allen County, OH","39003","50 years and over","50+",0
,"Ashtabula County, OH","39007","Under 15 years","15",0
,"Ashtabula County, OH","39007","15-19 years","15-19",69
,"Ashtabula County, OH","39007","20-24 years","20-24",272
,"Ashtabula County, OH","39007","25-29 years","25-29",333
,"Ashtabula County, OH","39007","30-34 years","30-34",234
,"Ashtabula County, OH","39007","35-39 years","35-39",98
,"Ashtabula County, OH","39007","40-44 years","40-44",33
,"Ashtabula County, OH","39007","45-49 years","45-49",Suppressed
,"Ashtabula County, OH","39007","50 years and over","50+",0
,"Butler County, OH","39017","Under 15 years","15",Suppressed
,"Butler County, OH","39017","15-19 years","15-19",204
,"Butler County, OH","39017","20-24 years","20-24",858
,"Butler County, OH","39017","25-29 years","25-29",1327
,"Butler County, OH","39017","30-34 years","30-34",1253
,"Butler County, OH","39017","35-39 years","35-39",562
,"Butler County, OH","39017","40-44 years","40-44",108
,"Butler County, OH","39017","45-49 years","45-49",Suppressed
,"Butler County, OH","39017","50 years and over","50+",0
,"Clark County, OH","39023","Under 15 years","15",Suppressed
,"Clark County, OH","39023","15-19 years","15-19",113
,"Clark County, OH","39023","20-24 years","20-24",425
,"Clark County, OH","39023","25-29 years","25-29",496
,"Clark County, OH","39023","30-34 years","30-34",365
,"Clark County, OH","39023","35-39 years","35-39",140
,"Clark County, OH","39023","40-44 years","40-44",32
,"Clark County, OH","39023","45-49 years","45-49",Suppressed
,"Clark County, OH","39023","50 years and over","50+",0
,"Clermont County, OH","39025","Under 15 years","15",Suppressed
,"Clermont County, OH","39025","15-19 years","15-19",82
,"Clermont County, OH","39025","20-24 years","20-24",397
,"Clermont County, OH","39025","25-29 years","25-29",641
,"Clermont County, OH","39025","30-34 years","30-34",695
,"Clermont County, OH","39025","35-39 years","35-39",297
,"Clermont County, OH","39025","40-44 years","40-44",50
,"Clermont County, OH","39025","45-49 years","45-49",Suppressed
,"Clermont County, OH","39025","50 years and over","50+",0
,"Columbiana County, OH","39029","Under 15 years","15",0
,"Columbiana County, OH","39029","15-19 years","15-19",48
,"Columbiana County, OH","39029","20-24 years","20-24",234
,"Columbiana County, OH","39029","25-29 years","25-29",309
,"Columbiana County, OH","39029","30-34 years","30-34",252
,"Columbiana County, OH","39029","35-39 years","35-39",95
,"Columbiana County, OH","39029","40-44 years","40-44",23
,"Columbiana County, OH","39029","45-49 years","45-49",Suppressed
,"Columbiana County, OH","39029","50 years and over","50+",0
,"Cuyahoga County, OH","39035","Under 15 years","15",14
,"Cuyahoga County, OH","39035","15-19 years","15-19",615
,"Cuyahoga County, OH","39035","20-24 years","20-24",2158
,"Cuyahoga County, OH","39035","25-29 years","25-29",3333
,"Cuyahoga County, OH","39035","30-34 years","30-34",4184
,"Cuyahoga County, OH","39035","35-39 years","35-39",2103
,"Cuyahoga County, OH","39035","40-44 years","40-44",405
,"Cuyahoga County, OH","39035","45-49 years","45-49",19
,"Cuyahoga County, OH","39035","50 years and over","50+",Suppressed
,"Delaware County, OH","39041","Under 15 years","15",0
,"Delaware County, OH","39041","15-19 years","15-19",21
,"Delaware County, OH","39041","20-24 years","20-24",142
,"Delaware County, OH","39041","25-29 years","25-29",456
,"Delaware County, OH","39041","30-34 years","30-34",931
,"Delaware County, OH","39041","35-39 years","35-39",503
,"Delaware County, OH","39041","40-44 years","40-44",88
,"Delaware County, OH","39041","45-49 years","45-49",Suppressed
,"Delaware County, OH","39041","50 years and over","50+",0
,"Fairfield County, OH","39045","Under 15 years","15",0
,"Fairfield County, OH","39045","15-19 years","15-19",69
,"Fairfield County, OH","39045","20-24 years","20-24",296
,"Fairfield County, OH","39045","25-29 years","25-29",533
,"Fairfield County, OH","39045","30-34 years","30-34",513
,"Fairfield County, OH","39045","35-39 years","35-39",227
