"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Bartow County, GA","13015","Hispanic or Latino","2135-2",187
,"Bartow County, GA","13015","Not Hispanic or Latino","2186-5",1136
,"Bartow County, GA","13015","Unknown or Not Stated","9",Suppressed
,"Bibb County, GA","13021","Hispanic or Latino","2135-2",139
,"Bibb County, GA","13021","Not Hispanic or Latino","2186-5",1921
,"Bibb County, GA","13021","Unknown or Not Stated","9",Suppressed
,"Carroll County, GA","13045","Hispanic or Latino","2135-2",202
,"Carroll County, GA","13045","Not Hispanic or Latino","2186-5",1392
,"Carroll County, GA","13045","Unknown or Not Stated","9",Suppressed
,"Chatham County, GA","13051","Hispanic or Latino","2135-2",516
,"Chatham County, GA","13051","Not Hispanic or Latino","2186-5",3099
,"Chatham County, GA","13051","Unknown or Not Stated","9",52
,"Cherokee County, GA","13057","Hispanic or Latino","2135-2",594
,"Cherokee County, GA","13057","Not Hispanic or Latino","2186-5",2252
,"Cherokee County, GA","13057","Unknown or Not Stated","9",11
,"Clarke County, GA","13059","Hispanic or Latino","2135-2",249
,"Clarke County, GA","13059","Not Hispanic or Latino","2186-5",1027
,"Clarke County, GA","13059","Unknown or Not Stated","9",Suppressed
,"Clayton County, GA","13063","Hispanic or Latino","2135-2",731
,"Clayton County, GA","13063","Not Hispanic or Latino","2186-5",2654
,"Clayton County, GA","13063","Unknown or Not Stated","9",Suppressed
,"Cobb County, GA","13067","Hispanic or Latino","2135-2",2222
,"Cobb County, GA","13067","Not Hispanic or Latino","2186-5",6677
,"Cobb County, GA","13067","Unknown or Not Stated","9",15
,"Columbia County, GA","13073","Hispanic or Latino","2135-2",160
,"Columbia County, GA","13073","Not Hispanic or Latino","2186-5",1514
,"Columbia County, GA","13073","Unknown or Not Stated","9",20
,"Coweta County, GA","13077","Hispanic or Latino","2135-2",160
,"Coweta County, GA","13077","Not Hispanic or Latino","2186-5",1552
,"Coweta County, GA","13077","Unknown or Not Stated","9",Suppressed
,"DeKalb County, GA","13089","Hispanic or Latino","2135-2",1927
,"DeKalb County, GA","13089","Not Hispanic or Latino","2186-5",7984
,"DeKalb County, GA","13089","Unknown or Not Stated","9",23
,"Douglas County, GA","13097","Hispanic or Latino","2135-2",314
,"Douglas County, GA","13097","Not Hispanic or Latino","2186-5",1405
,"Douglas County, GA","13097","Unknown or Not Stated","9",Suppressed
,"Fayette County, GA","13113","Hispanic or Latino","2135-2",86
,"Fayette County, GA","13113","Not Hispanic or Latino","2186-5",844
,"Fayette County, GA","13113","Unknown or Not Stated","9",Suppressed
,"Forsyth County, GA","13117","Hispanic or Latino","2135-2",386
,"Forsyth County, GA","13117","Not Hispanic or Latino","2186-5",1988
,"Forsyth County, GA","13117","Unknown or Not Stated","9",Suppressed
,"Fulton County, GA","13121","Hispanic or Latino","2135-2",1226
,"Fulton County, GA","13121","Not Hispanic or Latino","2186-5",10981
,"Fulton County, GA","13121","Unknown or Not Stated","9",51
,"Gwinnett County, GA","13135","Hispanic or Latino","2135-2",3933
,"Gwinnett County, GA","13135","Not Hispanic or Latino","2186-5",7250
,"Gwinnett County, GA","13135","Unknown or Not Stated","9",32
,"Hall County, GA","13139","Hispanic or Latino","2135-2",1268
,"Hall County, GA","13139","Not Hispanic or Latino","2186-5",1451
,"Hall County, GA","13139","Unknown or Not Stated","9",17
,"Henry County, GA","13151","Hispanic or Latino","2135-2",338
,"Henry County, GA","13151","Not Hispanic or Latino","2186-5",2619
,"Henry County, GA","13151","Unknown or Not Stated","9",11
,"Houston County, GA","13153","Hispanic or Latino","2135-2",232
,"Houston County, GA","13153","Not Hispanic or Latino","2186-5",1784
,"Houston County, GA","13153","Unknown or Not Stated","9",15
,"Lowndes County, GA","13185","Hispanic or Latino","2135-2",170
,"Lowndes County, GA","13185","Not Hispanic or Latino","2186-5",1363
,"Lowndes County, GA","13185","Unknown or Not Stated","9",Suppressed
,"Muscogee County, GA","13215","Hispanic or Latino","2135-2",322
,"Muscogee County, GA","13215","Not Hispanic or Latino","2186-5",2276
,"Muscogee County, GA","13215","Unknown or Not Stated","9",28
,"Paulding County, GA","13223","Hispanic or Latino","2135-2",232
,"Paulding County, GA","13223","Not Hispanic or Latino","2186-5",1685
,"Paulding County, GA","13223","Unknown or Not Stated","9",Suppressed
,"Richmond County, GA","13245","Hispanic or Latino","2135-2",202
,"Richmond County, GA","13245","Not Hispanic or Latino","2186-5",2572
,"Richmond County, GA","13245","Unknown or Not Stated","9",37
,"Whitfield County, GA","13313","Hispanic or Latino","2135-2",625
,"Whitfield County, GA","13313","Not Hispanic or Latino","2186-5",600
,"Whitfield County, GA","13313","Unknown or Not Stated","9",10
,"Unidentified Counties, GA","13999","Hispanic or Latino","2135-2",4781
,"Unidentified Counties, GA","13999","Not Hispanic or Latino","2186-5",36308
,"Unidentified Counties, GA","13999","Unknown or Not Stated","9",213
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Georgia (13)"
"Year: 2022"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 6:46:23 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 6:46:23 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
