"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Atlantic County, NJ","34001","Hispanic or Latino","2135-2",795
,"Atlantic County, NJ","34001","Not Hispanic or Latino","2186-5",1857
,"Atlantic County, NJ","34001","Unknown or Not Stated","9",46
,"Bergen County, NJ","34003","Hispanic or Latino","2135-2",2709
,"Bergen County, NJ","34003","Not Hispanic or Latino","2186-5",6602
,"Bergen County, NJ","34003","Unknown or Not Stated","9",Suppressed
,"Burlington County, NJ","34005","Hispanic or Latino","2135-2",772
,"Burlington County, NJ","34005","Not Hispanic or Latino","2186-5",3890
,"Burlington County, NJ","34005","Unknown or Not Stated","9",71
,"Camden County, NJ","34007","Hispanic or Latino","2135-2",1613
,"Camden County, NJ","34007","Not Hispanic or Latino","2186-5",4373
,"Camden County, NJ","34007","Unknown or Not Stated","9",138
,"Cumberland County, NJ","34011","Hispanic or Latino","2135-2",912
,"Cumberland County, NJ","34011","Not Hispanic or Latino","2186-5",895
,"Cumberland County, NJ","34011","Unknown or Not Stated","9",24
,"Essex County, NJ","34013","Hispanic or Latino","2135-2",3483
,"Essex County, NJ","34013","Not Hispanic or Latino","2186-5",6647
,"Essex County, NJ","34013","Unknown or Not Stated","9",17
,"Gloucester County, NJ","34015","Hispanic or Latino","2135-2",355
,"Gloucester County, NJ","34015","Not Hispanic or Latino","2186-5",2650
,"Gloucester County, NJ","34015","Unknown or Not Stated","9",45
,"Hudson County, NJ","34017","Hispanic or Latino","2135-2",3347
,"Hudson County, NJ","34017","Not Hispanic or Latino","2186-5",5686
,"Hudson County, NJ","34017","Unknown or Not Stated","9",Suppressed
,"Hunterdon County, NJ","34019","Hispanic or Latino","2135-2",164
,"Hunterdon County, NJ","34019","Not Hispanic or Latino","2186-5",940
,"Hunterdon County, NJ","34019","Unknown or Not Stated","9",Suppressed
,"Mercer County, NJ","34021","Hispanic or Latino","2135-2",1651
,"Mercer County, NJ","34021","Not Hispanic or Latino","2186-5",2534
,"Mercer County, NJ","34021","Unknown or Not Stated","9",18
,"Middlesex County, NJ","34023","Hispanic or Latino","2135-2",2882
,"Middlesex County, NJ","34023","Not Hispanic or Latino","2186-5",5600
,"Middlesex County, NJ","34023","Unknown or Not Stated","9",70
,"Monmouth County, NJ","34025","Hispanic or Latino","2135-2",1236
,"Monmouth County, NJ","34025","Not Hispanic or Latino","2186-5",5093
,"Monmouth County, NJ","34025","Unknown or Not Stated","9",115
,"Morris County, NJ","34027","Hispanic or Latino","2135-2",1063
,"Morris County, NJ","34027","Not Hispanic or Latino","2186-5",4023
,"Morris County, NJ","34027","Unknown or Not Stated","9",12
,"Ocean County, NJ","34029","Hispanic or Latino","2135-2",1069
,"Ocean County, NJ","34029","Not Hispanic or Latino","2186-5",8996
,"Ocean County, NJ","34029","Unknown or Not Stated","9",160
,"Passaic County, NJ","34031","Hispanic or Latino","2135-2",3399
,"Passaic County, NJ","34031","Not Hispanic or Latino","2186-5",3011
,"Passaic County, NJ","34031","Unknown or Not Stated","9",Suppressed
,"Somerset County, NJ","34035","Hispanic or Latino","2135-2",861
,"Somerset County, NJ","34035","Not Hispanic or Latino","2186-5",2390
,"Somerset County, NJ","34035","Unknown or Not Stated","9",24
,"Sussex County, NJ","34037","Hispanic or Latino","2135-2",230
,"Sussex County, NJ","34037","Not Hispanic or Latino","2186-5",1215
,"Sussex County, NJ","34037","Unknown or Not Stated","9",Suppressed
,"Union County, NJ","34039","Hispanic or Latino","2135-2",2945
,"Union County, NJ","34039","Not Hispanic or Latino","2186-5",3744
,"Union County, NJ","34039","Unknown or Not Stated","9",14
,"Warren County, NJ","34041","Hispanic or Latino","2135-2",189
,"Warren County, NJ","34041","Not Hispanic or Latino","2186-5",797
,"Warren County, NJ","34041","Unknown or Not Stated","9",Suppressed
,"Unidentified Counties, NJ","34999","Hispanic or Latino","2135-2",256
,"Unidentified Counties, NJ","34999","Not Hispanic or Latino","2186-5",1207
,"Unidentified Counties, NJ","34999","Unknown or Not Stated","9",22
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Jersey (34)"
"Year: 2022"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 7:08:10 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 7:08:10 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
