"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Albany County, NY","36001","Female","F",1347
,"Albany County, NY","36001","Male","M",1385
,"Bronx County, NY","36005","Female","F",8427
,"Bronx County, NY","36005","Male","M",8646
,"Broome County, NY","36007","Female","F",787
,"Broome County, NY","36007","Male","M",907
,"Chautauqua County, NY","36013","Female","F",582
,"Chautauqua County, NY","36013","Male","M",572
,"Dutchess County, NY","36027","Female","F",1310
,"Dutchess County, NY","36027","Male","M",1318
,"Erie County, NY","36029","Female","F",4453
,"Erie County, NY","36029","Male","M",4645
,"Jefferson County, NY","36045","Female","F",904
,"Jefferson County, NY","36045","Male","M",864
,"Kings County, NY","36047","Female","F",16452
,"Kings County, NY","36047","Male","M",17144
,"Monroe County, NY","36055","Female","F",3746
,"Monroe County, NY","36055","Male","M",3688
,"Nassau County, NY","36059","Female","F",6755
,"Nassau County, NY","36059","Male","M",7008
,"New York County, NY","36061","Female","F",6652
,"New York County, NY","36061","Male","M",6746
,"Niagara County, NY","36063","Female","F",971
,"Niagara County, NY","36063","Male","M",993
,"Oneida County, NY","36065","Female","F",1080
,"Oneida County, NY","36065","Male","M",1119
,"Onondaga County, NY","36067","Female","F",2257
,"Onondaga County, NY","36067","Male","M",2380
,"Ontario County, NY","36069","Female","F",467
,"Ontario County, NY","36069","Male","M",533
,"Orange County, NY","36071","Female","F",2725
,"Orange County, NY","36071","Male","M",2743
,"Oswego County, NY","36075","Female","F",537
,"Oswego County, NY","36075","Male","M",578
,"Queens County, NY","36081","Female","F",11833
,"Queens County, NY","36081","Male","M",12153
,"Rensselaer County, NY","36083","Female","F",745
,"Rensselaer County, NY","36083","Male","M",758
,"Richmond County, NY","36085","Female","F",2420
,"Richmond County, NY","36085","Male","M",2581
,"Rockland County, NY","36087","Female","F",3064
,"Rockland County, NY","36087","Male","M",3345
,"St. Lawrence County, NY","36089","Female","F",445
,"St. Lawrence County, NY","36089","Male","M",451
,"Saratoga County, NY","36091","Female","F",1001
,"Saratoga County, NY","36091","Male","M",1050
,"Schenectady County, NY","36093","Female","F",865
,"Schenectady County, NY","36093","Male","M",888
,"Suffolk County, NY","36103","Female","F",7919
,"Suffolk County, NY","36103","Male","M",8186
,"Tompkins County, NY","36109","Female","F",313
,"Tompkins County, NY","36109","Male","M",327
,"Ulster County, NY","36111","Female","F",756
,"Ulster County, NY","36111","Male","M",768
,"Westchester County, NY","36119","Female","F",4784
,"Westchester County, NY","36119","Male","M",5121
,"Unidentified Counties, NY","36999","Female","F",8373
,"Unidentified Counties, NY","36999","Male","M",8907
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New York (36)"
"Year: 2022"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:21:29 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:21:29 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"4. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"5. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"6. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"7. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
