"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Allen County, OH","39003","Female","F",594
,"Allen County, OH","39003","Male","M",598
,"Ashtabula County, OH","39007","Female","F",469
,"Ashtabula County, OH","39007","Male","M",572
,"Butler County, OH","39017","Female","F",2061
,"Butler County, OH","39017","Male","M",2261
,"Clark County, OH","39023","Female","F",772
,"Clark County, OH","39023","Male","M",801
,"Clermont County, OH","39025","Female","F",1082
,"Clermont County, OH","39025","Male","M",1083
,"Columbiana County, OH","39029","Female","F",471
,"Columbiana County, OH","39029","Male","M",491
,"Cuyahoga County, OH","39035","Female","F",6387
,"Cuyahoga County, OH","39035","Male","M",6446
,"Delaware County, OH","39041","Female","F",1066
,"Delaware County, OH","39041","Male","M",1081
,"Fairfield County, OH","39045","Female","F",846
,"Fairfield County, OH","39045","Male","M",849
,"Franklin County, OH","39049","Female","F",8575
,"Franklin County, OH","39049","Male","M",8953
,"Greene County, OH","39057","Female","F",797
,"Greene County, OH","39057","Male","M",895
,"Hamilton County, OH","39061","Female","F",4979
,"Hamilton County, OH","39061","Male","M",5285
,"Lake County, OH","39085","Female","F",1021
,"Lake County, OH","39085","Male","M",1030
,"Licking County, OH","39089","Female","F",932
,"Licking County, OH","39089","Male","M",934
,"Lorain County, OH","39093","Female","F",1588
,"Lorain County, OH","39093","Male","M",1564
,"Lucas County, OH","39095","Female","F",2383
,"Lucas County, OH","39095","Male","M",2527
,"Mahoning County, OH","39099","Female","F",1150
,"Mahoning County, OH","39099","Male","M",1257
,"Medina County, OH","39103","Female","F",792
,"Medina County, OH","39103","Male","M",801
,"Miami County, OH","39109","Female","F",561
,"Miami County, OH","39109","Male","M",554
,"Montgomery County, OH","39113","Female","F",2978
,"Montgomery County, OH","39113","Male","M",3029
,"Portage County, OH","39133","Female","F",699
,"Portage County, OH","39133","Male","M",684
,"Richland County, OH","39139","Female","F",627
,"Richland County, OH","39139","Male","M",683
,"Stark County, OH","39151","Female","F",1882
,"Stark County, OH","39151","Male","M",2000
,"Summit County, OH","39153","Female","F",2670
,"Summit County, OH","39153","Male","M",2720
,"Trumbull County, OH","39155","Female","F",977
,"Trumbull County, OH","39155","Male","M",1041
,"Warren County, OH","39165","Female","F",1191
,"Warren County, OH","39165","Male","M",1237
,"Wayne County, OH","39169","Female","F",693
,"Wayne County, OH","39169","Male","M",712
,"Wood County, OH","39173","Female","F",575
,"Wood County, OH","39173","Male","M",624
,"Unidentified Counties, OH","39999","Female","F",14106
,"Unidentified Counties, OH","39999","Male","M",14595
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Ohio (39)"
"Year: 2022"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:24:50 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:24:50 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
