"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Benton County, WA","53005","American Indian or Alaska Native","1002-5",50
,"Benton County, WA","53005","Asian","A",91
,"Benton County, WA","53005","Black or African American","2054-5",47
,"Benton County, WA","53005","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Benton County, WA","53005","White","2106-3",2226
,"Benton County, WA","53005","More than one race","M",71
,"Benton County, WA","53005","Unknown or Not Stated","UNK",0
,"Benton County, WA","53005","Not Available","NA",0
,"Benton County, WA","53005","Not Reported","NR",0
,"Clark County, WA","53011","American Indian or Alaska Native","1002-5",53
,"Clark County, WA","53011","Asian","A",282
,"Clark County, WA","53011","Black or African American","2054-5",147
,"Clark County, WA","53011","Native Hawaiian or Other Pacific Islander","NHOPI",154
,"Clark County, WA","53011","White","2106-3",4568
,"Clark County, WA","53011","More than one race","M",322
,"Clark County, WA","53011","Unknown or Not Stated","UNK",0
,"Clark County, WA","53011","Not Available","NA",0
,"Clark County, WA","53011","Not Reported","NR",0
,"Cowlitz County, WA","53015","American Indian or Alaska Native","1002-5",19
,"Cowlitz County, WA","53015","Asian","A",20
,"Cowlitz County, WA","53015","Black or African American","2054-5",Suppressed
,"Cowlitz County, WA","53015","Native Hawaiian or Other Pacific Islander","NHOPI",26
,"Cowlitz County, WA","53015","White","2106-3",1118
,"Cowlitz County, WA","53015","More than one race","M",53
,"Cowlitz County, WA","53015","Unknown or Not Stated","UNK",0
,"Cowlitz County, WA","53015","Not Available","NA",0
,"Cowlitz County, WA","53015","Not Reported","NR",0
,"King County, WA","53033","American Indian or Alaska Native","1002-5",228
,"King County, WA","53033","Asian","A",5837
,"King County, WA","53033","Black or African American","2054-5",2392
,"King County, WA","53033","Native Hawaiian or Other Pacific Islander","NHOPI",458
,"King County, WA","53033","White","2106-3",12932
,"King County, WA","53033","More than one race","M",1176
,"King County, WA","53033","Unknown or Not Stated","UNK",0
,"King County, WA","53033","Not Available","NA",0
,"King County, WA","53033","Not Reported","NR",0
,"Kitsap County, WA","53035","American Indian or Alaska Native","1002-5",57
,"Kitsap County, WA","53035","Asian","A",136
,"Kitsap County, WA","53035","Black or African American","2054-5",120
,"Kitsap County, WA","53035","Native Hawaiian or Other Pacific Islander","NHOPI",61
,"Kitsap County, WA","53035","White","2106-3",2317
,"Kitsap County, WA","53035","More than one race","M",247
,"Kitsap County, WA","53035","Unknown or Not Stated","UNK",0
,"Kitsap County, WA","53035","Not Available","NA",0
,"Kitsap County, WA","53035","Not Reported","NR",0
,"Pierce County, WA","53053","American Indian or Alaska Native","1002-5",167
,"Pierce County, WA","53053","Asian","A",829
,"Pierce County, WA","53053","Black or African American","2054-5",993
,"Pierce County, WA","53053","Native Hawaiian or Other Pacific Islander","NHOPI",451
,"Pierce County, WA","53053","White","2106-3",7532
,"Pierce County, WA","53053","More than one race","M",996
,"Pierce County, WA","53053","Unknown or Not Stated","UNK",0
,"Pierce County, WA","53053","Not Available","NA",0
,"Pierce County, WA","53053","Not Reported","NR",0
,"Skagit County, WA","53057","American Indian or Alaska Native","1002-5",70
,"Skagit County, WA","53057","Asian","A",41
,"Skagit County, WA","53057","Black or African American","2054-5",23
,"Skagit County, WA","53057","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Skagit County, WA","53057","White","2106-3",1231
,"Skagit County, WA","53057","More than one race","M",41
,"Skagit County, WA","53057","Unknown or Not Stated","UNK",0
,"Skagit County, WA","53057","Not Available","NA",0
,"Skagit County, WA","53057","Not Reported","NR",0
,"Snohomish County, WA","53061","American Indian or Alaska Native","1002-5",141
,"Snohomish County, WA","53061","Asian","A",1848
,"Snohomish County, WA","53061","Black or African American","2054-5",548
,"Snohomish County, WA","53061","Native Hawaiian or Other Pacific Islander","NHOPI",99
,"Snohomish County, WA","53061","White","2106-3",6768
,"Snohomish County, WA","53061","More than one race","M",456
,"Snohomish County, WA","53061","Unknown or Not Stated","UNK",0
,"Snohomish County, WA","53061","Not Available","NA",0
,"Snohomish County, WA","53061","Not Reported","NR",0
,"Spokane County, WA","53063","American Indian or Alaska Native","1002-5",95
,"Spokane County, WA","53063","Asian","A",153
,"Spokane County, WA","53063","Black or African American","2054-5",176
,"Spokane County, WA","53063","Native Hawaiian or Other Pacific Islander","NHOPI",147
,"Spokane County, WA","53063","White","2106-3",4990
,"Spokane County, WA","53063","More than one race","M",306
,"Spokane County, WA","53063","Unknown or Not Stated","UNK",0
,"Spokane County, WA","53063","Not Available","NA",0
,"Spokane County, WA","53063","Not Reported","NR",0
,"Thurston County, WA","53067","American Indian or Alaska Native","1002-5",60
,"Thurston County, WA","53067","Asian","A",236
,"Thurston County, WA","53067","Black or African American","2054-5",149
,"Thurston County, WA","53067","Native Hawaiian or Other Pacific Islander","NHOPI",77
,"Thurston County, WA","53067","White","2106-3",2267
,"Thurston County, WA","53067","More than one race","M",225
,"Thurston County, WA","53067","Unknown or Not Stated","UNK",0
,"Thurston County, WA","53067","Not Available","NA",0
,"Thurston County, WA","53067","Not Reported","NR",0
,"Whatcom County, WA","53073","American Indian or Alaska Native","1002-5",72
,"Whatcom County, WA","53073","Asian","A",110
,"Whatcom County, WA","53073","Black or African American","2054-5",35
,"Whatcom County, WA","53073","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Whatcom County, WA","53073","White","2106-3",1633
,"Whatcom County, WA","53073","More than one race","M",94
,"Whatcom County, WA","53073","Unknown or Not Stated","UNK",0
,"Whatcom County, WA","53073","Not Available","NA",0
,"Whatcom County, WA","53073","Not Reported","NR",0
,"Yakima County, WA","53077","American Indian or Alaska Native","1002-5",192
,"Yakima County, WA","53077","Asian","A",85
,"Yakima County, WA","53077","Black or African American","2054-5",69
,"Yakima County, WA","53077","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Yakima County, WA","53077","White","2106-3",3018
,"Yakima County, WA","53077","More than one race","M",78
,"Yakima County, WA","53077","Unknown or Not Stated","UNK",0
,"Yakima County, WA","53077","Not Available","NA",0
,"Yakima County, WA","53077","Not Reported","NR",0
,"Unidentified Counties, WA","53999","American Indian or Alaska Native","1002-5",414
,"Unidentified Counties, WA","53999","Asian","A",284
,"Unidentified Counties, WA","53999","Black or African American","2054-5",234
,"Unidentified Counties, WA","53999","Native Hawaiian or Other Pacific Islander","NHOPI",50
,"Unidentified Counties, WA","53999","White","2106-3",10160
,"Unidentified Counties, WA","53999","More than one race","M",430
,"Unidentified Counties, WA","53999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, WA","53999","Not Available","NA",0
,"Unidentified Counties, WA","53999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Washington (53)"
"Year: 2022"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 6:31:06 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 6:31:06 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
