"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Ascension Parish, LA","22005","Under 15 years","15",Suppressed
,"Ascension Parish, LA","22005","15-19 years","15-19",77
,"Ascension Parish, LA","22005","20-24 years","20-24",291
,"Ascension Parish, LA","22005","25-29 years","25-29",500
,"Ascension Parish, LA","22005","30-34 years","30-34",522
,"Ascension Parish, LA","22005","35-39 years","35-39",227
,"Ascension Parish, LA","22005","40-44 years","40-44",49
,"Ascension Parish, LA","22005","45-49 years","45-49",Suppressed
,"Ascension Parish, LA","22005","50 years and over","50+",0
,"Bossier Parish, LA","22015","Under 15 years","15",Suppressed
,"Bossier Parish, LA","22015","15-19 years","15-19",96
,"Bossier Parish, LA","22015","20-24 years","20-24",394
,"Bossier Parish, LA","22015","25-29 years","25-29",466
,"Bossier Parish, LA","22015","30-34 years","30-34",375
,"Bossier Parish, LA","22015","35-39 years","35-39",173
,"Bossier Parish, LA","22015","40-44 years","40-44",54
,"Bossier Parish, LA","22015","45-49 years","45-49",Suppressed
,"Bossier Parish, LA","22015","50 years and over","50+",0
,"Caddo Parish, LA","22017","Under 15 years","15",Suppressed
,"Caddo Parish, LA","22017","15-19 years","15-19",194
,"Caddo Parish, LA","22017","20-24 years","20-24",701
,"Caddo Parish, LA","22017","25-29 years","25-29",798
,"Caddo Parish, LA","22017","30-34 years","30-34",682
,"Caddo Parish, LA","22017","35-39 years","35-39",315
,"Caddo Parish, LA","22017","40-44 years","40-44",67
,"Caddo Parish, LA","22017","45-49 years","45-49",Suppressed
,"Caddo Parish, LA","22017","50 years and over","50+",0
,"Calcasieu Parish, LA","22019","Under 15 years","15",Suppressed
,"Calcasieu Parish, LA","22019","15-19 years","15-19",173
,"Calcasieu Parish, LA","22019","20-24 years","20-24",652
,"Calcasieu Parish, LA","22019","25-29 years","25-29",796
,"Calcasieu Parish, LA","22019","30-34 years","30-34",578
,"Calcasieu Parish, LA","22019","35-39 years","35-39",253
,"Calcasieu Parish, LA","22019","40-44 years","40-44",60
,"Calcasieu Parish, LA","22019","45-49 years","45-49",Suppressed
,"Calcasieu Parish, LA","22019","50 years and over","50+",Suppressed
,"East Baton Rouge Parish, LA","22033","Under 15 years","15",Suppressed
,"East Baton Rouge Parish, LA","22033","15-19 years","15-19",350
,"East Baton Rouge Parish, LA","22033","20-24 years","20-24",1170
,"East Baton Rouge Parish, LA","22033","25-29 years","25-29",1509
,"East Baton Rouge Parish, LA","22033","30-34 years","30-34",1444
,"East Baton Rouge Parish, LA","22033","35-39 years","35-39",742
,"East Baton Rouge Parish, LA","22033","40-44 years","40-44",156
,"East Baton Rouge Parish, LA","22033","45-49 years","45-49",Suppressed
,"East Baton Rouge Parish, LA","22033","50 years and over","50+",0
,"Jefferson Parish, LA","22051","Under 15 years","15",Suppressed
,"Jefferson Parish, LA","22051","15-19 years","15-19",272
,"Jefferson Parish, LA","22051","20-24 years","20-24",970
,"Jefferson Parish, LA","22051","25-29 years","25-29",1365
,"Jefferson Parish, LA","22051","30-34 years","30-34",1500
,"Jefferson Parish, LA","22051","35-39 years","35-39",779
,"Jefferson Parish, LA","22051","40-44 years","40-44",167
,"Jefferson Parish, LA","22051","45-49 years","45-49",12
,"Jefferson Parish, LA","22051","50 years and over","50+",0
,"Lafayette Parish, LA","22055","Under 15 years","15",Suppressed
,"Lafayette Parish, LA","22055","15-19 years","15-19",184
,"Lafayette Parish, LA","22055","20-24 years","20-24",721
,"Lafayette Parish, LA","22055","25-29 years","25-29",993
,"Lafayette Parish, LA","22055","30-34 years","30-34",894
,"Lafayette Parish, LA","22055","35-39 years","35-39",421
,"Lafayette Parish, LA","22055","40-44 years","40-44",66
,"Lafayette Parish, LA","22055","45-49 years","45-49",Suppressed
,"Lafayette Parish, LA","22055","50 years and over","50+",0
,"Livingston Parish, LA","22063","Under 15 years","15",Suppressed
,"Livingston Parish, LA","22063","15-19 years","15-19",95
,"Livingston Parish, LA","22063","20-24 years","20-24",398
,"Livingston Parish, LA","22063","25-29 years","25-29",628
,"Livingston Parish, LA","22063","30-34 years","30-34",483
,"Livingston Parish, LA","22063","35-39 years","35-39",200
,"Livingston Parish, LA","22063","40-44 years","40-44",33
,"Livingston Parish, LA","22063","45-49 years","45-49",Suppressed
,"Livingston Parish, LA","22063","50 years and over","50+",0
,"Orleans Parish, LA","22071","Under 15 years","15",Suppressed
,"Orleans Parish, LA","22071","15-19 years","15-19",230
,"Orleans Parish, LA","22071","20-24 years","20-24",620
,"Orleans Parish, LA","22071","25-29 years","25-29",799
,"Orleans Parish, LA","22071","30-34 years","30-34",1141
,"Orleans Parish, LA","22071","35-39 years","35-39",822
,"Orleans Parish, LA","22071","40-44 years","40-44",192
,"Orleans Parish, LA","22071","45-49 years","45-49",12
,"Orleans Parish, LA","22071","50 years and over","50+",0
,"Ouachita Parish, LA","22073","Under 15 years","15",Suppressed
,"Ouachita Parish, LA","22073","15-19 years","15-19",145
,"Ouachita Parish, LA","22073","20-24 years","20-24",558
,"Ouachita Parish, LA","22073","25-29 years","25-29",568
,"Ouachita Parish, LA","22073","30-34 years","30-34",450
,"Ouachita Parish, LA","22073","35-39 years","35-39",210
,"Ouachita Parish, LA","22073","40-44 years","40-44",44
,"Ouachita Parish, LA","22073","45-49 years","45-49",Suppressed
,"Ouachita Parish, LA","22073","50 years and over","50+",0
,"Rapides Parish, LA","22079","Under 15 years","15",Suppressed
,"Rapides Parish, LA","22079","15-19 years","15-19",114
,"Rapides Parish, LA","22079","20-24 years","20-24",416
,"Rapides Parish, LA","22079","25-29 years","25-29",494
,"Rapides Parish, LA","22079","30-34 years","30-34",351
,"Rapides Parish, LA","22079","35-39 years","35-39",142
,"Rapides Parish, LA","22079","40-44 years","40-44",36
,"Rapides Parish, LA","22079","45-49 years","45-49",Suppressed
,"Rapides Parish, LA","22079","50 years and over","50+",0
,"St. Tammany Parish, LA","22103","Under 15 years","15",0
,"St. Tammany Parish, LA","22103","15-19 years","15-19",86
,"St. Tammany Parish, LA","22103","20-24 years","20-24",510
,"St. Tammany Parish, LA","22103","25-29 years","25-29",796
,"St. Tammany Parish, LA","22103","30-34 years","30-34",851
,"St. Tammany Parish, LA","22103","35-39 years","35-39",470
,"St. Tammany Parish, LA","22103","40-44 years","40-44",94
,"St. Tammany Parish, LA","22103","45-49 years","45-49",Suppressed
,"St. Tammany Parish, LA","22103","50 years and over","50+",0
,"Tangipahoa Parish, LA","22105","Under 15 years","15",Suppressed
,"Tangipahoa Parish, LA","22105","15-19 years","15-19",118
,"Tangipahoa Parish, LA","22105","20-24 years","20-24",479
,"Tangipahoa Parish, LA","22105","25-29 years","25-29",607
,"Tangipahoa Parish, LA","22105","30-34 years","30-34",482
,"Tangipahoa Parish, LA","22105","35-39 years","35-39",221
,"Tangipahoa Parish, LA","22105","40-44 years","40-44",42
,"Tangipahoa Parish, LA","22105","45-49 years","45-49",Suppressed
,"Tangipahoa Parish, LA","22105","50 years and over","50+",0
,"Terrebonne Parish, LA","22109","Under 15 years","15",0
,"Terrebonne Parish, LA","22109","15-19 years","15-19",90
,"Terrebonne Parish, LA","22109","20-24 years","20-24",339
,"Terrebonne Parish, LA","22109","25-29 years","25-29",364
,"Terrebonne Parish, LA","22109","30-34 years","30-34",283
,"Terrebonne Parish, LA","22109","35-39 years","35-39",132
,"Terrebonne Parish, LA","22109","40-44 years","40-44",29
,"Terrebonne Parish, LA","22109","45-49 years","45-49",Suppressed
,"Terrebonne Parish, LA","22109","50 years and over","50+",0
,"Unidentified Counties, LA","22999","Under 15 years","15",25
,"Unidentified Counties, LA","22999","15-19 years","15-19",1266
,"Unidentified Counties, LA","22999","20-24 years","20-24",4974
,"Unidentified Counties, LA","22999","25-29 years","25-29",5469
,"Unidentified Counties, LA","22999","30-34 years","30-34",3817
,"Unidentified Counties, LA","22999","35-39 years","35-39",1601
,"Unidentified Counties, LA","22999","40-44 years","40-44",302
,"Unidentified Counties, LA","22999","45-49 years","45-49",14
,"Unidentified Counties, LA","22999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Louisiana (22)"
"Year: 2023"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 7:49:57 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 7:49:57 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
