"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Anoka County, MN","27003","Under 15 years","15",Suppressed
,"Anoka County, MN","27003","15-19 years","15-19",52
,"Anoka County, MN","27003","20-24 years","20-24",387
,"Anoka County, MN","27003","25-29 years","25-29",1154
,"Anoka County, MN","27003","30-34 years","30-34",1413
,"Anoka County, MN","27003","35-39 years","35-39",775
,"Anoka County, MN","27003","40-44 years","40-44",123
,"Anoka County, MN","27003","45-49 years","45-49",16
,"Anoka County, MN","27003","50 years and over","50+",Suppressed
,"Dakota County, MN","27037","Under 15 years","15",Suppressed
,"Dakota County, MN","27037","15-19 years","15-19",66
,"Dakota County, MN","27037","20-24 years","20-24",443
,"Dakota County, MN","27037","25-29 years","25-29",1279
,"Dakota County, MN","27037","30-34 years","30-34",1809
,"Dakota County, MN","27037","35-39 years","35-39",956
,"Dakota County, MN","27037","40-44 years","40-44",195
,"Dakota County, MN","27037","45-49 years","45-49",21
,"Dakota County, MN","27037","50 years and over","50+",Suppressed
,"Hennepin County, MN","27053","Under 15 years","15",Suppressed
,"Hennepin County, MN","27053","15-19 years","15-19",303
,"Hennepin County, MN","27053","20-24 years","20-24",1339
,"Hennepin County, MN","27053","25-29 years","25-29",2975
,"Hennepin County, MN","27053","30-34 years","30-34",5176
,"Hennepin County, MN","27053","35-39 years","35-39",3287
,"Hennepin County, MN","27053","40-44 years","40-44",683
,"Hennepin County, MN","27053","45-49 years","45-49",61
,"Hennepin County, MN","27053","50 years and over","50+",14
,"Olmsted County, MN","27109","Under 15 years","15",0
,"Olmsted County, MN","27109","15-19 years","15-19",40
,"Olmsted County, MN","27109","20-24 years","20-24",185
,"Olmsted County, MN","27109","25-29 years","25-29",479
,"Olmsted County, MN","27109","30-34 years","30-34",768
,"Olmsted County, MN","27109","35-39 years","35-39",347
,"Olmsted County, MN","27109","40-44 years","40-44",76
,"Olmsted County, MN","27109","45-49 years","45-49",10
,"Olmsted County, MN","27109","50 years and over","50+",0
,"Ramsey County, MN","27123","Under 15 years","15",Suppressed
,"Ramsey County, MN","27123","15-19 years","15-19",212
,"Ramsey County, MN","27123","20-24 years","20-24",796
