"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Atlantic County, NJ","34001","Under 15 years","15",Suppressed
,"Atlantic County, NJ","34001","15-19 years","15-19",100
,"Atlantic County, NJ","34001","20-24 years","20-24",391
,"Atlantic County, NJ","34001","25-29 years","25-29",777
,"Atlantic County, NJ","34001","30-34 years","30-34",920
,"Atlantic County, NJ","34001","35-39 years","35-39",436
,"Atlantic County, NJ","34001","40-44 years","40-44",113
,"Atlantic County, NJ","34001","45-49 years","45-49",12
,"Atlantic County, NJ","34001","50 years and over","50+",0
,"Bergen County, NJ","34003","Under 15 years","15",0
,"Bergen County, NJ","34003","15-19 years","15-19",67
,"Bergen County, NJ","34003","20-24 years","20-24",495
,"Bergen County, NJ","34003","25-29 years","25-29",1564
,"Bergen County, NJ","34003","30-34 years","30-34",3469
,"Bergen County, NJ","34003","35-39 years","35-39",2618
,"Bergen County, NJ","34003","40-44 years","40-44",608
,"Bergen County, NJ","34003","45-49 years","45-49",65
,"Bergen County, NJ","34003","50 years and over","50+",11
,"Burlington County, NJ","34005","Under 15 years","15",Suppressed
,"Burlington County, NJ","34005","15-19 years","15-19",76
,"Burlington County, NJ","34005","20-24 years","20-24",473
,"Burlington County, NJ","34005","25-29 years","25-29",1148
,"Burlington County, NJ","34005","30-34 years","30-34",1783
,"Burlington County, NJ","34005","35-39 years","35-39",989
,"Burlington County, NJ","34005","40-44 years","40-44",200
,"Burlington County, NJ","34005","45-49 years","45-49",17
,"Burlington County, NJ","34005","50 years and over","50+",Suppressed
,"Camden County, NJ","34007","Under 15 years","15",Suppressed
,"Camden County, NJ","34007","15-19 years","15-19",152
,"Camden County, NJ","34007","20-24 years","20-24",829
,"Camden County, NJ","34007","25-29 years","25-29",1409
,"Camden County, NJ","34007","30-34 years","30-34",2065
,"Camden County, NJ","34007","35-39 years","35-39",1193
,"Camden County, NJ","34007","40-44 years","40-44",246
,"Camden County, NJ","34007","45-49 years","45-49",10
,"Camden County, NJ","34007","50 years and over","50+",Suppressed
,"Cumberland County, NJ","34011","Under 15 years","15",Suppressed
,"Cumberland County, NJ","34011","15-19 years","15-19",117
,"Cumberland County, NJ","34011","20-24 years","20-24",416
,"Cumberland County, NJ","34011","25-29 years","25-29",526
,"Cumberland County, NJ","34011","30-34 years","30-34",480
,"Cumberland County, NJ","34011","35-39 years","35-39",219
,"Cumberland County, NJ","34011","40-44 years","40-44",52
,"Cumberland County, NJ","34011","45-49 years","45-49",Suppressed
,"Cumberland County, NJ","34011","50 years and over","50+",0
,"Essex County, NJ","34013","Under 15 years","15",Suppressed
,"Essex County, NJ","34013","15-19 years","15-19",325
,"Essex County, NJ","34013","20-24 years","20-24",1249
,"Essex County, NJ","34013","25-29 years","25-29",2234
,"Essex County, NJ","34013","30-34 years","30-34",3043
,"Essex County, NJ","34013","35-39 years","35-39",2263
,"Essex County, NJ","34013","40-44 years","40-44",621
,"Essex County, NJ","34013","45-49 years","45-49",53
,"Essex County, NJ","34013","50 years and over","50+",10
,"Gloucester County, NJ","34015","Under 15 years","15",Suppressed
,"Gloucester County, NJ","34015","15-19 years","15-19",46
,"Gloucester County, NJ","34015","20-24 years","20-24",250
,"Gloucester County, NJ","34015","25-29 years","25-29",733
,"Gloucester County, NJ","34015","30-34 years","30-34",1191
,"Gloucester County, NJ","34015","35-39 years","35-39",618
,"Gloucester County, NJ","34015","40-44 years","40-44",127
,"Gloucester County, NJ","34015","45-49 years","45-49",Suppressed
,"Gloucester County, NJ","34015","50 years and over","50+",Suppressed
,"Hudson County, NJ","34017","Under 15 years","15",Suppressed
,"Hudson County, NJ","34017","15-19 years","15-19",158
,"Hudson County, NJ","34017","20-24 years","20-24",743
,"Hudson County, NJ","34017","25-29 years","25-29",1627
,"Hudson County, NJ","34017","30-34 years","30-34",3300
,"Hudson County, NJ","34017","35-39 years","35-39",2258
,"Hudson County, NJ","34017","40-44 years","40-44",524
,"Hudson County, NJ","34017","45-49 years","45-49",40
,"Hudson County, NJ","34017","50 years and over","50+",Suppressed
,"Hunterdon County, NJ","34019","Under 15 years","15",0
,"Hunterdon County, NJ","34019","15-19 years","15-19",Suppressed
,"Hunterdon County, NJ","34019","20-24 years","20-24",29
,"Hunterdon County, NJ","34019","25-29 years","25-29",185
,"Hunterdon County, NJ","34019","30-34 years","30-34",457
,"Hunterdon County, NJ","34019","35-39 years","35-39",281
,"Hunterdon County, NJ","34019","40-44 years","40-44",58
,"Hunterdon County, NJ","34019","45-49 years","45-49",Suppressed
,"Hunterdon County, NJ","34019","50 years and over","50+",0
,"Mercer County, NJ","34021","Under 15 years","15",Suppressed
,"Mercer County, NJ","34021","15-19 years","15-19",190
,"Mercer County, NJ","34021","20-24 years","20-24",563
,"Mercer County, NJ","34021","25-29 years","25-29",962
,"Mercer County, NJ","34021","30-34 years","30-34",1287
,"Mercer County, NJ","34021","35-39 years","35-39",865
,"Mercer County, NJ","34021","40-44 years","40-44",219
,"Mercer County, NJ","34021","45-49 years","45-49",11
