"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alamance County, NC","37001","Under 15 years","15",Suppressed
,"Alamance County, NC","37001","15-19 years","15-19",93
,"Alamance County, NC","37001","20-24 years","20-24",348
,"Alamance County, NC","37001","25-29 years","25-29",585
,"Alamance County, NC","37001","30-34 years","30-34",522
,"Alamance County, NC","37001","35-39 years","35-39",269
,"Alamance County, NC","37001","40-44 years","40-44",63
,"Alamance County, NC","37001","45-49 years","45-49",Suppressed
,"Alamance County, NC","37001","50 years and over","50+",0
,"Brunswick County, NC","37019","Under 15 years","15",0
,"Brunswick County, NC","37019","15-19 years","15-19",45
,"Brunswick County, NC","37019","20-24 years","20-24",225
,"Brunswick County, NC","37019","25-29 years","25-29",367
,"Brunswick County, NC","37019","30-34 years","30-34",344
,"Brunswick County, NC","37019","35-39 years","35-39",155
,"Brunswick County, NC","37019","40-44 years","40-44",40
,"Brunswick County, NC","37019","45-49 years","45-49",Suppressed
,"Brunswick County, NC","37019","50 years and over","50+",0
,"Buncombe County, NC","37021","Under 15 years","15",Suppressed
,"Buncombe County, NC","37021","15-19 years","15-19",85
,"Buncombe County, NC","37021","20-24 years","20-24",375
,"Buncombe County, NC","37021","25-29 years","25-29",586
,"Buncombe County, NC","37021","30-34 years","30-34",739
,"Buncombe County, NC","37021","35-39 years","35-39",485
,"Buncombe County, NC","37021","40-44 years","40-44",111
,"Buncombe County, NC","37021","45-49 years","45-49",Suppressed
,"Buncombe County, NC","37021","50 years and over","50+",0
,"Cabarrus County, NC","37025","Under 15 years","15",Suppressed
,"Cabarrus County, NC","37025","15-19 years","15-19",110
,"Cabarrus County, NC","37025","20-24 years","20-24",436
,"Cabarrus County, NC","37025","25-29 years","25-29",747
,"Cabarrus County, NC","37025","30-34 years","30-34",851
,"Cabarrus County, NC","37025","35-39 years","35-39",417
,"Cabarrus County, NC","37025","40-44 years","40-44",97
,"Cabarrus County, NC","37025","45-49 years","45-49",Suppressed
,"Cabarrus County, NC","37025","50 years and over","50+",0
,"Catawba County, NC","37035","Under 15 years","15",0
