"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Aiken County, SC","45003","Under 15 years","15",Suppressed
,"Aiken County, SC","45003","15-19 years","15-19",108
,"Aiken County, SC","45003","20-24 years","20-24",413
,"Aiken County, SC","45003","25-29 years","25-29",561
,"Aiken County, SC","45003","30-34 years","30-34",552
,"Aiken County, SC","45003","35-39 years","35-39",221
,"Aiken County, SC","45003","40-44 years","40-44",43
,"Aiken County, SC","45003","45-49 years","45-49",Suppressed
,"Aiken County, SC","45003","50 years and over","50+",0
,"Anderson County, SC","45007","Under 15 years","15",Suppressed
,"Anderson County, SC","45007","15-19 years","15-19",116
,"Anderson County, SC","45007","20-24 years","20-24",503
,"Anderson County, SC","45007","25-29 years","25-29",764
,"Anderson County, SC","45007","30-34 years","30-34",650
,"Anderson County, SC","45007","35-39 years","35-39",277
,"Anderson County, SC","45007","40-44 years","40-44",50
,"Anderson County, SC","45007","45-49 years","45-49",Suppressed
,"Anderson County, SC","45007","50 years and over","50+",0
,"Beaufort County, SC","45013","Under 15 years","15",Suppressed
,"Beaufort County, SC","45013","15-19 years","15-19",55
,"Beaufort County, SC","45013","20-24 years","20-24",424
,"Beaufort County, SC","45013","25-29 years","25-29",550
,"Beaufort County, SC","45013","30-34 years","30-34",522
,"Beaufort County, SC","45013","35-39 years","35-39",281
,"Beaufort County, SC","45013","40-44 years","40-44",57
,"Beaufort County, SC","45013","45-49 years","45-49",Suppressed
,"Beaufort County, SC","45013","50 years and over","50+",0
,"Berkeley County, SC","45015","Under 15 years","15",Suppressed
,"Berkeley County, SC","45015","15-19 years","15-19",112
,"Berkeley County, SC","45015","20-24 years","20-24",547
,"Berkeley County, SC","45015","25-29 years","25-29",961
,"Berkeley County, SC","45015","30-34 years","30-34",954
,"Berkeley County, SC","45015","35-39 years","35-39",461
,"Berkeley County, SC","45015","40-44 years","40-44",83
,"Berkeley County, SC","45015","45-49 years","45-49",10
,"Berkeley County, SC","45015","50 years and over","50+",Suppressed
,"Charleston County, SC","45019","Under 15 years","15",Suppressed
,"Charleston County, SC","45019","15-19 years","15-19",194
,"Charleston County, SC","45019","20-24 years","20-24",649
,"Charleston County, SC","45019","25-29 years","25-29",988
,"Charleston County, SC","45019","30-34 years","30-34",1709
,"Charleston County, SC","45019","35-39 years","35-39",1070
,"Charleston County, SC","45019","40-44 years","40-44",221
,"Charleston County, SC","45019","45-49 years","45-49",20
,"Charleston County, SC","45019","50 years and over","50+",Suppressed
,"Dorchester County, SC","45035","Under 15 years","15",Suppressed
,"Dorchester County, SC","45035","15-19 years","15-19",105
,"Dorchester County, SC","45035","20-24 years","20-24",353
,"Dorchester County, SC","45035","25-29 years","25-29",591
,"Dorchester County, SC","45035","30-34 years","30-34",578
,"Dorchester County, SC","45035","35-39 years","35-39",281
,"Dorchester County, SC","45035","40-44 years","40-44",76
,"Dorchester County, SC","45035","45-49 years","45-49",Suppressed
,"Dorchester County, SC","45035","50 years and over","50+",0
,"Florence County, SC","45041","Under 15 years","15",0
,"Florence County, SC","45041","15-19 years","15-19",119
,"Florence County, SC","45041","20-24 years","20-24",344
,"Florence County, SC","45041","25-29 years","25-29",468
,"Florence County, SC","45041","30-34 years","30-34",406
,"Florence County, SC","45041","35-39 years","35-39",181
,"Florence County, SC","45041","40-44 years","40-44",41
,"Florence County, SC","45041","45-49 years","45-49",Suppressed
,"Florence County, SC","45041","50 years and over","50+",Suppressed
,"Greenville County, SC","45045","Under 15 years","15",Suppressed
,"Greenville County, SC","45045","15-19 years","15-19",266
,"Greenville County, SC","45045","20-24 years","20-24",1012
,"Greenville County, SC","45045","25-29 years","25-29",1910
,"Greenville County, SC","45045","30-34 years","30-34",2089
,"Greenville County, SC","45045","35-39 years","35-39",1080
,"Greenville County, SC","45045","40-44 years","40-44",224
,"Greenville County, SC","45045","45-49 years","45-49",16
,"Greenville County, SC","45045","50 years and over","50+",Suppressed
,"Horry County, SC","45051","Under 15 years","15",Suppressed
,"Horry County, SC","45051","15-19 years","15-19",180
,"Horry County, SC","45051","20-24 years","20-24",683
,"Horry County, SC","45051","25-29 years","25-29",999
,"Horry County, SC","45051","30-34 years","30-34",895
,"Horry County, SC","45051","35-39 years","35-39",495
,"Horry County, SC","45051","40-44 years","40-44",111
,"Horry County, SC","45051","45-49 years","45-49",Suppressed
,"Horry County, SC","45051","50 years and over","50+",0
,"Lexington County, SC","45063","Under 15 years","15",Suppressed
,"Lexington County, SC","45063","15-19 years","15-19",147
,"Lexington County, SC","45063","20-24 years","20-24",572
,"Lexington County, SC","45063","25-29 years","25-29",925
,"Lexington County, SC","45063","30-34 years","30-34",938
,"Lexington County, SC","45063","35-39 years","35-39",459
,"Lexington County, SC","45063","40-44 years","40-44",88
,"Lexington County, SC","45063","45-49 years","45-49",Suppressed
,"Lexington County, SC","45063","50 years and over","50+",0
,"Pickens County, SC","45077","Under 15 years","15",0
,"Pickens County, SC","45077","15-19 years","15-19",63
,"Pickens County, SC","45077","20-24 years","20-24",240
,"Pickens County, SC","45077","25-29 years","25-29",434
,"Pickens County, SC","45077","30-34 years","30-34",318
,"Pickens County, SC","45077","35-39 years","35-39",129
,"Pickens County, SC","45077","40-44 years","40-44",18
,"Pickens County, SC","45077","45-49 years","45-49",Suppressed
,"Pickens County, SC","45077","50 years and over","50+",0
,"Richland County, SC","45079","Under 15 years","15",Suppressed
,"Richland County, SC","45079","15-19 years","15-19",199
,"Richland County, SC","45079","20-24 years","20-24",796
,"Richland County, SC","45079","25-29 years","25-29",1241
,"Richland County, SC","45079","30-34 years","30-34",1436
,"Richland County, SC","45079","35-39 years","35-39",705
,"Richland County, SC","45079","40-44 years","40-44",150
,"Richland County, SC","45079","45-49 years","45-49",Suppressed
,"Richland County, SC","45079","50 years and over","50+",Suppressed
,"Spartanburg County, SC","45083","Under 15 years","15",Suppressed
,"Spartanburg County, SC","45083","15-19 years","15-19",224
,"Spartanburg County, SC","45083","20-24 years","20-24",921
,"Spartanburg County, SC","45083","25-29 years","25-29",1435
,"Spartanburg County, SC","45083","30-34 years","30-34",1190
,"Spartanburg County, SC","45083","35-39 years","35-39",525
,"Spartanburg County, SC","45083","40-44 years","40-44",112
,"Spartanburg County, SC","45083","45-49 years","45-49",Suppressed
,"Spartanburg County, SC","45083","50 years and over","50+",0
,"Sumter County, SC","45085","Under 15 years","15",Suppressed
,"Sumter County, SC","45085","15-19 years","15-19",97
,"Sumter County, SC","45085","20-24 years","20-24",293
,"Sumter County, SC","45085","25-29 years","25-29",426
,"Sumter County, SC","45085","30-34 years","30-34",314
,"Sumter County, SC","45085","35-39 years","35-39",136
,"Sumter County, SC","45085","40-44 years","40-44",28
,"Sumter County, SC","45085","45-49 years","45-49",0
,"Sumter County, SC","45085","50 years and over","50+",0
,"York County, SC","45091","Under 15 years","15",Suppressed
,"York County, SC","45091","15-19 years","15-19",112
,"York County, SC","45091","20-24 years","20-24",433
,"York County, SC","45091","25-29 years","25-29",841
,"York County, SC","45091","30-34 years","30-34",1007
,"York County, SC","45091","35-39 years","35-39",505
,"York County, SC","45091","40-44 years","40-44",98
,"York County, SC","45091","45-49 years","45-49",Suppressed
,"York County, SC","45091","50 years and over","50+",Suppressed
,"Unidentified Counties, SC","45999","Under 15 years","15",10
,"Unidentified Counties, SC","45999","15-19 years","15-19",868
,"Unidentified Counties, SC","45999","20-24 years","20-24",3156
,"Unidentified Counties, SC","45999","25-29 years","25-29",3738
,"Unidentified Counties, SC","45999","30-34 years","30-34",3038
,"Unidentified Counties, SC","45999","35-39 years","35-39",1322
,"Unidentified Counties, SC","45999","40-44 years","40-44",309
,"Unidentified Counties, SC","45999","45-49 years","45-49",13
,"Unidentified Counties, SC","45999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: South Carolina (45)"
"Year: 2023"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:13:25 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:13:25 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
