"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Blount County, TN","47009","Under 15 years","15",Suppressed
,"Blount County, TN","47009","15-19 years","15-19",60
,"Blount County, TN","47009","20-24 years","20-24",288
,"Blount County, TN","47009","25-29 years","25-29",387
,"Blount County, TN","47009","30-34 years","30-34",379
,"Blount County, TN","47009","35-39 years","35-39",151
,"Blount County, TN","47009","40-44 years","40-44",28
,"Blount County, TN","47009","45-49 years","45-49",0
,"Blount County, TN","47009","50 years and over","50+",0
,"Davidson County, TN","47037","Under 15 years","15",Suppressed
,"Davidson County, TN","47037","15-19 years","15-19",528
,"Davidson County, TN","47037","20-24 years","20-24",1722
,"Davidson County, TN","47037","25-29 years","25-29",2541
,"Davidson County, TN","47037","30-34 years","30-34",3279
,"Davidson County, TN","47037","35-39 years","35-39",1840
,"Davidson County, TN","47037","40-44 years","40-44",363
,"Davidson County, TN","47037","45-49 years","45-49",26
,"Davidson County, TN","47037","50 years and over","50+",0
,"Hamilton County, TN","47065","Under 15 years","15",Suppressed
,"Hamilton County, TN","47065","15-19 years","15-19",214
,"Hamilton County, TN","47065","20-24 years","20-24",792
,"Hamilton County, TN","47065","25-29 years","25-29",1334
,"Hamilton County, TN","47065","30-34 years","30-34",1401
,"Hamilton County, TN","47065","35-39 years","35-39",635
,"Hamilton County, TN","47065","40-44 years","40-44",122
,"Hamilton County, TN","47065","45-49 years","45-49",Suppressed
,"Hamilton County, TN","47065","50 years and over","50+",0
,"Knox County, TN","47093","Under 15 years","15",Suppressed
,"Knox County, TN","47093","15-19 years","15-19",232
,"Knox County, TN","47093","20-24 years","20-24",926
,"Knox County, TN","47093","25-29 years","25-29",1684
,"Knox County, TN","47093","30-34 years","30-34",1706
,"Knox County, TN","47093","35-39 years","35-39",807
,"Knox County, TN","47093","40-44 years","40-44",156
,"Knox County, TN","47093","45-49 years","45-49",Suppressed
,"Knox County, TN","47093","50 years and over","50+",Suppressed
,"Montgomery County, TN","47125","Under 15 years","15",Suppressed
,"Montgomery County, TN","47125","15-19 years","15-19",146
,"Montgomery County, TN","47125","20-24 years","20-24",914
,"Montgomery County, TN","47125","25-29 years","25-29",1198
,"Montgomery County, TN","47125","30-34 years","30-34",905
,"Montgomery County, TN","47125","35-39 years","35-39",410
,"Montgomery County, TN","47125","40-44 years","40-44",67
,"Montgomery County, TN","47125","45-49 years","45-49",Suppressed
,"Montgomery County, TN","47125","50 years and over","50+",Suppressed
,"Rutherford County, TN","47149","Under 15 years","15",Suppressed
,"Rutherford County, TN","47149","15-19 years","15-19",174
,"Rutherford County, TN","47149","20-24 years","20-24",844
,"Rutherford County, TN","47149","25-29 years","25-29",1442
,"Rutherford County, TN","47149","30-34 years","30-34",1367
,"Rutherford County, TN","47149","35-39 years","35-39",669
,"Rutherford County, TN","47149","40-44 years","40-44",137
,"Rutherford County, TN","47149","45-49 years","45-49",10
,"Rutherford County, TN","47149","50 years and over","50+",Suppressed
,"Shelby County, TN","47157","Under 15 years","15",10
,"Shelby County, TN","47157","15-19 years","15-19",849
,"Shelby County, TN","47157","20-24 years","20-24",2677
,"Shelby County, TN","47157","25-29 years","25-29",3420
,"Shelby County, TN","47157","30-34 years","30-34",3213
