"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Allen County, IN","18003","Hispanic or Latino","2135-2",632
,"Allen County, IN","18003","Not Hispanic or Latino","2186-5",4463
,"Allen County, IN","18003","Unknown or Not Stated","9",Suppressed
,"Clark County, IN","18019","Hispanic or Latino","2135-2",184
,"Clark County, IN","18019","Not Hispanic or Latino","2186-5",1248
,"Clark County, IN","18019","Unknown or Not Stated","9",Suppressed
,"Delaware County, IN","18035","Hispanic or Latino","2135-2",47
,"Delaware County, IN","18035","Not Hispanic or Latino","2186-5",1013
,"Delaware County, IN","18035","Unknown or Not Stated","9",Suppressed
,"Elkhart County, IN","18039","Hispanic or Latino","2135-2",856
,"Elkhart County, IN","18039","Not Hispanic or Latino","2186-5",1996
,"Elkhart County, IN","18039","Unknown or Not Stated","9",Suppressed
,"Hamilton County, IN","18057","Hispanic or Latino","2135-2",346
,"Hamilton County, IN","18057","Not Hispanic or Latino","2186-5",3553
,"Hamilton County, IN","18057","Unknown or Not Stated","9",Suppressed
,"Hendricks County, IN","18063","Hispanic or Latino","2135-2",147
,"Hendricks County, IN","18063","Not Hispanic or Latino","2186-5",1706
,"Hendricks County, IN","18063","Unknown or Not Stated","9",Suppressed
,"Johnson County, IN","18081","Hispanic or Latino","2135-2",86
,"Johnson County, IN","18081","Not Hispanic or Latino","2186-5",1798
,"Johnson County, IN","18081","Unknown or Not Stated","9",Suppressed
,"Lake County, IN","18089","Hispanic or Latino","2135-2",1246
,"Lake County, IN","18089","Not Hispanic or Latino","2186-5",3842
,"Lake County, IN","18089","Unknown or Not Stated","9",Suppressed
,"La Porte County, IN","18091","Hispanic or Latino","2135-2",112
,"La Porte County, IN","18091","Not Hispanic or Latino","2186-5",970
,"La Porte County, IN","18091","Unknown or Not Stated","9",Suppressed
,"Madison County, IN","18095","Hispanic or Latino","2135-2",112
,"Madison County, IN","18095","Not Hispanic or Latino","2186-5",1285
,"Madison County, IN","18095","Unknown or Not Stated","9",Suppressed
,"Marion County, IN","18097","Hispanic or Latino","2135-2",3382
,"Marion County, IN","18097","Not Hispanic or Latino","2186-5",10959
,"Marion County, IN","18097","Unknown or Not Stated","9",27
,"Monroe County, IN","18105","Hispanic or Latino","2135-2",71
,"Monroe County, IN","18105","Not Hispanic or Latino","2186-5",917
,"Monroe County, IN","18105","Unknown or Not Stated","9",0
,"Porter County, IN","18127","Hispanic or Latino","2135-2",184
,"Porter County, IN","18127","Not Hispanic or Latino","2186-5",1319
,"Porter County, IN","18127","Unknown or Not Stated","9",Suppressed
,"St. Joseph County, IN","18141","Hispanic or Latino","2135-2",503
,"St. Joseph County, IN","18141","Not Hispanic or Latino","2186-5",2608
,"St. Joseph County, IN","18141","Unknown or Not Stated","9",Suppressed
,"Tippecanoe County, IN","18157","Hispanic or Latino","2135-2",320
,"Tippecanoe County, IN","18157","Not Hispanic or Latino","2186-5",1458
,"Tippecanoe County, IN","18157","Unknown or Not Stated","9",Suppressed
,"Vanderburgh County, IN","18163","Hispanic or Latino","2135-2",167
,"Vanderburgh County, IN","18163","Not Hispanic or Latino","2186-5",1978
,"Vanderburgh County, IN","18163","Unknown or Not Stated","9",Suppressed
,"Vigo County, IN","18167","Hispanic or Latino","2135-2",37
,"Vigo County, IN","18167","Not Hispanic or Latino","2186-5",1048
,"Vigo County, IN","18167","Unknown or Not Stated","9",Suppressed
,"Unidentified Counties, IN","18999","Hispanic or Latino","2135-2",2154
,"Unidentified Counties, IN","18999","Not Hispanic or Latino","2186-5",26150
,"Unidentified Counties, IN","18999","Unknown or Not Stated","9",29
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Indiana (18)"
"Year: 2023"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 1:08:28 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 1:08:28 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
