"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Allen County, IN","18003","Female","F",2474
,"Allen County, IN","18003","Male","M",2626
,"Clark County, IN","18019","Female","F",718
,"Clark County, IN","18019","Male","M",715
,"Delaware County, IN","18035","Female","F",548
,"Delaware County, IN","18035","Male","M",514
,"Elkhart County, IN","18039","Female","F",1446
,"Elkhart County, IN","18039","Male","M",1411
,"Hamilton County, IN","18057","Female","F",1894
,"Hamilton County, IN","18057","Male","M",2011
,"Hendricks County, IN","18063","Female","F",950
,"Hendricks County, IN","18063","Male","M",907
,"Johnson County, IN","18081","Female","F",942
,"Johnson County, IN","18081","Male","M",943
,"Lake County, IN","18089","Female","F",2492
,"Lake County, IN","18089","Male","M",2604
,"La Porte County, IN","18091","Female","F",515
,"La Porte County, IN","18091","Male","M",569
,"Madison County, IN","18095","Female","F",689
,"Madison County, IN","18095","Male","M",709
,"Marion County, IN","18097","Female","F",6988
,"Marion County, IN","18097","Male","M",7380
,"Monroe County, IN","18105","Female","F",489
,"Monroe County, IN","18105","Male","M",499
,"Porter County, IN","18127","Female","F",753
,"Porter County, IN","18127","Male","M",752
,"St. Joseph County, IN","18141","Female","F",1568
,"St. Joseph County, IN","18141","Male","M",1547
,"Tippecanoe County, IN","18157","Female","F",926
,"Tippecanoe County, IN","18157","Male","M",855
,"Vanderburgh County, IN","18163","Female","F",1041
,"Vanderburgh County, IN","18163","Male","M",1106
,"Vigo County, IN","18167","Female","F",533
,"Vigo County, IN","18167","Male","M",553
,"Unidentified Counties, IN","18999","Female","F",13820
,"Unidentified Counties, IN","18999","Male","M",14513
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Indiana (18)"
"Year: 2023"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:40:46 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:40:46 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
