"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Champaign County, IL","17019","American Indian or Alaska Native","1002-5",Suppressed
,"Champaign County, IL","17019","Asian","A",154
,"Champaign County, IL","17019","Black or African American","2054-5",449
,"Champaign County, IL","17019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Champaign County, IL","17019","White","2106-3",1197
,"Champaign County, IL","17019","More than one race","M",85
,"Champaign County, IL","17019","Unknown or Not Stated","UNK",0
,"Champaign County, IL","17019","Not Available","NA",0
,"Champaign County, IL","17019","Not Reported","NR",0
,"Cook County, IL","17031","American Indian or Alaska Native","1002-5",79
,"Cook County, IL","17031","Asian","A",4673
,"Cook County, IL","17031","Black or African American","2054-5",10851
,"Cook County, IL","17031","Native Hawaiian or Other Pacific Islander","NHOPI",18
,"Cook County, IL","17031","White","2106-3",34404
,"Cook County, IL","17031","More than one race","M",739
,"Cook County, IL","17031","Unknown or Not Stated","UNK",0
,"Cook County, IL","17031","Not Available","NA",0
,"Cook County, IL","17031","Not Reported","NR",0
,"DeKalb County, IL","17037","American Indian or Alaska Native","1002-5",Suppressed
,"DeKalb County, IL","17037","Asian","A",14
,"DeKalb County, IL","17037","Black or African American","2054-5",147
,"DeKalb County, IL","17037","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"DeKalb County, IL","17037","White","2106-3",797
,"DeKalb County, IL","17037","More than one race","M",21
,"DeKalb County, IL","17037","Unknown or Not Stated","UNK",0
,"DeKalb County, IL","17037","Not Available","NA",0
,"DeKalb County, IL","17037","Not Reported","NR",0
,"DuPage County, IL","17043","American Indian or Alaska Native","1002-5",Suppressed
,"DuPage County, IL","17043","Asian","A",1519
,"DuPage County, IL","17043","Black or African American","2054-5",577
,"DuPage County, IL","17043","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"DuPage County, IL","17043","White","2106-3",7292
,"DuPage County, IL","17043","More than one race","M",153
,"DuPage County, IL","17043","Unknown or Not Stated","UNK",0
,"DuPage County, IL","17043","Not Available","NA",0
,"DuPage County, IL","17043","Not Reported","NR",0
,"Kane County, IL","17089","American Indian or Alaska Native","1002-5",Suppressed
,"Kane County, IL","17089","Asian","A",277
,"Kane County, IL","17089","Black or African American","2054-5",339
,"Kane County, IL","17089","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Kane County, IL","17089","White","2106-3",4808
,"Kane County, IL","17089","More than one race","M",69
,"Kane County, IL","17089","Unknown or Not Stated","UNK",0
,"Kane County, IL","17089","Not Available","NA",0
,"Kane County, IL","17089","Not Reported","NR",0
,"Kankakee County, IL","17091","American Indian or Alaska Native","1002-5",Suppressed
,"Kankakee County, IL","17091","Asian","A",16
,"Kankakee County, IL","17091","Black or African American","2054-5",211
,"Kankakee County, IL","17091","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Kankakee County, IL","17091","White","2106-3",824
,"Kankakee County, IL","17091","More than one race","M",16
,"Kankakee County, IL","17091","Unknown or Not Stated","UNK",0
,"Kankakee County, IL","17091","Not Available","NA",0
,"Kankakee County, IL","17091","Not Reported","NR",0
,"Kendall County, IL","17093","American Indian or Alaska Native","1002-5",Suppressed
,"Kendall County, IL","17093","Asian","A",73
,"Kendall County, IL","17093","Black or African American","2054-5",119
,"Kendall County, IL","17093","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Kendall County, IL","17093","White","2106-3",1277
,"Kendall County, IL","17093","More than one race","M",28
,"Kendall County, IL","17093","Unknown or Not Stated","UNK",0
,"Kendall County, IL","17093","Not Available","NA",0
,"Kendall County, IL","17093","Not Reported","NR",0
,"Lake County, IL","17097","American Indian or Alaska Native","1002-5",Suppressed
,"Lake County, IL","17097","Asian","A",599
,"Lake County, IL","17097","Black or African American","2054-5",566
,"Lake County, IL","17097","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Lake County, IL","17097","White","2106-3",5135
,"Lake County, IL","17097","More than one race","M",128
,"Lake County, IL","17097","Unknown or Not Stated","UNK",0
,"Lake County, IL","17097","Not Available","NA",0
,"Lake County, IL","17097","Not Reported","NR",0
,"LaSalle County, IL","17099","American Indian or Alaska Native","1002-5",Suppressed
,"LaSalle County, IL","17099","Asian","A",10
,"LaSalle County, IL","17099","Black or African American","2054-5",32
,"LaSalle County, IL","17099","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"LaSalle County, IL","17099","White","2106-3",981
,"LaSalle County, IL","17099","More than one race","M",20
,"LaSalle County, IL","17099","Unknown or Not Stated","UNK",0
,"LaSalle County, IL","17099","Not Available","NA",0
,"LaSalle County, IL","17099","Not Reported","NR",0
,"McHenry County, IL","17111","American Indian or Alaska Native","1002-5",Suppressed
,"McHenry County, IL","17111","Asian","A",126
,"McHenry County, IL","17111","Black or African American","2054-5",44
,"McHenry County, IL","17111","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"McHenry County, IL","17111","White","2106-3",2763
,"McHenry County, IL","17111","More than one race","M",36
,"McHenry County, IL","17111","Unknown or Not Stated","UNK",0
,"McHenry County, IL","17111","Not Available","NA",0
,"McHenry County, IL","17111","Not Reported","NR",0
,"McLean County, IL","17113","American Indian or Alaska Native","1002-5",Suppressed
,"McLean County, IL","17113","Asian","A",110
,"McLean County, IL","17113","Black or African American","2054-5",237
,"McLean County, IL","17113","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"McLean County, IL","17113","White","2106-3",1216
,"McLean County, IL","17113","More than one race","M",45
,"McLean County, IL","17113","Unknown or Not Stated","UNK",0
,"McLean County, IL","17113","Not Available","NA",0
,"McLean County, IL","17113","Not Reported","NR",0
,"Macon County, IL","17115","American Indian or Alaska Native","1002-5",Suppressed
,"Macon County, IL","17115","Asian","A",12
,"Macon County, IL","17115","Black or African American","2054-5",269
,"Macon County, IL","17115","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Macon County, IL","17115","White","2106-3",671
,"Macon County, IL","17115","More than one race","M",77
,"Macon County, IL","17115","Unknown or Not Stated","UNK",0
,"Macon County, IL","17115","Not Available","NA",0
,"Macon County, IL","17115","Not Reported","NR",0
,"Madison County, IL","17119","American Indian or Alaska Native","1002-5",Suppressed
,"Madison County, IL","17119","Asian","A",32
,"Madison County, IL","17119","Black or African American","2054-5",386
,"Madison County, IL","17119","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Madison County, IL","17119","White","2106-3",2100
,"Madison County, IL","17119","More than one race","M",91
,"Madison County, IL","17119","Unknown or Not Stated","UNK",0
,"Madison County, IL","17119","Not Available","NA",0
,"Madison County, IL","17119","Not Reported","NR",0
,"Peoria County, IL","17143","American Indian or Alaska Native","1002-5",Suppressed
,"Peoria County, IL","17143","Asian","A",105
,"Peoria County, IL","17143","Black or African American","2054-5",562
,"Peoria County, IL","17143","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Peoria County, IL","17143","White","2106-3",1225
,"Peoria County, IL","17143","More than one race","M",71
,"Peoria County, IL","17143","Unknown or Not Stated","UNK",0
,"Peoria County, IL","17143","Not Available","NA",0
,"Peoria County, IL","17143","Not Reported","NR",0
,"Rock Island County, IL","17161","American Indian or Alaska Native","1002-5",Suppressed
,"Rock Island County, IL","17161","Asian","A",44
,"Rock Island County, IL","17161","Black or African American","2054-5",331
,"Rock Island County, IL","17161","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Rock Island County, IL","17161","White","2106-3",1044
,"Rock Island County, IL","17161","More than one race","M",70
,"Rock Island County, IL","17161","Unknown or Not Stated","UNK",0
,"Rock Island County, IL","17161","Not Available","NA",0
,"Rock Island County, IL","17161","Not Reported","NR",0
,"St. Clair County, IL","17163","American Indian or Alaska Native","1002-5",Suppressed
,"St. Clair County, IL","17163","Asian","A",42
,"St. Clair County, IL","17163","Black or African American","2054-5",867
,"St. Clair County, IL","17163","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"St. Clair County, IL","17163","White","2106-3",1378
,"St. Clair County, IL","17163","More than one race","M",82
,"St. Clair County, IL","17163","Unknown or Not Stated","UNK",0
,"St. Clair County, IL","17163","Not Available","NA",0
,"St. Clair County, IL","17163","Not Reported","NR",0
,"Sangamon County, IL","17167","American Indian or Alaska Native","1002-5",Suppressed
,"Sangamon County, IL","17167","Asian","A",50
,"Sangamon County, IL","17167","Black or African American","2054-5",464
,"Sangamon County, IL","17167","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Sangamon County, IL","17167","White","2106-3",1383
,"Sangamon County, IL","17167","More than one race","M",105
,"Sangamon County, IL","17167","Unknown or Not Stated","UNK",0
,"Sangamon County, IL","17167","Not Available","NA",0
,"Sangamon County, IL","17167","Not Reported","NR",0
,"Tazewell County, IL","17179","American Indian or Alaska Native","1002-5",Suppressed
,"Tazewell County, IL","17179","Asian","A",18
,"Tazewell County, IL","17179","Black or African American","2054-5",17
,"Tazewell County, IL","17179","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Tazewell County, IL","17179","White","2106-3",1229
,"Tazewell County, IL","17179","More than one race","M",25
,"Tazewell County, IL","17179","Unknown or Not Stated","UNK",0
,"Tazewell County, IL","17179","Not Available","NA",0
,"Tazewell County, IL","17179","Not Reported","NR",0
,"Will County, IL","17197","American Indian or Alaska Native","1002-5",Suppressed
,"Will County, IL","17197","Asian","A",487
,"Will County, IL","17197","Black or African American","2054-5",830
,"Will County, IL","17197","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Will County, IL","17197","White","2106-3",5387
,"Will County, IL","17197","More than one race","M",122
,"Will County, IL","17197","Unknown or Not Stated","UNK",0
,"Will County, IL","17197","Not Available","NA",0
,"Will County, IL","17197","Not Reported","NR",0
,"Winnebago County, IL","17201","American Indian or Alaska Native","1002-5",Suppressed
,"Winnebago County, IL","17201","Asian","A",77
,"Winnebago County, IL","17201","Black or African American","2054-5",698
,"Winnebago County, IL","17201","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Winnebago County, IL","17201","White","2106-3",2131
,"Winnebago County, IL","17201","More than one race","M",140
,"Winnebago County, IL","17201","Unknown or Not Stated","UNK",0
,"Winnebago County, IL","17201","Not Available","NA",0
,"Winnebago County, IL","17201","Not Reported","NR",0
,"Unidentified Counties, IL","17999","American Indian or Alaska Native","1002-5",28
,"Unidentified Counties, IL","17999","Asian","A",186
,"Unidentified Counties, IL","17999","Black or African American","2054-5",820
,"Unidentified Counties, IL","17999","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Unidentified Counties, IL","17999","White","2106-3",17350
,"Unidentified Counties, IL","17999","More than one race","M",413
,"Unidentified Counties, IL","17999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, IL","17999","Not Available","NA",0
,"Unidentified Counties, IL","17999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Illinois (17)"
"Year: 2023"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 12:11:10 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 12:11:10 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
