"Notes","State of Residence","State of Residence Code","Marital Status","Marital Status Code",Births
,"Alabama","01","Married","1",31249
,"Alabama","01","Unmarried","2",26598
,"Alabama","01","Unknown or Not Stated","9",0
,"Alabama","01","Not Reported","NR",11
,"Alaska","02","Married","1",5701
,"Alaska","02","Unmarried","2",3309
,"Alaska","02","Unknown or Not Stated","9",0
,"Alaska","02","Not Reported","NR",Suppressed
,"Arizona","04","Married","1",42440
,"Arizona","04","Unmarried","2",35527
,"Arizona","04","Unknown or Not Stated","9",0
,"Arizona","04","Not Reported","NR",129
,"Arkansas","05","Married","1",19014
,"Arkansas","05","Unmarried","2",16244
,"Arkansas","05","Unknown or Not Stated","9",0
,"Arkansas","05","Not Reported","NR",Suppressed
,"California","06","Married","1",0
,"California","06","Unmarried","2",0
,"California","06","Unknown or Not Stated","9",0
,"California","06","Not Reported","NR",400108
,"Colorado","08","Married","1",46673
,"Colorado","08","Unmarried","2",14793
,"Colorado","08","Unknown or Not Stated","9",0
,"Colorado","08","Not Reported","NR",28
,"Connecticut","09","Married","1",21600
,"Connecticut","09","Unmarried","2",12955
,"Connecticut","09","Unknown or Not Stated","9",0
,"Connecticut","09","Not Reported","NR",Suppressed
,"Delaware","10","Married","1",5535
,"Delaware","10","Unmarried","2",4889
,"Delaware","10","Unknown or Not Stated","9",0
,"Delaware","10","Not Reported","NR",Suppressed
,"District of Columbia","11","Married","1",4226
,"District of Columbia","11","Unmarried","2",3668
,"District of Columbia","11","Unknown or Not Stated","9",0
,"District of Columbia","11","Not Reported","NR",Suppressed
,"Florida","12","Married","1",119959
,"Florida","12","Unmarried","2",101399
,"Florida","12","Unknown or Not Stated","9",0
,"Florida","12","Not Reported","NR",52
,"Georgia","13","Married","1",67131
,"Georgia","13","Unmarried","2",57981
,"Georgia","13","Unknown or Not Stated","9",0
,"Georgia","13","Not Reported","NR",Suppressed
,"Hawaii","15","Married","1",8755
,"Hawaii","15","Unmarried","2",6035
,"Hawaii","15","Unknown or Not Stated","9",0
,"Hawaii","15","Not Reported","NR",18
,"Idaho","16","Married","1",16439
,"Idaho","16","Unmarried","2",5947
,"Idaho","16","Unknown or Not Stated","9",0
,"Idaho","16","Not Reported","NR",11
,"Illinois","17","Married","1",75238
,"Illinois","17","Unmarried","2",49556
,"Illinois","17","Unknown or Not Stated","9",0
,"Illinois","17","Not Reported","NR",26
,"Indiana","18","Married","1",45136
,"Indiana","18","Unmarried","2",33859
,"Indiana","18","Unknown or Not Stated","9",0
,"Indiana","18","Not Reported","NR",Suppressed
,"Iowa","19","Married","1",23011
,"Iowa","19","Unmarried","2",13039
,"Iowa","19","Unknown or Not Stated","9",0
,"Iowa","19","Not Reported","NR",Suppressed
,"Kansas","20","Married","1",21890
,"Kansas","20","Unmarried","2",12167
,"Kansas","20","Unknown or Not Stated","9",0
,"Kansas","20","Not Reported","NR",Suppressed
,"Kentucky","21","Married","1",29837
,"Kentucky","21","Unmarried","2",22144
,"Kentucky","21","Unknown or Not Stated","9",0
,"Kentucky","21","Not Reported","NR",Suppressed
,"Louisiana","22","Married","1",24435
,"Louisiana","22","Unmarried","2",30484
,"Louisiana","22","Unknown or Not Stated","9",0
,"Louisiana","22","Not Reported","NR",Suppressed
,"Maine","23","Married","1",7367
,"Maine","23","Unmarried","2",4260
,"Maine","23","Unknown or Not Stated","9",0
,"Maine","23","Not Reported","NR",0
,"Maryland","24","Married","1",38722
,"Maryland","24","Unmarried","2",26855
,"Maryland","24","Unknown or Not Stated","9",0
,"Maryland","24","Not Reported","NR",17
,"Massachusetts","25","Married","1",44436
,"Massachusetts","25","Unmarried","2",22645
,"Massachusetts","25","Unknown or Not Stated","9",0
,"Massachusetts","25","Not Reported","NR",12
,"Michigan","26","Married","1",60800
,"Michigan","26","Unmarried","2",38311
,"Michigan","26","Unknown or Not Stated","9",0
,"Michigan","26","Not Reported","NR",13
,"Minnesota","27","Married","1",41750
,"Minnesota","27","Unmarried","2",19955
,"Minnesota","27","Unknown or Not Stated","9",0
,"Minnesota","27","Not Reported","NR",10
,"Mississippi","28","Married","1",15533
,"Mississippi","28","Unmarried","2",18919
,"Mississippi","28","Unknown or Not Stated","9",0
,"Mississippi","28","Not Reported","NR",Suppressed
,"Missouri","29","Married","1",40836
,"Missouri","29","Unmarried","2",26284
,"Missouri","29","Unknown or Not Stated","9",0
,"Missouri","29","Not Reported","NR",Suppressed
,"Montana","30","Married","1",7647
,"Montana","30","Unmarried","2",3426
,"Montana","30","Unknown or Not Stated","9",0
,"Montana","30","Not Reported","NR",Suppressed
,"Nebraska","31","Married","1",15785
,"Nebraska","31","Unmarried","2",8325
,"Nebraska","31","Unknown or Not Stated","9",0
,"Nebraska","31","Not Reported","NR",Suppressed
,"Nevada","32","Married","1",16157
,"Nevada","32","Unmarried","2",15407
,"Nevada","32","Unknown or Not Stated","9",0
,"Nevada","32","Not Reported","NR",230
,"New Hampshire","33","Married","1",8516
,"New Hampshire","33","Unmarried","2",3417
,"New Hampshire","33","Unknown or Not Stated","9",0
,"New Hampshire","33","Not Reported","NR",Suppressed
,"New Jersey","34","Married","1",67125
,"New Jersey","34","Unmarried","2",33855
,"New Jersey","34","Unknown or Not Stated","9",0
,"New Jersey","34","Not Reported","NR",21
,"New Mexico","35","Married","1",9905
,"New Mexico","35","Unmarried","2",11042
,"New Mexico","35","Unknown or Not Stated","9",0
,"New Mexico","35","Not Reported","NR",Suppressed
,"New York","36","Married","1",126703
,"New York","36","Unmarried","2",76877
,"New York","36","Unknown or Not Stated","9",0
,"New York","36","Not Reported","NR",32
,"North Carolina","37","Married","1",71136
,"North Carolina","37","Unmarried","2",48924
,"North Carolina","37","Unknown or Not Stated","9",0
,"North Carolina","37","Not Reported","NR",22
,"North Dakota","38","Married","1",6560
,"North Dakota","38","Unmarried","2",3085
,"North Dakota","38","Unknown or Not Stated","9",0
,"North Dakota","38","Not Reported","NR",Suppressed
,"Ohio","39","Married","1",73094
,"Ohio","39","Unmarried","2",53790
,"Ohio","39","Unknown or Not Stated","9",0
,"Ohio","39","Not Reported","NR",12
,"Oklahoma","40","Married","1",26444
,"Oklahoma","40","Unmarried","2",21456
,"Oklahoma","40","Unknown or Not Stated","9",0
,"Oklahoma","40","Not Reported","NR",Suppressed
,"Oregon","41","Married","1",23834
,"Oregon","41","Unmarried","2",14404
