"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",41115
,"Alabama","01","4th to 6th month","2",11828
,"Alabama","01","7th to final month","3",3192
,"Alabama","01","No prenatal care","4",1529
,"Alabama","01","Unknown or Not Stated","5",194
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",6504
,"Alaska","02","4th to 6th month","2",1754
,"Alaska","02","7th to final month","3",494
,"Alaska","02","No prenatal care","4",109
,"Alaska","02","Unknown or Not Stated","5",154
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",56297
,"Arizona","04","4th to 6th month","2",13854
,"Arizona","04","7th to final month","3",4736
,"Arizona","04","No prenatal care","4",1892
,"Arizona","04","Unknown or Not Stated","5",1317
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",25427
,"Arkansas","05","4th to 6th month","2",6297
,"Arkansas","05","7th to final month","3",2281
,"Arkansas","05","No prenatal care","4",1026
,"Arkansas","05","Unknown or Not Stated","5",233
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",329686
,"California","06","4th to 6th month","2",47645
,"California","06","7th to final month","3",10809
,"California","06","No prenatal care","4",3103
,"California","06","Unknown or Not Stated","5",8865
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",47450
,"Colorado","08","4th to 6th month","2",9013
,"Colorado","08","7th to final month","3",2738
,"Colorado","08","No prenatal care","4",1292
,"Colorado","08","Unknown or Not Stated","5",1001
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",28528
,"Connecticut","09","4th to 6th month","2",4347
,"Connecticut","09","7th to final month","3",1297
,"Connecticut","09","No prenatal care","4",130
,"Connecticut","09","Unknown or Not Stated","5",257
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",7920
,"Delaware","10","4th to 6th month","2",1589
,"Delaware","10","7th to final month","3",346
,"Delaware","10","No prenatal care","4",217
,"Delaware","10","Unknown or Not Stated","5",355
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",5518
,"District of Columbia","11","4th to 6th month","2",1390
,"District of Columbia","11","7th to final month","3",450
,"District of Columbia","11","No prenatal care","4",199
,"District of Columbia","11","Unknown or Not Stated","5",339
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",143603
,"Florida","12","4th to 6th month","2",49981
,"Florida","12","7th to final month","3",15428
,"Florida","12","No prenatal care","4",7665
,"Florida","12","Unknown or Not Stated","5",4733
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",93131
,"Georgia","13","4th to 6th month","2",19902
,"Georgia","13","7th to final month","3",5003
,"Georgia","13","No prenatal care","4",5821
,"Georgia","13","Unknown or Not Stated","5",1263
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",9234
,"Hawaii","15","4th to 6th month","2",2806
,"Hawaii","15","7th to final month","3",1073
,"Hawaii","15","No prenatal care","4",792
,"Hawaii","15","Unknown or Not Stated","5",903
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",18366
,"Idaho","16","4th to 6th month","2",3090
,"Idaho","16","7th to final month","3",658
,"Idaho","16","No prenatal care","4",177
,"Idaho","16","Unknown or Not Stated","5",106
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",94319
,"Illinois","17","4th to 6th month","2",21320
,"Illinois","17","7th to final month","3",5395
,"Illinois","17","No prenatal care","4",1915
,"Illinois","17","Unknown or Not Stated","5",1871
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",58931
,"Indiana","18","4th to 6th month","2",14673
,"Indiana","18","7th to final month","3",3622
,"Indiana","18","No prenatal care","4",1660
,"Indiana","18","Unknown or Not Stated","5",114
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",29197
,"Iowa","19","4th to 6th month","2",5086
,"Iowa","19","7th to final month","3",1266
,"Iowa","19","No prenatal care","4",420
,"Iowa","19","Unknown or Not Stated","5",83
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",28346
,"Kansas","20","4th to 6th month","2",4121
,"Kansas","20","7th to final month","3",1070
,"Kansas","20","No prenatal care","4",391
,"Kansas","20","Unknown or Not Stated","5",137
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",40172
,"Kentucky","21","4th to 6th month","2",8249
,"Kentucky","21","7th to final month","3",2398
,"Kentucky","21","No prenatal care","4",880
,"Kentucky","21","Unknown or Not Stated","5",285
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",40136
,"Louisiana","22","4th to 6th month","2",10169
,"Louisiana","22","7th to final month","3",2791
,"Louisiana","22","No prenatal care","4",1271
,"Louisiana","22","Unknown or Not Stated","5",560
,"Louisiana","22","Not Reported","100",0
,"Maine","23","1st to 3rd month","1",9518
,"Maine","23","4th to 6th month","2",1465
,"Maine","23","7th to final month","3",424
,"Maine","23","No prenatal care","4",126
,"Maine","23","Unknown or Not Stated","5",94
,"Maine","23","Not Reported","100",0
,"Maryland","24","1st to 3rd month","1",46333
,"Maryland","24","4th to 6th month","2",11710
,"Maryland","24","7th to final month","3",3038
,"Maryland","24","No prenatal care","4",1243
,"Maryland","24","Unknown or Not Stated","5",3270
,"Maryland","24","Not Reported","100",0
,"Massachusetts","25","1st to 3rd month","1",54131
