"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Cochise County, AZ","04003","Under 15 years","15",0
,"Cochise County, AZ","04003","15-19 years","15-19",82
,"Cochise County, AZ","04003","20-24 years","20-24",258
,"Cochise County, AZ","04003","25-29 years","25-29",341
,"Cochise County, AZ","04003","30-34 years","30-34",339
,"Cochise County, AZ","04003","35-39 years","35-39",128
,"Cochise County, AZ","04003","40-44 years","40-44",32
,"Cochise County, AZ","04003","45-49 years","45-49",Suppressed
,"Cochise County, AZ","04003","50 years and over","50+",0
,"Coconino County, AZ","04005","Under 15 years","15",Suppressed
,"Coconino County, AZ","04005","15-19 years","15-19",62
,"Coconino County, AZ","04005","20-24 years","20-24",231
,"Coconino County, AZ","04005","25-29 years","25-29",333
,"Coconino County, AZ","04005","30-34 years","30-34",365
,"Coconino County, AZ","04005","35-39 years","35-39",198
,"Coconino County, AZ","04005","40-44 years","40-44",50
,"Coconino County, AZ","04005","45-49 years","45-49",0
,"Coconino County, AZ","04005","50 years and over","50+",0
,"Maricopa County, AZ","04013","Under 15 years","15",13
,"Maricopa County, AZ","04013","15-19 years","15-19",2048
,"Maricopa County, AZ","04013","20-24 years","20-24",9017
,"Maricopa County, AZ","04013","25-29 years","25-29",14839
,"Maricopa County, AZ","04013","30-34 years","30-34",15270
,"Maricopa County, AZ","04013","35-39 years","35-39",7845
,"Maricopa County, AZ","04013","40-44 years","40-44",1732
,"Maricopa County, AZ","04013","45-49 years","45-49",113
,"Maricopa County, AZ","04013","50 years and over","50+",25
,"Mohave County, AZ","04015","Under 15 years","15",0
,"Mohave County, AZ","04015","15-19 years","15-19",108
,"Mohave County, AZ","04015","20-24 years","20-24",438
,"Mohave County, AZ","04015","25-29 years","25-29",539
,"Mohave County, AZ","04015","30-34 years","30-34",451
,"Mohave County, AZ","04015","35-39 years","35-39",203
,"Mohave County, AZ","04015","40-44 years","40-44",35
,"Mohave County, AZ","04015","45-49 years","45-49",Suppressed
,"Mohave County, AZ","04015","50 years and over","50+",Suppressed
,"Navajo County, AZ","04017","Under 15 years","15",Suppressed
,"Navajo County, AZ","04017","15-19 years","15-19",94
,"Navajo County, AZ","04017","20-24 years","20-24",289
,"Navajo County, AZ","04017","25-29 years","25-29",309
,"Navajo County, AZ","04017","30-34 years","30-34",307
,"Navajo County, AZ","04017","35-39 years","35-39",157
,"Navajo County, AZ","04017","40-44 years","40-44",35
,"Navajo County, AZ","04017","45-49 years","45-49",Suppressed
,"Navajo County, AZ","04017","50 years and over","50+",0
,"Pima County, AZ","04019","Under 15 years","15",Suppressed
,"Pima County, AZ","04019","15-19 years","15-19",372
,"Pima County, AZ","04019","20-24 years","20-24",1869
,"Pima County, AZ","04019","25-29 years","25-29",2775
,"Pima County, AZ","04019","30-34 years","30-34",2906
,"Pima County, AZ","04019","35-39 years","35-39",1454
,"Pima County, AZ","04019","40-44 years","40-44",323
,"Pima County, AZ","04019","45-49 years","45-49",23
,"Pima County, AZ","04019","50 years and over","50+",Suppressed
,"Pinal County, AZ","04021","Under 15 years","15",Suppressed
,"Pinal County, AZ","04021","15-19 years","15-19",242
,"Pinal County, AZ","04021","20-24 years","20-24",1083
,"Pinal County, AZ","04021","25-29 years","25-29",1955
,"Pinal County, AZ","04021","30-34 years","30-34",1523
,"Pinal County, AZ","04021","35-39 years","35-39",658
,"Pinal County, AZ","04021","40-44 years","40-44",154
,"Pinal County, AZ","04021","45-49 years","45-49",Suppressed
,"Pinal County, AZ","04021","50 years and over","50+",0
,"Yavapai County, AZ","04025","Under 15 years","15",0
,"Yavapai County, AZ","04025","15-19 years","15-19",88
,"Yavapai County, AZ","04025","20-24 years","20-24",376
,"Yavapai County, AZ","04025","25-29 years","25-29",533
,"Yavapai County, AZ","04025","30-34 years","30-34",489
,"Yavapai County, AZ","04025","35-39 years","35-39",239
,"Yavapai County, AZ","04025","40-44 years","40-44",60
,"Yavapai County, AZ","04025","45-49 years","45-49",Suppressed
,"Yavapai County, AZ","04025","50 years and over","50+",Suppressed
,"Yuma County, AZ","04027","Under 15 years","15",0
,"Yuma County, AZ","04027","15-19 years","15-19",149
,"Yuma County, AZ","04027","20-24 years","20-24",639
,"Yuma County, AZ","04027","25-29 years","25-29",860
,"Yuma County, AZ","04027","30-34 years","30-34",745
,"Yuma County, AZ","04027","35-39 years","35-39",325
,"Yuma County, AZ","04027","40-44 years","40-44",65
,"Yuma County, AZ","04027","45-49 years","45-49",Suppressed
,"Yuma County, AZ","04027","50 years and over","50+",0
,"Unidentified Counties, AZ","04999","Under 15 years","15",Suppressed
,"Unidentified Counties, AZ","04999","15-19 years","15-19",165
,"Unidentified Counties, AZ","04999","20-24 years","20-24",657
,"Unidentified Counties, AZ","04999","25-29 years","25-29",704
,"Unidentified Counties, AZ","04999","30-34 years","30-34",595
,"Unidentified Counties, AZ","04999","35-39 years","35-39",295
,"Unidentified Counties, AZ","04999","40-44 years","40-44",61
,"Unidentified Counties, AZ","04999","45-49 years","45-49",Suppressed
,"Unidentified Counties, AZ","04999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Arizona (04)"
"Year: 2024"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 1:50:04 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 1:50:04 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
