"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alameda County, CA","06001","Under 15 years","15",Suppressed
,"Alameda County, CA","06001","15-19 years","15-19",245
,"Alameda County, CA","06001","20-24 years","20-24",1312
,"Alameda County, CA","06001","25-29 years","25-29",2830
,"Alameda County, CA","06001","30-34 years","30-34",5851
,"Alameda County, CA","06001","35-39 years","35-39",4581
,"Alameda County, CA","06001","40-44 years","40-44",1110
,"Alameda County, CA","06001","45-49 years","45-49",80
,"Alameda County, CA","06001","50 years and over","50+",10
,"Butte County, CA","06007","Under 15 years","15",Suppressed
,"Butte County, CA","06007","15-19 years","15-19",69
,"Butte County, CA","06007","20-24 years","20-24",366
,"Butte County, CA","06007","25-29 years","25-29",593
,"Butte County, CA","06007","30-34 years","30-34",555
,"Butte County, CA","06007","35-39 years","35-39",324
,"Butte County, CA","06007","40-44 years","40-44",74
,"Butte County, CA","06007","45-49 years","45-49",Suppressed
,"Butte County, CA","06007","50 years and over","50+",Suppressed
,"Contra Costa County, CA","06013","Under 15 years","15",Suppressed
,"Contra Costa County, CA","06013","15-19 years","15-19",204
,"Contra Costa County, CA","06013","20-24 years","20-24",1004
,"Contra Costa County, CA","06013","25-29 years","25-29",2231
,"Contra Costa County, CA","06013","30-34 years","30-34",3743
,"Contra Costa County, CA","06013","35-39 years","35-39",2885
,"Contra Costa County, CA","06013","40-44 years","40-44",754
,"Contra Costa County, CA","06013","45-49 years","45-49",58
,"Contra Costa County, CA","06013","50 years and over","50+",Suppressed
,"El Dorado County, CA","06017","Under 15 years","15",0
,"El Dorado County, CA","06017","15-19 years","15-19",26
,"El Dorado County, CA","06017","20-24 years","20-24",165
,"El Dorado County, CA","06017","25-29 years","25-29",346
,"El Dorado County, CA","06017","30-34 years","30-34",540
,"El Dorado County, CA","06017","35-39 years","35-39",356
,"El Dorado County, CA","06017","40-44 years","40-44",84
,"El Dorado County, CA","06017","45-49 years","45-49",Suppressed
,"El Dorado County, CA","06017","50 years and over","50+",Suppressed
,"Fresno County, CA","06019","Under 15 years","15",Suppressed
,"Fresno County, CA","06019","15-19 years","15-19",572
,"Fresno County, CA","06019","20-24 years","20-24",2405
,"Fresno County, CA","06019","25-29 years","25-29",3799
,"Fresno County, CA","06019","30-34 years","30-34",3820
,"Fresno County, CA","06019","35-39 years","35-39",2087
,"Fresno County, CA","06019","40-44 years","40-44",510
,"Fresno County, CA","06019","45-49 years","45-49",34
,"Fresno County, CA","06019","50 years and over","50+",Suppressed
,"Humboldt County, CA","06023","Under 15 years","15",0
,"Humboldt County, CA","06023","15-19 years","15-19",24
,"Humboldt County, CA","06023","20-24 years","20-24",165
,"Humboldt County, CA","06023","25-29 years","25-29",259
,"Humboldt County, CA","06023","30-34 years","30-34",338
,"Humboldt County, CA","06023","35-39 years","35-39",214
,"Humboldt County, CA","06023","40-44 years","40-44",60
,"Humboldt County, CA","06023","45-49 years","45-49",Suppressed
,"Humboldt County, CA","06023","50 years and over","50+",0
,"Imperial County, CA","06025","Under 15 years","15",Suppressed
,"Imperial County, CA","06025","15-19 years","15-19",102
,"Imperial County, CA","06025","20-24 years","20-24",429
,"Imperial County, CA","06025","25-29 years","25-29",606
,"Imperial County, CA","06025","30-34 years","30-34",641
,"Imperial County, CA","06025","35-39 years","35-39",335
,"Imperial County, CA","06025","40-44 years","40-44",69
,"Imperial County, CA","06025","45-49 years","45-49",Suppressed
,"Imperial County, CA","06025","50 years and over","50+",Suppressed
,"Kern County, CA","06029","Under 15 years","15",Suppressed
,"Kern County, CA","06029","15-19 years","15-19",632
,"Kern County, CA","06029","20-24 years","20-24",2392
,"Kern County, CA","06029","25-29 years","25-29",3419
,"Kern County, CA","06029","30-34 years","30-34",3261
,"Kern County, CA","06029","35-39 years","35-39",1621
,"Kern County, CA","06029","40-44 years","40-44",393
,"Kern County, CA","06029","45-49 years","45-49",34
,"Kern County, CA","06029","50 years and over","50+",Suppressed
,"Kings County, CA","06031","Under 15 years","15",0
,"Kings County, CA","06031","15-19 years","15-19",101
,"Kings County, CA","06031","20-24 years","20-24",503
,"Kings County, CA","06031","25-29 years","25-29",700
,"Kings County, CA","06031","30-34 years","30-34",553
,"Kings County, CA","06031","35-39 years","35-39",258
