"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Ada County, ID","16001","Under 15 years","15",Suppressed
,"Ada County, ID","16001","15-19 years","15-19",106
,"Ada County, ID","16001","20-24 years","20-24",752
,"Ada County, ID","16001","25-29 years","25-29",1571
,"Ada County, ID","16001","30-34 years","30-34",1795
,"Ada County, ID","16001","35-39 years","35-39",924
,"Ada County, ID","16001","40-44 years","40-44",194
,"Ada County, ID","16001","45-49 years","45-49",10
,"Ada County, ID","16001","50 years and over","50+",Suppressed
,"Bonneville County, ID","16019","Under 15 years","15",0
,"Bonneville County, ID","16019","15-19 years","15-19",74
,"Bonneville County, ID","16019","20-24 years","20-24",407
,"Bonneville County, ID","16019","25-29 years","25-29",694
,"Bonneville County, ID","16019","30-34 years","30-34",459
,"Bonneville County, ID","16019","35-39 years","35-39",205
,"Bonneville County, ID","16019","40-44 years","40-44",42
,"Bonneville County, ID","16019","45-49 years","45-49",Suppressed
,"Bonneville County, ID","16019","50 years and over","50+",0
,"Canyon County, ID","16027","Under 15 years","15",0
,"Canyon County, ID","16027","15-19 years","15-19",148
,"Canyon County, ID","16027","20-24 years","20-24",750
,"Canyon County, ID","16027","25-29 years","25-29",1195
,"Canyon County, ID","16027","30-34 years","30-34",979
,"Canyon County, ID","16027","35-39 years","35-39",409
,"Canyon County, ID","16027","40-44 years","40-44",103
,"Canyon County, ID","16027","45-49 years","45-49",Suppressed
,"Canyon County, ID","16027","50 years and over","50+",0
,"Kootenai County, ID","16055","Under 15 years","15",0
,"Kootenai County, ID","16055","15-19 years","15-19",37
,"Kootenai County, ID","16055","20-24 years","20-24",363
,"Kootenai County, ID","16055","25-29 years","25-29",629
,"Kootenai County, ID","16055","30-34 years","30-34",664
,"Kootenai County, ID","16055","35-39 years","35-39",308
,"Kootenai County, ID","16055","40-44 years","40-44",76
,"Kootenai County, ID","16055","45-49 years","45-49",Suppressed
,"Kootenai County, ID","16055","50 years and over","50+",Suppressed
,"Unidentified Counties, ID","16999","Under 15 years","15",Suppressed
,"Unidentified Counties, ID","16999","15-19 years","15-19",402
,"Unidentified Counties, ID","16999","20-24 years","20-24",2631
,"Unidentified Counties, ID","16999","25-29 years","25-29",3403
,"Unidentified Counties, ID","16999","30-34 years","30-34",2464
,"Unidentified Counties, ID","16999","35-39 years","35-39",1157
,"Unidentified Counties, ID","16999","40-44 years","40-44",283
,"Unidentified Counties, ID","16999","45-49 years","45-49",22
,"Unidentified Counties, ID","16999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Idaho (16)"
"Year: 2024"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 2:01:07 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 2:01:07 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
