"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Barnstable County, MA","25001","Under 15 years","15",0
,"Barnstable County, MA","25001","15-19 years","15-19",22
,"Barnstable County, MA","25001","20-24 years","20-24",132
,"Barnstable County, MA","25001","25-29 years","25-29",309
,"Barnstable County, MA","25001","30-34 years","30-34",537
,"Barnstable County, MA","25001","35-39 years","35-39",372
,"Barnstable County, MA","25001","40-44 years","40-44",88
,"Barnstable County, MA","25001","45-49 years","45-49",11
,"Barnstable County, MA","25001","50 years and over","50+",Suppressed
,"Berkshire County, MA","25003","Under 15 years","15",0
,"Berkshire County, MA","25003","15-19 years","15-19",25
,"Berkshire County, MA","25003","20-24 years","20-24",108
,"Berkshire County, MA","25003","25-29 years","25-29",200
,"Berkshire County, MA","25003","30-34 years","30-34",318
,"Berkshire County, MA","25003","35-39 years","35-39",170
,"Berkshire County, MA","25003","40-44 years","40-44",39
,"Berkshire County, MA","25003","45-49 years","45-49",0
,"Berkshire County, MA","25003","50 years and over","50+",Suppressed
,"Bristol County, MA","25005","Under 15 years","15",Suppressed
,"Bristol County, MA","25005","15-19 years","15-19",141
,"Bristol County, MA","25005","20-24 years","20-24",719
,"Bristol County, MA","25005","25-29 years","25-29",1492
,"Bristol County, MA","25005","30-34 years","30-34",1972
,"Bristol County, MA","25005","35-39 years","35-39",1142
,"Bristol County, MA","25005","40-44 years","40-44",228
,"Bristol County, MA","25005","45-49 years","45-49",11
,"Bristol County, MA","25005","50 years and over","50+",0
,"Essex County, MA","25009","Under 15 years","15",Suppressed
,"Essex County, MA","25009","15-19 years","15-19",206
,"Essex County, MA","25009","20-24 years","20-24",1019
,"Essex County, MA","25009","25-29 years","25-29",1870
,"Essex County, MA","25009","30-34 years","30-34",3232
,"Essex County, MA","25009","35-39 years","35-39",2058
,"Essex County, MA","25009","40-44 years","40-44",404
,"Essex County, MA","25009","45-49 years","45-49",21
,"Essex County, MA","25009","50 years and over","50+",Suppressed
,"Hampden County, MA","25013","Under 15 years","15",Suppressed
,"Hampden County, MA","25013","15-19 years","15-19",182
,"Hampden County, MA","25013","20-24 years","20-24",798
