"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Champaign County, IL","17019","Female","F",962
,"Champaign County, IL","17019","Male","M",947
,"Cook County, IL","17031","Female","F",25228
,"Cook County, IL","17031","Male","M",26002
,"DeKalb County, IL","17037","Female","F",502
,"DeKalb County, IL","17037","Male","M",514
,"DuPage County, IL","17043","Female","F",4651
,"DuPage County, IL","17043","Male","M",4846
,"Kane County, IL","17089","Female","F",2615
,"Kane County, IL","17089","Male","M",2855
,"Kankakee County, IL","17091","Female","F",573
,"Kankakee County, IL","17091","Male","M",538
,"Kendall County, IL","17093","Female","F",721
,"Kendall County, IL","17093","Male","M",724
,"Lake County, IL","17097","Female","F",3155
,"Lake County, IL","17097","Male","M",3348
,"LaSalle County, IL","17099","Female","F",527
,"LaSalle County, IL","17099","Male","M",543
,"McHenry County, IL","17111","Female","F",1490
,"McHenry County, IL","17111","Male","M",1568
,"McLean County, IL","17113","Female","F",714
,"McLean County, IL","17113","Male","M",854
,"Macon County, IL","17115","Female","F",539
,"Macon County, IL","17115","Male","M",525
,"Madison County, IL","17119","Female","F",1199
,"Madison County, IL","17119","Male","M",1271
,"Peoria County, IL","17143","Female","F",1037
,"Peoria County, IL","17143","Male","M",1051
,"Rock Island County, IL","17161","Female","F",749
,"Rock Island County, IL","17161","Male","M",761
,"St. Clair County, IL","17163","Female","F",1207
,"St. Clair County, IL","17163","Male","M",1242
,"Sangamon County, IL","17167","Female","F",940
,"Sangamon County, IL","17167","Male","M",930
,"Tazewell County, IL","17179","Female","F",578
,"Tazewell County, IL","17179","Male","M",650
,"Will County, IL","17197","Female","F",3280
,"Will County, IL","17197","Male","M",3464
,"Winnebago County, IL","17201","Female","F",1569
,"Winnebago County, IL","17201","Male","M",1556
,"Unidentified Counties, IL","17999","Female","F",9497
,"Unidentified Counties, IL","17999","Male","M",9809
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Illinois (17)"
"Year: 2024"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 2:56:53 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 2:56:53 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
