"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Allen County, OH","39003","American Indian or Alaska Native","1002-5",Suppressed
,"Allen County, OH","39003","Asian","A",10
,"Allen County, OH","39003","Black or African American","2054-5",200
,"Allen County, OH","39003","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Allen County, OH","39003","White","2106-3",957
,"Allen County, OH","39003","More than one race","M",75
,"Allen County, OH","39003","Unknown or Not Stated","UNK",0
,"Allen County, OH","39003","Not Available","NA",0
,"Allen County, OH","39003","Not Reported","NR",0
,"Ashtabula County, OH","39007","American Indian or Alaska Native","1002-5",Suppressed
,"Ashtabula County, OH","39007","Asian","A",Suppressed
,"Ashtabula County, OH","39007","Black or African American","2054-5",22
,"Ashtabula County, OH","39007","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Ashtabula County, OH","39007","White","2106-3",899
,"Ashtabula County, OH","39007","More than one race","M",28
,"Ashtabula County, OH","39007","Unknown or Not Stated","UNK",0
,"Ashtabula County, OH","39007","Not Available","NA",0
,"Ashtabula County, OH","39007","Not Reported","NR",0
,"Butler County, OH","39017","American Indian or Alaska Native","1002-5",19
,"Butler County, OH","39017","Asian","A",266
,"Butler County, OH","39017","Black or African American","2054-5",550
,"Butler County, OH","39017","Native Hawaiian or Other Pacific Islander","NHOPI",38
,"Butler County, OH","39017","White","2106-3",3213
,"Butler County, OH","39017","More than one race","M",158
,"Butler County, OH","39017","Unknown or Not Stated","UNK",0
,"Butler County, OH","39017","Not Available","NA",0
,"Butler County, OH","39017","Not Reported","NR",0
,"Clark County, OH","39023","American Indian or Alaska Native","1002-5",Suppressed
,"Clark County, OH","39023","Asian","A",13
,"Clark County, OH","39023","Black or African American","2054-5",477
,"Clark County, OH","39023","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Clark County, OH","39023","White","2106-3",1168
,"Clark County, OH","39023","More than one race","M",72
,"Clark County, OH","39023","Unknown or Not Stated","UNK",0
,"Clark County, OH","39023","Not Available","NA",0
,"Clark County, OH","39023","Not Reported","NR",0
,"Clermont County, OH","39025","American Indian or Alaska Native","1002-5",Suppressed
,"Clermont County, OH","39025","Asian","A",43
,"Clermont County, OH","39025","Black or African American","2054-5",64
,"Clermont County, OH","39025","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Clermont County, OH","39025","White","2106-3",2073
,"Clermont County, OH","39025","More than one race","M",57
,"Clermont County, OH","39025","Unknown or Not Stated","UNK",0
,"Clermont County, OH","39025","Not Available","NA",0
,"Clermont County, OH","39025","Not Reported","NR",0
,"Columbiana County, OH","39029","American Indian or Alaska Native","1002-5",Suppressed
,"Columbiana County, OH","39029","Asian","A",10
,"Columbiana County, OH","39029","Black or African American","2054-5",12
,"Columbiana County, OH","39029","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Columbiana County, OH","39029","White","2106-3",933
,"Columbiana County, OH","39029","More than one race","M",18
,"Columbiana County, OH","39029","Unknown or Not Stated","UNK",0
,"Columbiana County, OH","39029","Not Available","NA",0
,"Columbiana County, OH","39029","Not Reported","NR",0
,"Cuyahoga County, OH","39035","American Indian or Alaska Native","1002-5",11
,"Cuyahoga County, OH","39035","Asian","A",462
,"Cuyahoga County, OH","39035","Black or African American","2054-5",4166
,"Cuyahoga County, OH","39035","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Cuyahoga County, OH","39035","White","2106-3",7380
,"Cuyahoga County, OH","39035","More than one race","M",424
,"Cuyahoga County, OH","39035","Unknown or Not Stated","UNK",0
,"Cuyahoga County, OH","39035","Not Available","NA",0
,"Cuyahoga County, OH","39035","Not Reported","NR",0
,"Delaware County, OH","39041","American Indian or Alaska Native","1002-5",Suppressed
,"Delaware County, OH","39041","Asian","A",349
,"Delaware County, OH","39041","Black or African American","2054-5",126
,"Delaware County, OH","39041","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Delaware County, OH","39041","White","2106-3",1735
,"Delaware County, OH","39041","More than one race","M",56
,"Delaware County, OH","39041","Unknown or Not Stated","UNK",0
,"Delaware County, OH","39041","Not Available","NA",0
,"Delaware County, OH","39041","Not Reported","NR",0
,"Fairfield County, OH","39045","American Indian or Alaska Native","1002-5",Suppressed
,"Fairfield County, OH","39045","Asian","A",88
,"Fairfield County, OH","39045","Black or African American","2054-5",251
,"Fairfield County, OH","39045","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Fairfield County, OH","39045","White","2106-3",1281
,"Fairfield County, OH","39045","More than one race","M",40
,"Fairfield County, OH","39045","Unknown or Not Stated","UNK",0
,"Fairfield County, OH","39045","Not Available","NA",0
,"Fairfield County, OH","39045","Not Reported","NR",0
,"Franklin County, OH","39049","American Indian or Alaska Native","1002-5",32
,"Franklin County, OH","39049","Asian","A",962
,"Franklin County, OH","39049","Black or African American","2054-5",5683
,"Franklin County, OH","39049","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Franklin County, OH","39049","White","2106-3",9959
,"Franklin County, OH","39049","More than one race","M",744
,"Franklin County, OH","39049","Unknown or Not Stated","UNK",0
,"Franklin County, OH","39049","Not Available","NA",0
,"Franklin County, OH","39049","Not Reported","NR",0
,"Greene County, OH","39057","American Indian or Alaska Native","1002-5",Suppressed
,"Greene County, OH","39057","Asian","A",61
,"Greene County, OH","39057","Black or African American","2054-5",152
,"Greene County, OH","39057","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Greene County, OH","39057","White","2106-3",1384
,"Greene County, OH","39057","More than one race","M",49
,"Greene County, OH","39057","Unknown or Not Stated","UNK",0
,"Greene County, OH","39057","Not Available","NA",0
,"Greene County, OH","39057","Not Reported","NR",0
,"Hamilton County, OH","39061","American Indian or Alaska Native","1002-5",10
,"Hamilton County, OH","39061","Asian","A",317
,"Hamilton County, OH","39061","Black or African American","2054-5",2940
,"Hamilton County, OH","39061","Native Hawaiian or Other Pacific Islander","NHOPI",17
,"Hamilton County, OH","39061","White","2106-3",6383
,"Hamilton County, OH","39061","More than one race","M",390
,"Hamilton County, OH","39061","Unknown or Not Stated","UNK",0
,"Hamilton County, OH","39061","Not Available","NA",0
,"Hamilton County, OH","39061","Not Reported","NR",0
,"Lake County, OH","39085","American Indian or Alaska Native","1002-5",Suppressed
,"Lake County, OH","39085","Asian","A",45
,"Lake County, OH","39085","Black or African American","2054-5",171
,"Lake County, OH","39085","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Lake County, OH","39085","White","2106-3",1812
,"Lake County, OH","39085","More than one race","M",60
,"Lake County, OH","39085","Unknown or Not Stated","UNK",0
,"Lake County, OH","39085","Not Available","NA",0
,"Lake County, OH","39085","Not Reported","NR",0
,"Licking County, OH","39089","American Indian or Alaska Native","1002-5",Suppressed
,"Licking County, OH","39089","Asian","A",112
,"Licking County, OH","39089","Black or African American","2054-5",97
,"Licking County, OH","39089","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Licking County, OH","39089","White","2106-3",1583
,"Licking County, OH","39089","More than one race","M",66
,"Licking County, OH","39089","Unknown or Not Stated","UNK",0
,"Licking County, OH","39089","Not Available","NA",0
,"Licking County, OH","39089","Not Reported","NR",0
,"Lorain County, OH","39093","American Indian or Alaska Native","1002-5",Suppressed
,"Lorain County, OH","39093","Asian","A",62
,"Lorain County, OH","39093","Black or African American","2054-5",328
,"Lorain County, OH","39093","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Lorain County, OH","39093","White","2106-3",2499
,"Lorain County, OH","39093","More than one race","M",187
,"Lorain County, OH","39093","Unknown or Not Stated","UNK",0
,"Lorain County, OH","39093","Not Available","NA",0
,"Lorain County, OH","39093","Not Reported","NR",0
,"Lucas County, OH","39095","American Indian or Alaska Native","1002-5",Suppressed
,"Lucas County, OH","39095","Asian","A",65
,"Lucas County, OH","39095","Black or African American","2054-5",1065
