"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Blount County, TN","47009","American Indian or Alaska Native","1002-5",Suppressed
,"Blount County, TN","47009","Asian","A",17
,"Blount County, TN","47009","Black or African American","2054-5",46
,"Blount County, TN","47009","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Blount County, TN","47009","White","2106-3",1285
,"Blount County, TN","47009","More than one race","M",14
,"Blount County, TN","47009","Unknown or Not Stated","UNK",0
,"Blount County, TN","47009","Not Available","NA",0
,"Blount County, TN","47009","Not Reported","NR",0
,"Davidson County, TN","47037","American Indian or Alaska Native","1002-5",123
,"Davidson County, TN","47037","Asian","A",412
,"Davidson County, TN","47037","Black or African American","2054-5",2291
,"Davidson County, TN","47037","Native Hawaiian or Other Pacific Islander","NHOPI",56
,"Davidson County, TN","47037","White","2106-3",7542
,"Davidson County, TN","47037","More than one race","M",221
,"Davidson County, TN","47037","Unknown or Not Stated","UNK",0
,"Davidson County, TN","47037","Not Available","NA",0
,"Davidson County, TN","47037","Not Reported","NR",0
,"Hamilton County, TN","47065","American Indian or Alaska Native","1002-5",44
,"Hamilton County, TN","47065","Asian","A",141
,"Hamilton County, TN","47065","Black or African American","2054-5",811
,"Hamilton County, TN","47065","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Hamilton County, TN","47065","White","2106-3",3464
,"Hamilton County, TN","47065","More than one race","M",126
,"Hamilton County, TN","47065","Unknown or Not Stated","UNK",0
,"Hamilton County, TN","47065","Not Available","NA",0
,"Hamilton County, TN","47065","Not Reported","NR",0
,"Knox County, TN","47093","American Indian or Alaska Native","1002-5",13
,"Knox County, TN","47093","Asian","A",168
,"Knox County, TN","47093","Black or African American","2054-5",537
,"Knox County, TN","47093","Native Hawaiian or Other Pacific Islander","NHOPI",18
,"Knox County, TN","47093","White","2106-3",4566
,"Knox County, TN","47093","More than one race","M",109
,"Knox County, TN","47093","Unknown or Not Stated","UNK",0
,"Knox County, TN","47093","Not Available","NA",0
,"Knox County, TN","47093","Not Reported","NR",0
,"Montgomery County, TN","47125","American Indian or Alaska Native","1002-5",15
,"Montgomery County, TN","47125","Asian","A",78
,"Montgomery County, TN","47125","Black or African American","2054-5",816
,"Montgomery County, TN","47125","Native Hawaiian or Other Pacific Islander","NHOPI",25
,"Montgomery County, TN","47125","White","2106-3",2557
,"Montgomery County, TN","47125","More than one race","M",172
,"Montgomery County, TN","47125","Unknown or Not Stated","UNK",0
,"Montgomery County, TN","47125","Not Available","NA",0
,"Montgomery County, TN","47125","Not Reported","NR",0
,"Rutherford County, TN","47149","American Indian or Alaska Native","1002-5",39
,"Rutherford County, TN","47149","Asian","A",213
,"Rutherford County, TN","47149","Black or African American","2054-5",719
,"Rutherford County, TN","47149","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Rutherford County, TN","47149","White","2106-3",3574
,"Rutherford County, TN","47149","More than one race","M",117
,"Rutherford County, TN","47149","Unknown or Not Stated","UNK",0
,"Rutherford County, TN","47149","Not Available","NA",0
,"Rutherford County, TN","47149","Not Reported","NR",0
,"Shelby County, TN","47157","American Indian or Alaska Native","1002-5",85
,"Shelby County, TN","47157","Asian","A",420
,"Shelby County, TN","47157","Black or African American","2054-5",6059
,"Shelby County, TN","47157","Native Hawaiian or Other Pacific Islander","NHOPI",137
,"Shelby County, TN","47157","White","2106-3",4657
,"Shelby County, TN","47157","More than one race","M",206
,"Shelby County, TN","47157","Unknown or Not Stated","UNK",0
,"Shelby County, TN","47157","Not Available","NA",0
,"Shelby County, TN","47157","Not Reported","NR",0
,"Sullivan County, TN","47163","American Indian or Alaska Native","1002-5",Suppressed
,"Sullivan County, TN","47163","Asian","A",25
,"Sullivan County, TN","47163","Black or African American","2054-5",40
,"Sullivan County, TN","47163","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Sullivan County, TN","47163","White","2106-3",1469
,"Sullivan County, TN","47163","More than one race","M",39
,"Sullivan County, TN","47163","Unknown or Not Stated","UNK",0
,"Sullivan County, TN","47163","Not Available","NA",0
,"Sullivan County, TN","47163","Not Reported","NR",0
,"Sumner County, TN","47165","American Indian or Alaska Native","1002-5",Suppressed
,"Sumner County, TN","47165","Asian","A",48
,"Sumner County, TN","47165","Black or African American","2054-5",184
,"Sumner County, TN","47165","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Sumner County, TN","47165","White","2106-3",2085
,"Sumner County, TN","47165","More than one race","M",65
,"Sumner County, TN","47165","Unknown or Not Stated","UNK",0
,"Sumner County, TN","47165","Not Available","NA",0
,"Sumner County, TN","47165","Not Reported","NR",0
,"Washington County, TN","47179","American Indian or Alaska Native","1002-5",Suppressed
,"Washington County, TN","47179","Asian","A",33
,"Washington County, TN","47179","Black or African American","2054-5",38
,"Washington County, TN","47179","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Washington County, TN","47179","White","2106-3",1149
,"Washington County, TN","47179","More than one race","M",44
,"Washington County, TN","47179","Unknown or Not Stated","UNK",0
,"Washington County, TN","47179","Not Available","NA",0
,"Washington County, TN","47179","Not Reported","NR",0
,"Williamson County, TN","47187","American Indian or Alaska Native","1002-5",Suppressed
,"Williamson County, TN","47187","Asian","A",167
,"Williamson County, TN","47187","Black or African American","2054-5",52
,"Williamson County, TN","47187","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Williamson County, TN","47187","White","2106-3",2007
,"Williamson County, TN","47187","More than one race","M",36
,"Williamson County, TN","47187","Unknown or Not Stated","UNK",0
,"Williamson County, TN","47187","Not Available","NA",0
,"Williamson County, TN","47187","Not Reported","NR",0
,"Wilson County, TN","47189","American Indian or Alaska Native","1002-5",11
,"Wilson County, TN","47189","Asian","A",124
,"Wilson County, TN","47189","Black or African American","2054-5",165
,"Wilson County, TN","47189","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Wilson County, TN","47189","White","2106-3",1685
,"Wilson County, TN","47189","More than one race","M",48
,"Wilson County, TN","47189","Unknown or Not Stated","UNK",0
,"Wilson County, TN","47189","Not Available","NA",0
,"Wilson County, TN","47189","Not Reported","NR",0
,"Unidentified Counties, TN","47999","American Indian or Alaska Native","1002-5",106
,"Unidentified Counties, TN","47999","Asian","A",385
,"Unidentified Counties, TN","47999","Black or African American","2054-5",2141
,"Unidentified Counties, TN","47999","Native Hawaiian or Other Pacific Islander","NHOPI",59
,"Unidentified Counties, TN","47999","White","2106-3",29002
,"Unidentified Counties, TN","47999","More than one race","M",667
,"Unidentified Counties, TN","47999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, TN","47999","Not Available","NA",0
,"Unidentified Counties, TN","47999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Tennessee (47)"
"Year: 2024"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 4:14:55 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 4:14:55 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
