"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Brown County, WI","55009","American Indian or Alaska Native","1002-5",81
,"Brown County, WI","55009","Asian","A",167
,"Brown County, WI","55009","Black or African American","2054-5",170
,"Brown County, WI","55009","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Brown County, WI","55009","White","2106-3",2372
,"Brown County, WI","55009","More than one race","M",118
,"Brown County, WI","55009","Unknown or Not Stated","UNK",0
,"Brown County, WI","55009","Not Available","NA",0
,"Brown County, WI","55009","Not Reported","NR",0
,"Dane County, WI","55025","American Indian or Alaska Native","1002-5",12
,"Dane County, WI","55025","Asian","A",432
,"Dane County, WI","55025","Black or African American","2054-5",508
,"Dane County, WI","55025","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Dane County, WI","55025","White","2106-3",4295
,"Dane County, WI","55025","More than one race","M",171
,"Dane County, WI","55025","Unknown or Not Stated","UNK",0
,"Dane County, WI","55025","Not Available","NA",0
,"Dane County, WI","55025","Not Reported","NR",0
,"Fond du Lac County, WI","55039","American Indian or Alaska Native","1002-5",Suppressed
,"Fond du Lac County, WI","55039","Asian","A",26
,"Fond du Lac County, WI","55039","Black or African American","2054-5",45
,"Fond du Lac County, WI","55039","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Fond du Lac County, WI","55039","White","2106-3",904
,"Fond du Lac County, WI","55039","More than one race","M",18
,"Fond du Lac County, WI","55039","Unknown or Not Stated","UNK",0
,"Fond du Lac County, WI","55039","Not Available","NA",0
,"Fond du Lac County, WI","55039","Not Reported","NR",0
,"Kenosha County, WI","55059","American Indian or Alaska Native","1002-5",Suppressed
,"Kenosha County, WI","55059","Asian","A",40
,"Kenosha County, WI","55059","Black or African American","2054-5",180
,"Kenosha County, WI","55059","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Kenosha County, WI","55059","White","2106-3",1275
,"Kenosha County, WI","55059","More than one race","M",52
,"Kenosha County, WI","55059","Unknown or Not Stated","UNK",0
,"Kenosha County, WI","55059","Not Available","NA",0
,"Kenosha County, WI","55059","Not Reported","NR",0
