"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Alabama","01","Vaginal","1",37831
,"Alabama","01","Cesarean","2",20082
,"Alabama","01","Unknown or Not Stated","9",21
,"Alaska","02","Vaginal","1",6864
,"Alaska","02","Cesarean","2",2078
,"Alaska","02","Unknown or Not Stated","9",Suppressed
,"Arizona","04","Vaginal","1",55490
,"Arizona","04","Cesarean","2",23217
,"Arizona","04","Unknown or Not Stated","9",Suppressed
,"Arkansas","05","Vaginal","1",23339
,"Arkansas","05","Cesarean","2",12047
,"Arkansas","05","Unknown or Not Stated","9",Suppressed
,"California","06","Vaginal","1",274090
,"California","06","Cesarean","2",127944
,"California","06","Unknown or Not Stated","9",41
,"Colorado","08","Vaginal","1",46288
,"Colorado","08","Cesarean","2",17924
,"Colorado","08","Unknown or Not Stated","9",56
,"Connecticut","09","Vaginal","1",22194
,"Connecticut","09","Cesarean","2",12395
,"Connecticut","09","Unknown or Not Stated","9",10
,"Delaware","10","Vaginal","1",7009
,"Delaware","10","Cesarean","2",3535
,"Delaware","10","Unknown or Not Stated","9",Suppressed
,"District of Columbia","11","Vaginal","1",4850
,"District of Columbia","11","Cesarean","2",2764
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Vaginal","1",141374
,"Florida","12","Cesarean","2",80463
,"Florida","12","Unknown or Not Stated","9",2552
,"Georgia","13","Vaginal","1",81924
,"Georgia","13","Cesarean","2",43912
,"Georgia","13","Unknown or Not Stated","9",601
,"Hawaii","15","Vaginal","1",10892
,"Hawaii","15","Cesarean","2",4022
,"Hawaii","15","Unknown or Not Stated","9",Suppressed
,"Idaho","16","Vaginal","1",17557
,"Idaho","16","Cesarean","2",5707
,"Idaho","16","Unknown or Not Stated","9",12
,"Illinois","17","Vaginal","1",87049
,"Illinois","17","Cesarean","2",38660
,"Illinois","17","Unknown or Not Stated","9",22
,"Indiana","18","Vaginal","1",55393
,"Indiana","18","Cesarean","2",24862
,"Indiana","18","Unknown or Not Stated","9",Suppressed
,"Iowa","19","Vaginal","1",25533
,"Iowa","19","Cesarean","2",10900
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Vaginal","1",23757
,"Kansas","20","Cesarean","2",10223
,"Kansas","20","Unknown or Not Stated","9",Suppressed
,"Kentucky","21","Vaginal","1",34665
,"Kentucky","21","Cesarean","2",18226
,"Kentucky","21","Unknown or Not Stated","9",22
,"Louisiana","22","Vaginal","1",34061
,"Louisiana","22","Cesarean","2",19244
,"Louisiana","22","Unknown or Not Stated","9",0
,"Maine","23","Vaginal","1",8014
,"Maine","23","Cesarean","2",3584
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Vaginal","1",42391
,"Maryland","24","Cesarean","2",23394
,"Maryland","24","Unknown or Not Stated","9",12
,"Massachusetts","25","Vaginal","1",44905
,"Massachusetts","25","Cesarean","2",23090
,"Massachusetts","25","Unknown or Not Stated","9",189
,"Michigan","26","Vaginal","1",66975
,"Michigan","26","Cesarean","2",32469
