"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",55956
,"Alabama","01","Twin","2",1925
,"Alabama","01","Triplet or higher","3",53
,"Alaska","02","Single","1",8674
,"Alaska","02","Twin","2",267
,"Alaska","02","Triplet or higher","3",Suppressed
,"Arizona","04","Single","1",76435
,"Arizona","04","Twin","2",2194
,"Arizona","04","Triplet or higher","3",82
,"Arkansas","05","Single","1",34293
,"Arkansas","05","Twin","2",1087
,"Arkansas","05","Triplet or higher","3",15
,"California","06","Single","1",390885
,"California","06","Twin","2",10992
,"California","06","Triplet or higher","3",198
,"Colorado","08","Single","1",62509
,"Colorado","08","Twin","2",1732
,"Colorado","08","Triplet or higher","3",27
,"Connecticut","09","Single","1",33418
,"Connecticut","09","Twin","2",1163
,"Connecticut","09","Triplet or higher","3",18
,"Delaware","10","Single","1",10235
,"Delaware","10","Twin","2",309
,"Delaware","10","Triplet or higher","3",Suppressed
,"District of Columbia","11","Single","1",7303
,"District of Columbia","11","Twin","2",298
,"District of Columbia","11","Triplet or higher","3",15
,"Florida","12","Single","1",217594
,"Florida","12","Twin","2",6616
,"Florida","12","Triplet or higher","3",179
,"Georgia","13","Single","1",122211
,"Georgia","13","Twin","2",4113
,"Georgia","13","Triplet or higher","3",113
,"Hawaii","15","Single","1",14534
,"Hawaii","15","Twin","2",367
,"Hawaii","15","Triplet or higher","3",16
,"Idaho","16","Single","1",22564
,"Idaho","16","Twin","2",703
,"Idaho","16","Triplet or higher","3",Suppressed
,"Illinois","17","Single","1",121778
,"Illinois","17","Twin","2",3859
,"Illinois","17","Triplet or higher","3",94
,"Indiana","18","Single","1",77650
,"Indiana","18","Twin","2",2558
,"Indiana","18","Triplet or higher","3",49
,"Iowa","19","Single","1",35246
,"Iowa","19","Twin","2",1166
,"Iowa","19","Triplet or higher","3",24
,"Kansas","20","Single","1",32933
,"Kansas","20","Twin","2",1030
,"Kansas","20","Triplet or higher","3",21
,"Kentucky","21","Single","1",51223
,"Kentucky","21","Twin","2",1655
,"Kentucky","21","Triplet or higher","3",35
,"Louisiana","22","Single","1",51406
,"Louisiana","22","Twin","2",1855
,"Louisiana","22","Triplet or higher","3",44
,"Maine","23","Single","1",11241
,"Maine","23","Twin","2",354
,"Maine","23","Triplet or higher","3",Suppressed
,"Maryland","24","Single","1",63676
,"Maryland","24","Twin","2",2049
,"Maryland","24","Triplet or higher","3",72
,"Massachusetts","25","Single","1",66065
,"Massachusetts","25","Twin","2",2064
,"Massachusetts","25","Triplet or higher","3",55
,"Michigan","26","Single","1",96070
,"Michigan","26","Twin","2",3343
,"Michigan","26","Triplet or higher","3",112
,"Minnesota","27","Single","1",60061
,"Minnesota","27","Twin","2",1970
,"Minnesota","27","Triplet or higher","3",79
,"Mississippi","28","Single","1",32263
,"Mississippi","28","Twin","2",1155
,"Mississippi","28","Triplet or higher","3",55
,"Missouri","29","Single","1",65814
,"Missouri","29","Twin","2",2138
,"Missouri","29","Triplet or higher","3",46
,"Montana","30","Single","1",11027
,"Montana","30","Twin","2",300
,"Montana","30","Triplet or higher","3",Suppressed
,"Nebraska","31","Single","1",23971
,"Nebraska","31","Twin","2",789
,"Nebraska","31","Triplet or higher","3",25
,"Nevada","32","Single","1",31439
