Session Title,"Opioid Overdoses in ED, State Month Age",,,,
Session Description,ED encountersWA-WY by countycount pts with ED diagnosis opioid overdose,,,,
Session ID,2766034,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2025 - 9/30/2025 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/16/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
2025,Jan,Texas,Less than 15 Years,10 or fewer,79618
,,,≥ 15 and < 25 Years,10 or fewer,48212
,,,≥ 25 and < 45 Years,40,107848
,,,≥ 45 and < 65 Years,25,90820
,,,65 Years or more,18,94432
,,,No value,10 or fewer,10 or fewer
,,,Total,96,420930
,,Florida,Less than 15 Years,10 or fewer,73904
,,,≥ 15 and < 25 Years,10 or fewer,46890
,,,≥ 25 and < 45 Years,101,108311
,,,≥ 45 and < 65 Years,57,93016
,,,65 Years or more,23,107695
,,,No value,10 or fewer,10 or fewer
,,,Total,189,429816
,,Ohio,Less than 15 Years,10 or fewer,46371
,,,≥ 15 and < 25 Years,13,45423
,,,≥ 25 and < 45 Years,103,103993
,,,≥ 45 and < 65 Years,56,92723
,,,65 Years or more,16,101649
,,,No value,10 or fewer,10 or fewer
,,,Total,190,390159
,,Pennsylvania,Less than 15 Years,10 or fewer,29500
,,,≥ 15 and < 25 Years,10 or fewer,24973
,,,≥ 25 and < 45 Years,96,61083
,,,≥ 45 and < 65 Years,54,57166
,,,65 Years or more,16,71458
,,,No value,10 or fewer,10 or fewer
,,,Total,168,244180
,,North Carolina,Less than 15 Years,10 or fewer,33541
,,,≥ 15 and < 25 Years,12,26493
,,,≥ 25 and < 45 Years,74,61883
,,,≥ 45 and < 65 Years,30,54983
,,,65 Years or more,13,60229
,,,No value,10 or fewer,10 or fewer
,,,Total,131,237129
,,New York,Less than 15 Years,10 or fewer,27679
,,,≥ 15 and < 25 Years,10 or fewer,23269
,,,≥ 25 and < 45 Years,53,57586
,,,≥ 45 and < 65 Years,31,52090
,,,65 Years or more,16,60811
,,,No value,10 or fewer,10 or fewer
,,,Total,104,221435
,,Virginia,Less than 15 Years,10 or fewer,26959
,,,≥ 15 and < 25 Years,10 or fewer,24214
,,,≥ 25 and < 45 Years,40,58515
,,,≥ 45 and < 65 Years,35,50350
,,,65 Years or more,14,55231
,,,No value,10 or fewer,10 or fewer
,,,Total,96,215269
,,Michigan,Less than 15 Years,10 or fewer,25430
,,,≥ 15 and < 25 Years,10 or fewer,21278
,,,≥ 25 and < 45 Years,32,50397
,,,≥ 45 and < 65 Years,25,47278
,,,65 Years or more,20,54838
,,,No value,10 or fewer,10 or fewer
,,,Total,80,199221
,,California,Less than 15 Years,10 or fewer,27539
,,,≥ 15 and < 25 Years,10 or fewer,21719
,,,≥ 25 and < 45 Years,85,53895
