Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,,,
Session Description,"All ED Enouncters as base,Slice by 53 states of residenceSlice by 6 age groups",,,
Session ID,2726769,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,
Session Date Range,1/5/2025 - 10/30/2025 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/6/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2025,Jan 5 – Jan 11,2085
,,,Jan 12 – Jan 18,2039
,,,Jan 19 – Jan 25,2034
,,,Jan 26 – Feb 1,2261
,,,Feb 2 – Feb 8,2275
,,,Feb 9 – Feb 15,2080
,,,Feb 16 – Feb 22,1949
,,,Feb 23 – Mar 1,1960
,,,Mar 2 – Mar 8,1995
,,,Mar 9 – Mar 15,1999
,,,Mar 16 – Mar 22,2089
,,,Mar 23 – Mar 29,1982
,,,Mar 30 – Apr 5,2064
,,,Apr 6 – Apr 12,1905
,,,Apr 13 – Apr 19,1918
,,,Apr 20 – Apr 26,2106
,,,Apr 27 – May 3,2020
,,,May 4 – May 10,1836
,,,May 11 – May 17,1923
,,,May 18 – May 24,2092
,,,May 25 – May 31,1972
,,,Jun 1 – Jun 7,1943
,,,Jun 8 – Jun 14,1864
,,,Jun 15 – Jun 21,1842
,,,Jun 22 – Jun 28,1937
,,,Jun 29 – Jul 5,1769
,,,Jul 6 – Jul 12,1908
,,,Jul 13 – Jul 19,1852
,,,Jul 20 – Jul 26,2002
,,,Jul 27 – Aug 2,1868
,,,Aug 3 – Aug 9,1947
,,,Aug 10 – Aug 16,1960
,,,Aug 17 – Aug 23,2253
,,,Aug 24 – Aug 30,2395
,,,Aug 31 – Sep 6,2374
,,,Sep 7 – Sep 13,2112
,,,Sep 14 – Sep 20,2068
,,,Sep 21 – Sep 27,2073
,,,Sep 28 – Oct 4,1982
,,,Oct 5 – Oct 11,2081
,,,Oct 12 – Oct 18,1894
,,,Oct 19 – Oct 25,1460
,,,Oct 26 – Oct 30,10 or fewer
,≥ 1 and < 5 Years,2025,Jan 5 – Jan 11,5252
,,,Jan 12 – Jan 18,6007
,,,Jan 19 – Jan 25,5915
,,,Jan 26 – Feb 1,6422
,,,Feb 2 – Feb 8,6267
,,,Feb 9 – Feb 15,5879
,,,Feb 16 – Feb 22,5524
,,,Feb 23 – Mar 1,5472
,,,Mar 2 – Mar 8,5625
,,,Mar 9 – Mar 15,5867
,,,Mar 16 – Mar 22,5547
,,,Mar 23 – Mar 29,5542
,,,Mar 30 – Apr 5,5202
,,,Apr 6 – Apr 12,5313
,,,Apr 13 – Apr 19,5403
,,,Apr 20 – Apr 26,5491
,,,Apr 27 – May 3,5530
,,,May 4 – May 10,5320
,,,May 11 – May 17,5344
,,,May 18 – May 24,5519
,,,May 25 – May 31,5384
,,,Jun 1 – Jun 7,5176
,,,Jun 8 – Jun 14,4872
,,,Jun 15 – Jun 21,4696
,,,Jun 22 – Jun 28,4539
,,,Jun 29 – Jul 5,4291
,,,Jul 6 – Jul 12,4326
,,,Jul 13 – Jul 19,4295
,,,Jul 20 – Jul 26,4316
,,,Jul 27 – Aug 2,4431
,,,Aug 3 – Aug 9,4195
,,,Aug 10 – Aug 16,4309
,,,Aug 17 – Aug 23,5042
,,,Aug 24 – Aug 30,5329
,,,Aug 31 – Sep 6,5414
,,,Sep 7 – Sep 13,5081
,,,Sep 14 – Sep 20,5240
,,,Sep 21 – Sep 27,5437
,,,Sep 28 – Oct 4,5509
,,,Oct 5 – Oct 11,5728
,,,Oct 12 – Oct 18,5362
,,,Oct 19 – Oct 25,4135
,,,Oct 26 – Oct 30,10 or fewer
,≥ 5 and < 18 Years,2025,Jan 5 – Jan 11,9736
,,,Jan 12 – Jan 18,11810
,,,Jan 19 – Jan 25,11532
,,,Jan 26 – Feb 1,13552
,,,Feb 2 – Feb 8,13440
,,,Feb 9 – Feb 15,12377
,,,Feb 16 – Feb 22,11171
,,,Feb 23 – Mar 1,11224
,,,Mar 2 – Mar 8,11755
,,,Mar 9 – Mar 15,11378
,,,Mar 16 – Mar 22,9118
,,,Mar 23 – Mar 29,10181
,,,Mar 30 – Apr 5,10751
,,,Apr 6 – Apr 12,11188
,,,Apr 13 – Apr 19,10781
,,,Apr 20 – Apr 26,11288
,,,Apr 27 – May 3,11080
,,,May 4 – May 10,10693
,,,May 11 – May 17,10405
,,,May 18 – May 24,10327
,,,May 25 – May 31,9174
,,,Jun 1 – Jun 7,8191
,,,Jun 8 – Jun 14,7565
,,,Jun 15 – Jun 21,7285
,,,Jun 22 – Jun 28,7335
,,,Jun 29 – Jul 5,6904
,,,Jul 6 – Jul 12,7072
,,,Jul 13 – Jul 19,6974
,,,Jul 20 – Jul 26,7004
,,,Jul 27 – Aug 2,7282
,,,Aug 3 – Aug 9,7095
,,,Aug 10 – Aug 16,8260
,,,Aug 17 – Aug 23,10497
,,,Aug 24 – Aug 30,11476
,,,Aug 31 – Sep 6,10639
,,,Sep 7 – Sep 13,10197
,,,Sep 14 – Sep 20,10743
,,,Sep 21 – Sep 27,10901
,,,Sep 28 – Oct 4,10735
,,,Oct 5 – Oct 11,11013
,,,Oct 12 – Oct 18,9915
,,,Oct 19 – Oct 25,7272
,,,Oct 26 – Oct 30,10 or fewer
,≥ 18 and < 50 Years,2025,Jan 5 – Jan 11,37094
,,,Jan 12 – Jan 18,36757
,,,Jan 19 – Jan 25,35922
,,,Jan 26 – Feb 1,38253
,,,Feb 2 – Feb 8,38021
,,,Feb 9 – Feb 15,36729
,,,Feb 16 – Feb 22,36027
,,,Feb 23 – Mar 1,35691
,,,Mar 2 – Mar 8,35977
,,,Mar 9 – Mar 15,37113
,,,Mar 16 – Mar 22,36214
,,,Mar 23 – Mar 29,36760
,,,Mar 30 – Apr 5,36863
,,,Apr 6 – Apr 12,36833
,,,Apr 13 – Apr 19,36125
,,,Apr 20 – Apr 26,36881
,,,Apr 27 – May 3,37232
,,,May 4 – May 10,36844
,,,May 11 – May 17,36827
,,,May 18 – May 24,37840
,,,May 25 – May 31,37154
,,,Jun 1 – Jun 7,36835
,,,Jun 8 – Jun 14,36461
,,,Jun 15 – Jun 21,36659
,,,Jun 22 – Jun 28,36878
,,,Jun 29 – Jul 5,35194
,,,Jul 6 – Jul 12,37677
,,,Jul 13 – Jul 19,37231
,,,Jul 20 – Jul 26,37124
,,,Jul 27 – Aug 2,37198
,,,Aug 3 – Aug 9,36731
,,,Aug 10 – Aug 16,37516
,,,Aug 17 – Aug 23,37907
,,,Aug 24 – Aug 30,38116
,,,Aug 31 – Sep 6,38629
,,,Sep 7 – Sep 13,37675
,,,Sep 14 – Sep 20,36822
,,,Sep 21 – Sep 27,37481
,,,Sep 28 – Oct 4,36576
,,,Oct 5 – Oct 11,37085
,,,Oct 12 – Oct 18,32059
,,,Oct 19 – Oct 25,21420
,,,Oct 26 – Oct 30,21
,≥ 50 and < 65 Years,2025,Jan 5 – Jan 11,15894
,,,Jan 12 – Jan 18,15929
,,,Jan 19 – Jan 25,15364
,,,Jan 26 – Feb 1,16971
,,,Feb 2 – Feb 8,16669
,,,Feb 9 – Feb 15,16444
,,,Feb 16 – Feb 22,16173
,,,Feb 23 – Mar 1,16008
,,,Mar 2 – Mar 8,15719
,,,Mar 9 – Mar 15,15965
,,,Mar 16 – Mar 22,15658
,,,Mar 23 – Mar 29,15861
,,,Mar 30 – Apr 5,15810
,,,Apr 6 – Apr 12,15878
,,,Apr 13 – Apr 19,15454
,,,Apr 20 – Apr 26,16111
,,,Apr 27 – May 3,15822
,,,May 4 – May 10,15795
,,,May 11 – May 17,16136
,,,May 18 – May 24,16332
,,,May 25 – May 31,16116
,,,Jun 1 – Jun 7,16055
,,,Jun 8 – Jun 14,16235
,,,Jun 15 – Jun 21,16036
,,,Jun 22 – Jun 28,16095
,,,Jun 29 – Jul 5,15290
,,,Jul 6 – Jul 12,16474
,,,Jul 13 – Jul 19,16493
,,,Jul 20 – Jul 26,16464
,,,Jul 27 – Aug 2,16570
,,,Aug 3 – Aug 9,16307
,,,Aug 10 – Aug 16,16359
,,,Aug 17 – Aug 23,16458
,,,Aug 24 – Aug 30,16600
,,,Aug 31 – Sep 6,16798
,,,Sep 7 – Sep 13,16304
,,,Sep 14 – Sep 20,16356
,,,Sep 21 – Sep 27,16160
,,,Sep 28 – Oct 4,15859
,,,Oct 5 – Oct 11,15834
,,,Oct 12 – Oct 18,13314
,,,Oct 19 – Oct 25,8961
,,,Oct 26 – Oct 30,15
,65 Years or more,2025,Jan 5 – Jan 11,24329
,,,Jan 12 – Jan 18,24377
,,,Jan 19 – Jan 25,22865
,,,Jan 26 – Feb 1,25330
,,,Feb 2 – Feb 8,25083
,,,Feb 9 – Feb 15,24094
,,,Feb 16 – Feb 22,23882
,,,Feb 23 – Mar 1,23700
,,,Mar 2 – Mar 8,23794
,,,Mar 9 – Mar 15,24219
,,,Mar 16 – Mar 22,23808
,,,Mar 23 – Mar 29,23889
,,,Mar 30 – Apr 5,24092
,,,Apr 6 – Apr 12,23639
,,,Apr 13 – Apr 19,23343
,,,Apr 20 – Apr 26,24111
,,,Apr 27 – May 3,23474
,,,May 4 – May 10,23487
,,,May 11 – May 17,23564
,,,May 18 – May 24,24493
,,,May 25 – May 31,24010
,,,Jun 1 – Jun 7,24128
,,,Jun 8 – Jun 14,24211
,,,Jun 15 – Jun 21,24244
,,,Jun 22 – Jun 28,23949
,,,Jun 29 – Jul 5,23409
,,,Jul 6 – Jul 12,24329
,,,Jul 13 – Jul 19,24059
,,,Jul 20 – Jul 26,24343
,,,Jul 27 – Aug 2,24295
,,,Aug 3 – Aug 9,24258
,,,Aug 10 – Aug 16,24492
,,,Aug 17 – Aug 23,24435
,,,Aug 24 – Aug 30,24738
,,,Aug 31 – Sep 6,24780
,,,Sep 7 – Sep 13,24380
,,,Sep 14 – Sep 20,24656
