Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,
Session Description,"All ED Enouncters as base,Slice by 53 states of residenceSlice by 6 age groups",
Session ID,2726769,
Data Model,ED Encounters,
Population Base,All ED Encounters,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,
Session Date Range,12/31/2023 - 1/4/2024 (Based On Arrival Date),
Measure,Number of ED Encounters,
Export User,Stephanie Perniciaro,
Date of Export,11/5/2025,
,,
,,
,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,
Florida,Less than 1 Years,1519
,≥ 1 and < 5 Years,3586
,≥ 5 and < 18 Years,5215
,≥ 18 and < 50 Years,23843
,≥ 50 and < 65 Years,10085
,65 Years or more,15543
,No value,10 or fewer
,Total,59791
Ohio,Less than 1 Years,1519
,≥ 1 and < 5 Years,3124
,≥ 5 and < 18 Years,5185
,≥ 18 and < 50 Years,26568
,≥ 50 and < 65 Years,11280
,65 Years or more,16564
,No value,10 or fewer
,Total,64240
Texas,Less than 1 Years,2145
,≥ 1 and < 5 Years,3874
,≥ 5 and < 18 Years,5395
,≥ 18 and < 50 Years,22560
,≥ 50 and < 65 Years,9367
,65 Years or more,12675
,No value,10 or fewer
,Total,56016
Pennsylvania,Less than 1 Years,946
,≥ 1 and < 5 Years,1750
,≥ 5 and < 18 Years,2916
,≥ 18 and < 50 Years,14954
,≥ 50 and < 65 Years,7391
,65 Years or more,11667
,No value,10 or fewer
,Total,39624
North Carolina,Less than 1 Years,928
,≥ 1 and < 5 Years,1817
,≥ 5 and < 18 Years,2866
,≥ 18 and < 50 Years,14522
,≥ 50 and < 65 Years,6576
,65 Years or more,8977
,No value,10 or fewer
,Total,35686
New York,Less than 1 Years,711
,≥ 1 and < 5 Years,1688
,≥ 5 and < 18 Years,2822
,≥ 18 and < 50 Years,13756
,≥ 50 and < 65 Years,6241
,65 Years or more,9042
,No value,10 or fewer
,Total,34260
Virginia,Less than 1 Years,786
,≥ 1 and < 5 Years,1566
,≥ 5 and < 18 Years,2776
,≥ 18 and < 50 Years,14725
,≥ 50 and < 65 Years,6485
,65 Years or more,9144
,No value,10 or fewer
,Total,35482
Illinois,Less than 1 Years,977
,≥ 1 and < 5 Years,1794
,≥ 5 and < 18 Years,2532
,≥ 18 and < 50 Years,11030
,≥ 50 and < 65 Years,5141
,65 Years or more,7697
,No value,10 or fewer
,Total,29171
California,Less than 1 Years,793
,≥ 1 and < 5 Years,1363
,≥ 5 and < 18 Years,1944
,≥ 18 and < 50 Years,10252
,≥ 50 and < 65 Years,4630
,65 Years or more,6180
,No value,10 or fewer
,Total,25162
Michigan,Less than 1 Years,716
,≥ 1 and < 5 Years,1302
,≥ 5 and < 18 Years,1710
,≥ 18 and < 50 Years,9745
,≥ 50 and < 65 Years,4489
,65 Years or more,6693
,No value,10 or fewer
,Total,24655
Georgia,Less than 1 Years,915
,≥ 1 and < 5 Years,2086
,≥ 5 and < 18 Years,2673
,≥ 18 and < 50 Years,9630
,≥ 50 and < 65 Years,4231
,65 Years or more,5162
,No value,10 or fewer
,Total,24697
South Carolina,Less than 1 Years,536
,≥ 1 and < 5 Years,1247
,≥ 5 and < 18 Years,1836
,≥ 18 and < 50 Years,10020
,≥ 50 and < 65 Years,4492
,65 Years or more,5784
,No value,10 or fewer
,Total,23915
New Jersey,Less than 1 Years,590
,≥ 1 and < 5 Years,1136
,≥ 5 and < 18 Years,2133
,≥ 18 and < 50 Years,8092
,≥ 50 and < 65 Years,3636
,65 Years or more,5027
,No value,10 or fewer
,Total,20614
Colorado,Less than 1 Years,932
,≥ 1 and < 5 Years,1770
,≥ 5 and < 18 Years,2139
,≥ 18 and < 50 Years,6654
,≥ 50 and < 65 Years,2155
,65 Years or more,3133
,No value,10 or fewer
,Total,16783
Indiana,Less than 1 Years,490
,≥ 1 and < 5 Years,872
,≥ 5 and < 18 Years,1255
,≥ 18 and < 50 Years,6797
,≥ 50 and < 65 Years,2831
,65 Years or more,4000
,No value,10 or fewer
,Total,16245
Connecticut,Less than 1 Years,413
,≥ 1 and < 5 Years,767
,≥ 5 and < 18 Years,1490
,≥ 18 and < 50 Years,5693
,≥ 50 and < 65 Years,2786
,65 Years or more,4159
,No value,10 or fewer
,Total,15308
Massachusetts,Less than 1 Years,354
,≥ 1 and < 5 Years,605
,≥ 5 and < 18 Years,1094
,≥ 18 and < 50 Years,5483
,≥ 50 and < 65 Years,2450
,65 Years or more,3599
,No value,10 or fewer
,Total,13585
Kentucky,Less than 1 Years,623
,≥ 1 and < 5 Years,1087
,≥ 5 and < 18 Years,1428
,≥ 18 and < 50 Years,5349
,≥ 50 and < 65 Years,2557
,65 Years or more,3687
,No value,10 or fewer
,Total,14731
Louisiana,Less than 1 Years,423
,≥ 1 and < 5 Years,869
,≥ 5 and < 18 Years,1034
,≥ 18 and < 50 Years,5803
,≥ 50 and < 65 Years,2354
,65 Years or more,3040
,No value,10 or fewer
,Total,13523
Wisconsin,Less than 1 Years,626
,≥ 1 and < 5 Years,1139
,≥ 5 and < 18 Years,1596
,≥ 18 and < 50 Years,4921
,≥ 50 and < 65 Years,2352
,65 Years or more,3503
,No value,10 or fewer
,Total,14137
Minnesota,Less than 1 Years,401
,≥ 1 and < 5 Years,793
,≥ 5 and < 18 Years,1278
,≥ 18 and < 50 Years,5280
,≥ 50 and < 65 Years,2284
,65 Years or more,3501
,No value,10 or fewer
,Total,13537
Mississippi,Less than 1 Years,316
,≥ 1 and < 5 Years,671
,≥ 5 and < 18 Years,930
,≥ 18 and < 50 Years,4799
,≥ 50 and < 65 Years,2043
,65 Years or more,2833
,No value,10 or fewer
,Total,11592
Maryland,Less than 1 Years,310
,≥ 1 and < 5 Years,519
,≥ 5 and < 18 Years,869
,≥ 18 and < 50 Years,4678
,≥ 50 and < 65 Years,2167
,65 Years or more,2851
,No value,10 or fewer
,Total,11394
Tennessee,Less than 1 Years,344
,≥ 1 and < 5 Years,708
,≥ 5 and < 18 Years,797
,≥ 18 and < 50 Years,3429
,≥ 50 and < 65 Years,1479
,65 Years or more,1958
,No value,10 or fewer
,Total,8715
Oregon,Less than 1 Years,280
,≥ 1 and < 5 Years,524
,≥ 5 and < 18 Years,826
,≥ 18 and < 50 Years,3746
,≥ 50 and < 65 Years,1589
,65 Years or more,2684
,No value,10 or fewer
,Total,9650
Oklahoma,Less than 1 Years,400
,≥ 1 and < 5 Years,610
,≥ 5 and < 18 Years,720
,≥ 18 and < 50 Years,2673
,≥ 50 and < 65 Years,1194
,65 Years or more,1740
,No value,10 or fewer
,Total,7337
Iowa,Less than 1 Years,293
,≥ 1 and < 5 Years,500
,≥ 5 and < 18 Years,574
,≥ 18 and < 50 Years,2334
,≥ 50 and < 65 Years,1043
,65 Years or more,1702
,No value,10 or fewer
,Total,6446
West Virginia,Less than 1 Years,200
,≥ 1 and < 5 Years,332
,≥ 5 and < 18 Years,510
,≥ 18 and < 50 Years,2407
,≥ 50 and < 65 Years,1225
,65 Years or more,1875
,No value,10 or fewer
,Total,6549
Arkansas,Less than 1 Years,361
,≥ 1 and < 5 Years,647
,≥ 5 and < 18 Years,738
,≥ 18 and < 50 Years,2343
,≥ 50 and < 65 Years,972
,65 Years or more,1249
,No value,10 or fewer
,Total,6310
Washington,Less than 1 Years,159
,≥ 1 and < 5 Years,285
,≥ 5 and < 18 Years,433
,≥ 18 and < 50 Years,2172
,≥ 50 and < 65 Years,1009
,65 Years or more,1634
,No value,10 or fewer
,Total,5692
Arizona,Less than 1 Years,160
,≥ 1 and < 5 Years,302
,≥ 5 and < 18 Years,389
,≥ 18 and < 50 Years,2157
,≥ 50 and < 65 Years,1039
,65 Years or more,1746
,No value,10 or fewer
,Total,5793
Idaho,Less than 1 Years,197
,≥ 1 and < 5 Years,285
,≥ 5 and < 18 Years,439
,≥ 18 and < 50 Years,1934
,≥ 50 and < 65 Years,878
,65 Years or more,1506
,No value,10 or fewer
,Total,5239
Missouri,Less than 1 Years,77
,≥ 1 and < 5 Years,135
,≥ 5 and < 18 Years,188
,≥ 18 and < 50 Years,1841
,≥ 50 and < 65 Years,819
,65 Years or more,1334
,No value,10 or fewer
,Total,4394
Hawaii,Less than 1 Years,119
,≥ 1 and < 5 Years,304
,≥ 5 and < 18 Years,380
,≥ 18 and < 50 Years,1509
,≥ 50 and < 65 Years,812
,65 Years or more,1277
,No value,10 or fewer
,Total,4401
Kansas,Less than 1 Years,78
,≥ 1 and < 5 Years,158
,≥ 5 and < 18 Years,253
,≥ 18 and < 50 Years,1756
,≥ 50 and < 65 Years,812
,65 Years or more,1191
,No value,10 or fewer
,Total,4248
Nebraska,Less than 1 Years,89
,≥ 1 and < 5 Years,160
,≥ 5 and < 18 Years,280
,≥ 18 and < 50 Years,1751
,≥ 50 and < 65 Years,662
,65 Years or more,948
,No value,10 or fewer
,Total,3890
Maine,Less than 1 Years,105
,≥ 1 and < 5 Years,179
,≥ 5 and < 18 Years,325
,≥ 18 and < 50 Years,1455
,≥ 50 and < 65 Years,776
,65 Years or more,1365
,No value,10 or fewer
,Total,4205
Nevada,Less than 1 Years,121
,≥ 1 and < 5 Years,237
,≥ 5 and < 18 Years,356
,≥ 18 and < 50 Years,1298
,≥ 50 and < 65 Years,569
,65 Years or more,677
,No value,10 or fewer
,Total,3258
Rhode Island,Less than 1 Years,104
,≥ 1 and < 5 Years,251
,≥ 5 and < 18 Years,400
,≥ 18 and < 50 Years,951
,≥ 50 and < 65 Years,533
,65 Years or more,899
,No value,10 or fewer
,Total,3138
Alabama,Less than 1 Years,55
,≥ 1 and < 5 Years,123
,≥ 5 and < 18 Years,221
,≥ 18 and < 50 Years,1395
,≥ 50 and < 65 Years,599
,65 Years or more,854
,No value,10 or fewer
,Total,3247
Delaware,Less than 1 Years,106
,≥ 1 and < 5 Years,267
,≥ 5 and < 18 Years,426
,≥ 18 and < 50 Years,1088
,≥ 50 and < 65 Years,518
,65 Years or more,778
,No value,10 or fewer
,Total,3183
North Dakota,Less than 1 Years,74
,≥ 1 and < 5 Years,131
,≥ 5 and < 18 Years,226
,≥ 18 and < 50 Years,1134
,≥ 50 and < 65 Years,394
,65 Years or more,632
,No value,10 or fewer
,Total,2591
Vermont,Less than 1 Years,43
,≥ 1 and < 5 Years,64
,≥ 5 and < 18 Years,123
,≥ 18 and < 50 Years,671
,≥ 50 and < 65 Years,320
,65 Years or more,584
