Session Title,Positive RSV Tests and RSV tests and Number of Encounters by State of Residence (U.S.) and Age in Years Range,,,,,
Session ID,2747766,,,,,
Data Model,Encounters,,,,,
Population Base,All Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Diagnosis (All): Pneumonia due to Streptococcus pneumoniae( ICD-10-CM: J13.* ), Acute nasopharyngitis (common cold)( ICD-10-CM: J00.* ), Acute sinusitis( ICD-10-CM: J01.* ), Acute pharyngitis( ICD-10-CM: J02.* ), Acute tonsillitis( ICD-10-CM: J03.* ), Acute laryngitis and tracheitis( ICD-10-CM: J04.* ), Acute obstructive laryngitis (croup) and epiglottitis( ICD-10-CM: J05.* ), Acute upper respiratory infections of multiple and unspecified sites( ICD-10-CM: J06.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Viral pneumonia, not elsewhere classified( ICD-10-CM: J12.* ), Pneumonia due to hemophilus influenzae( ICD-10-CM: J14.* ), Bacterial pneumonia, not elsewhere classified( ICD-10-CM: J15.* ), Pneumonia due to other infectious organisms, not elsewhere classified( ICD-10-CM: J16.* ), Pneumonia in diseases classified elsewhere( ICD-10-CM: J17.* ), Pneumonia, unspecified organism( ICD-10-CM: J18.* ), Acute bronchitis( ICD-10-CM: J20.* ), Acute bronchiolitis( ICD-10-CM: J21.* ), Unspecified acute lower respiratory infection( ICD-10-CM: J22.* )",Encounter Type: ED Encounter,,,,
Session Date Range,1/1/2023 - 12/30/2023 (Based On Encounter Start Date),,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,8/21/2025,,,,,
,,,,,,
,,,,,,
,,,Measures,Positive RSV Tests (%),RSV tests (%),Number of Encounters
Year,Week,State of Residence (U.S.),Age in Years,,,
2023,Jan 1 – Jan 7,Armed Forces America,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Arkansas,Less than 1,13%,74.7%,154
,,,≥ 1 and < 5,7%,79.8%,287
,,,≥ 5 and < 18,-,61.6%,224
,,,≥ 18 and < 50,-,55.9%,381
,,,≥ 50 and < 65,-,60.8%,166
,,,65 or more,-,69.8%,252
,,,No value,-,-,10 or fewer
,,,Total,3.7%,66.4%,1464
,,Delaware,Less than 1,-,83.3%,48
,,,≥ 1 and < 5,-,85.3%,109
,,,≥ 5 and < 18,-,76.2%,101
,,,≥ 18 and < 50,-,25.8%,178
,,,≥ 50 and < 65,-,41.9%,105
,,,65 or more,-,42%,131
,,,No value,-,-,10 or fewer
,,,Total,3.9%,52.8%,672
,,Wyoming,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,70.4%,27
,,,≥ 5 and < 18,-,-,13
,,,≥ 18 and < 50,-,61.3%,31
,,,≥ 50 and < 65,-,81.3%,16
,,,65 or more,-,71.9%,32
,,,No value,-,-,10 or fewer
,,,Total,12.5%,68.8%,128
,,Montana,Less than 1,-,63%,27
,,,≥ 1 and < 5,37.8%,67.6%,37
,,,≥ 5 and < 18,-,-,18
,,,≥ 18 and < 50,-,27.3%,55
,,,≥ 50 and < 65,-,-,18
,,,65 or more,-,-,37
,,,No value,-,-,10 or fewer
,,,Total,12.5%,42.7%,192
,,Kentucky,Less than 1,10%,56.3%,190
,,,≥ 1 and < 5,8.5%,61.3%,305
,,,≥ 5 and < 18,-,46.4%,209
,,,≥ 18 and < 50,-,33.2%,491
,,,≥ 50 and < 65,-,37.2%,288
,,,65 or more,2.9%,47%,517
,,,No value,-,-,10 or fewer
,,,Total,3.6%,45.2%,2000
,,Illinois,Less than 1,18.6%,78.7%,301
,,,≥ 1 and < 5,6.6%,64.5%,543
,,,≥ 5 and < 18,-,47.6%,517
,,,≥ 18 and < 50,-,43.5%,1275
,,,≥ 50 and < 65,2.9%,53.9%,625
,,,65 or more,2.2%,58.4%,1448
,,,No value,-,-,10 or fewer
,,,Total,3.4%,54.6%,4709
,,West Virginia,Less than 1,-,68.8%,48
,,,≥ 1 and < 5,-,78.1%,96
,,,≥ 5 and < 18,-,61.9%,97
