Session Title,Positive RSV Tests and RSV tests and Number of Encounters by State of Residence (U.S.) and Age in Years Range,,,,,
Session ID,2747766,,,,,
Data Model,Encounters,,,,,
Population Base,All Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Diagnosis (All): Pneumonia due to Streptococcus pneumoniae( ICD-10-CM: J13.* ), Acute nasopharyngitis (common cold)( ICD-10-CM: J00.* ), Acute sinusitis( ICD-10-CM: J01.* ), Acute pharyngitis( ICD-10-CM: J02.* ), Acute tonsillitis( ICD-10-CM: J03.* ), Acute laryngitis and tracheitis( ICD-10-CM: J04.* ), Acute obstructive laryngitis (croup) and epiglottitis( ICD-10-CM: J05.* ), Acute upper respiratory infections of multiple and unspecified sites( ICD-10-CM: J06.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Viral pneumonia, not elsewhere classified( ICD-10-CM: J12.* ), Pneumonia due to hemophilus influenzae( ICD-10-CM: J14.* ), Bacterial pneumonia, not elsewhere classified( ICD-10-CM: J15.* ), Pneumonia due to other infectious organisms, not elsewhere classified( ICD-10-CM: J16.* ), Pneumonia in diseases classified elsewhere( ICD-10-CM: J17.* ), Pneumonia, unspecified organism( ICD-10-CM: J18.* ), Acute bronchitis( ICD-10-CM: J20.* ), Acute bronchiolitis( ICD-10-CM: J21.* ), Unspecified acute lower respiratory infection( ICD-10-CM: J22.* )",Encounter Type: ED Encounter,,,,
Session Date Range,1/1/2023 - 12/31/2023 (Based On Encounter Start Date),,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,8/5/2025,,,,,
,,,,,,
,,,,,,
,,,Measures,Positive RSV Tests (%),RSV tests (%),Number of Encounters
Year,Week,State of Residence (U.S.),Age in Years,,,
2023,Jan 1 – Jan 7,Arkansas,Less than 1,13%,74.7%,154
,,,≥ 1 and < 5,7%,80.1%,286
,,,≥ 5 and < 18,-,61.3%,225
,,,≥ 18 and < 49,-,55.8%,369
,,,≥ 49 and < 65,-,60.9%,179
,,,65 or more,-,69.8%,252
,,,No value,-,-,10 or fewer
,,,Total,3.7%,66.4%,1465
,,Delaware,Less than 1,-,83.3%,48
,,,≥ 1 and < 5,-,85.3%,109
,,,≥ 5 and < 18,-,76.2%,101
,,,≥ 18 and < 49,-,25.4%,177
,,,≥ 49 and < 65,-,43.2%,111
,,,65 or more,-,42%,131
,,,No value,-,-,10 or fewer
,,,Total,3.8%,52.9%,677
,,Wyoming,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,70.4%,27
,,,≥ 5 and < 18,-,-,13
,,,≥ 18 and < 49,-,63.3%,30
,,,≥ 49 and < 65,-,81.3%,16
,,,65 or more,-,71.9%,32
,,,No value,-,-,10 or fewer
,,,Total,12.6%,69.3%,127
,,Montana,Less than 1,-,63%,27
,,,≥ 1 and < 5,37.8%,67.6%,37
,,,≥ 5 and < 18,-,-,18
,,,≥ 18 and < 49,-,25%,56
,,,≥ 49 and < 65,-,-,19
,,,65 or more,-,-,36
,,,No value,-,-,10 or fewer
,,,Total,12.4%,42%,193
,,Kentucky,Less than 1,10.4%,56%,193
,,,≥ 1 and < 5,8.7%,60.6%,312
,,,≥ 5 and < 18,-,46%,211
,,,≥ 18 and < 49,-,32.4%,487
,,,≥ 49 and < 65,-,38.8%,304
,,,65 or more,2.8%,47%,528
,,,No value,-,-,10 or fewer
,,,Total,3.7%,45.1%,2035
,,Iowa,Less than 1,15.4%,69.2%,104
,,,≥ 1 and < 5,8%,68%,200
,,,≥ 5 and < 18,-,61.2%,121
,,,≥ 18 and < 49,-,54.9%,344
,,,≥ 49 and < 65,-,61.1%,185
,,,65 or more,4.6%,65.4%,327
,,,No value,-,-,10 or fewer
,,,Total,4.8%,62.3%,1281
,,Illinois,Less than 1,18.4%,79.6%,245
,,,≥ 1 and < 5,6.3%,72%,443
,,,≥ 5 and < 18,-,52.9%,452
,,,≥ 18 and < 49,-,43.3%,1249
,,,≥ 49 and < 65,2.9%,53.6%,666
,,,65 or more,2.3%,58.5%,1465
,,,No value,-,-,10 or fewer
,,,Total,3.1%,55.5%,4520
,,West Virginia,Less than 1,-,68.8%,48
,,,≥ 1 and < 5,-,78.6%,98
,,,≥ 5 and < 18,-,62.2%,98
,,,≥ 18 and < 49,-,72.1%,269
