Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,,,
Session Description,"All ED Enouncters as base,Slice by 53 states of residenceSlice by 6 age groups",,,
Session ID,2726769,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,
Session Date Range,12/31/2023 - 12/28/2024 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,9/23/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023 – 2024,Dec 31 – Jan 6,2141
,,2024,Jan 7 – Jan 13,1786
,,,Jan 14 – Jan 20,1658
,,,Jan 21 – Jan 27,1714
,,,Jan 28 – Feb 3,1762
,,,Feb 4 – Feb 10,1813
,,,Feb 11 – Feb 17,1754
,,,Feb 18 – Feb 24,1751
,,,Feb 25 – Mar 2,1715
,,,Mar 3 – Mar 9,1757
,,,Mar 10 – Mar 16,1724
,,,Mar 17 – Mar 23,1827
,,,Mar 24 – Mar 30,1715
,,,Mar 31 – Apr 6,1676
,,,Apr 7 – Apr 13,1694
,,,Apr 14 – Apr 20,1741
,,,Apr 21 – Apr 27,1721
,,,Apr 28 – May 4,1689
,,,May 5 – May 11,1671
,,,May 12 – May 18,1644
,,,May 19 – May 25,1726
,,,May 26 – Jun 1,1846
,,,Jun 2 – Jun 8,1704
,,,Jun 9 – Jun 15,1625
,,,Jun 16 – Jun 22,1612
,,,Jun 23 – Jun 29,1565
,,,Jun 30 – Jul 6,1717
,,,Jul 7 – Jul 13,1814
,,,Jul 14 – Jul 20,1788
,,,Jul 21 – Jul 27,1746
,,,Jul 28 – Aug 3,1749
,,,Aug 4 – Aug 10,1634
,,,Aug 11 – Aug 17,1629
,,,Aug 18 – Aug 24,1769
,,,Aug 25 – Aug 31,1889
,,,Sep 1 – Sep 7,1928
,,,Sep 8 – Sep 14,1840
,,,Sep 15 – Sep 21,1886
,,,Sep 22 – Sep 28,1796
,,,Sep 29 – Oct 5,1810
,,,Oct 6 – Oct 12,1798
,,,Oct 13 – Oct 19,1896
,,,Oct 20 – Oct 26,1783
,,,Oct 27 – Nov 2,1933
,,,Nov 3 – Nov 9,2277
,,,Nov 10 – Nov 16,2295
,,,Nov 17 – Nov 23,2323
,,,Nov 24 – Nov 30,2490
,,,Dec 1 – Dec 7,2340
,,,Dec 8 – Dec 14,2235
,,,Dec 15 – Dec 21,2320
,,,Dec 22 – Dec 28,2667
,≥ 1 and < 5 Years,2023 – 2024,Dec 31 – Jan 6,4873
,,2024,Jan 7 – Jan 13,4307
,,,Jan 14 – Jan 20,4287
,,,Jan 21 – Jan 27,4638
,,,Jan 28 – Feb 3,4843
,,,Feb 4 – Feb 10,4933
,,,Feb 11 – Feb 17,5120
,,,Feb 18 – Feb 24,4956
,,,Feb 25 – Mar 2,5274
,,,Mar 3 – Mar 9,5441
,,,Mar 10 – Mar 16,5270
,,,Mar 17 – Mar 23,5017
,,,Mar 24 – Mar 30,4778
,,,Mar 31 – Apr 6,4864
,,,Apr 7 – Apr 13,5047
,,,Apr 14 – Apr 20,5040
,,,Apr 21 – Apr 27,5097
,,,Apr 28 – May 4,4805
,,,May 5 – May 11,4922
,,,May 12 – May 18,4832
,,,May 19 – May 25,4958
,,,May 26 – Jun 1,5035
,,,Jun 2 – Jun 8,4545
,,,Jun 9 – Jun 15,4242
,,,Jun 16 – Jun 22,4283
,,,Jun 23 – Jun 29,4142
,,,Jun 30 – Jul 6,4323
,,,Jul 7 – Jul 13,3955
,,,Jul 14 – Jul 20,3979
,,,Jul 21 – Jul 27,3906
,,,Jul 28 – Aug 3,3771
,,,Aug 4 – Aug 10,3793
,,,Aug 11 – Aug 17,3671
,,,Aug 18 – Aug 24,4392
,,,Aug 25 – Aug 31,4701
,,,Sep 1 – Sep 7,4958
,,,Sep 8 – Sep 14,4735
,,,Sep 15 – Sep 21,5113
,,,Sep 22 – Sep 28,4996
,,,Sep 29 – Oct 5,4945
,,,Oct 6 – Oct 12,4969
,,,Oct 13 – Oct 19,4811
,,,Oct 20 – Oct 26,5036
,,,Oct 27 – Nov 2,5623
,,,Nov 3 – Nov 9,6331
,,,Nov 10 – Nov 16,6556
,,,Nov 17 – Nov 23,6515
,,,Nov 24 – Nov 30,6442
,,,Dec 1 – Dec 7,5759
,,,Dec 8 – Dec 14,6037
,,,Dec 15 – Dec 21,6839
,,,Dec 22 – Dec 28,6930
,≥ 5 and < 18 Years,2023 – 2024,Dec 31 – Jan 6,7215
,,2024,Jan 7 – Jan 13,8063
,,,Jan 14 – Jan 20,8455
,,,Jan 21 – Jan 27,9867
,,,Jan 28 – Feb 3,10666
,,,Feb 4 – Feb 10,10905
,,,Feb 11 – Feb 17,10471
,,,Feb 18 – Feb 24,9878
,,,Feb 25 – Mar 2,10827
,,,Mar 3 – Mar 9,10976
,,,Mar 10 – Mar 16,9602
,,,Mar 17 – Mar 23,9065
,,,Mar 24 – Mar 30,9026
,,,Mar 31 – Apr 6,9774
,,,Apr 7 – Apr 13,10253
,,,Apr 14 – Apr 20,10734
,,,Apr 21 – Apr 27,10747
,,,Apr 28 – May 4,10779
,,,May 5 – May 11,10410
,,,May 12 – May 18,10016
,,,May 19 – May 25,9689
,,,May 26 – Jun 1,8990
,,,Jun 2 – Jun 8,7927
,,,Jun 9 – Jun 15,7160
,,,Jun 16 – Jun 22,7024
,,,Jun 23 – Jun 29,6918
,,,Jun 30 – Jul 6,6949
,,,Jul 7 – Jul 13,6977
,,,Jul 14 – Jul 20,6710
,,,Jul 21 – Jul 27,6773
,,,Jul 28 – Aug 3,6440
,,,Aug 4 – Aug 10,6374
,,,Aug 11 – Aug 17,7562
,,,Aug 18 – Aug 24,9489
,,,Aug 25 – Aug 31,10352
,,,Sep 1 – Sep 7,9764
,,,Sep 8 – Sep 14,10006
,,,Sep 15 – Sep 21,10365
,,,Sep 22 – Sep 28,9445
,,,Sep 29 – Oct 5,9884
,,,Oct 6 – Oct 12,7633
,,,Oct 13 – Oct 19,9036
,,,Oct 20 – Oct 26,10240
,,,Oct 27 – Nov 2,10971
,,,Nov 3 – Nov 9,12072
,,,Nov 10 – Nov 16,12250
,,,Nov 17 – Nov 23,12159
,,,Nov 24 – Nov 30,9420
,,,Dec 1 – Dec 7,10537
,,,Dec 8 – Dec 14,12155
,,,Dec 15 – Dec 21,12666
,,,Dec 22 – Dec 28,10682
,≥ 18 and < 50 Years,2023 – 2024,Dec 31 – Jan 6,33133
,,2024,Jan 7 – Jan 13,31910
,,,Jan 14 – Jan 20,31204
,,,Jan 21 – Jan 27,32083
,,,Jan 28 – Feb 3,31664
,,,Feb 4 – Feb 10,32084
,,,Feb 11 – Feb 17,31407
,,,Feb 18 – Feb 24,30986
,,,Feb 25 – Mar 2,31737
,,,Mar 3 – Mar 9,32393
,,,Mar 10 – Mar 16,32152
,,,Mar 17 – Mar 23,31742
,,,Mar 24 – Mar 30,31521
,,,Mar 31 – Apr 6,31861
,,,Apr 7 – Apr 13,31632
,,,Apr 14 – Apr 20,32308
,,,Apr 21 – Apr 27,31954
,,,Apr 28 – May 4,32297
,,,May 5 – May 11,32516
,,,May 12 – May 18,32839
,,,May 19 – May 25,32657
,,,May 26 – Jun 1,32758
,,,Jun 2 – Jun 8,32526
,,,Jun 9 – Jun 15,32185
,,,Jun 16 – Jun 22,32299
,,,Jun 23 – Jun 29,32497
,,,Jun 30 – Jul 6,31995
,,,Jul 7 – Jul 13,33884
,,,Jul 14 – Jul 20,33232
,,,Jul 21 – Jul 27,32356
,,,Jul 28 – Aug 3,32295
,,,Aug 4 – Aug 10,31584
,,,Aug 11 – Aug 17,32070
,,,Aug 18 – Aug 24,32383
,,,Aug 25 – Aug 31,32685
,,,Sep 1 – Sep 7,33954
,,,Sep 8 – Sep 14,33753
,,,Sep 15 – Sep 21,33335
,,,Sep 22 – Sep 28,31570
,,,Sep 29 – Oct 5,33507
,,,Oct 6 – Oct 12,28288
,,,Oct 13 – Oct 19,31938
,,,Oct 20 – Oct 26,32400
,,,Oct 27 – Nov 2,33492
,,,Nov 3 – Nov 9,36436
,,,Nov 10 – Nov 16,36199
,,,Nov 17 – Nov 23,35199
,,,Nov 24 – Nov 30,32945
,,,Dec 1 – Dec 7,35607
,,,Dec 8 – Dec 14,35995
,,,Dec 15 – Dec 21,36985
,,,Dec 22 – Dec 28,36158
,≥ 50 and < 65 Years,2023 – 2024,Dec 31 – Jan 6,14133
,,2024,Jan 7 – Jan 13,14163
,,,Jan 14 – Jan 20,13439
,,,Jan 21 – Jan 27,13625
,,,Jan 28 – Feb 3,13453
,,,Feb 4 – Feb 10,13728
,,,Feb 11 – Feb 17,13918
,,,Feb 18 – Feb 24,13613
,,,Feb 25 – Mar 2,13740
,,,Mar 3 – Mar 9,14089
,,,Mar 10 – Mar 16,13644
,,,Mar 17 – Mar 23,13566
,,,Mar 24 – Mar 30,13366
,,,Mar 31 – Apr 6,13509
,,,Apr 7 – Apr 13,13722
,,,Apr 14 – Apr 20,13624
,,,Apr 21 – Apr 27,13862
,,,Apr 28 – May 4,13860
,,,May 5 – May 11,14238
,,,May 12 – May 18,13992
,,,May 19 – May 25,13920
,,,May 26 – Jun 1,14226
,,,Jun 2 – Jun 8,14416
,,,Jun 9 – Jun 15,14112
,,,Jun 16 – Jun 22,14184
,,,Jun 23 – Jun 29,14107
,,,Jun 30 – Jul 6,13902
,,,Jul 7 – Jul 13,14783
,,,Jul 14 – Jul 20,14448
,,,Jul 21 – Jul 27,14314
,,,Jul 28 – Aug 3,14114
,,,Aug 4 – Aug 10,13887
,,,Aug 11 – Aug 17,14174
,,,Aug 18 – Aug 24,14069
,,,Aug 25 – Aug 31,13918
,,,Sep 1 – Sep 7,14493
,,,Sep 8 – Sep 14,14270
,,,Sep 15 – Sep 21,14292
,,,Sep 22 – Sep 28,13642
,,,Sep 29 – Oct 5,14525
,,,Oct 6 – Oct 12,13394
,,,Oct 13 – Oct 19,13968
