Session Title,"Base Patients, % with HbA1c 6.5+, % with BMI 30+, by state and BRFSS age",,,
Session ID,2748555,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,
Session Date Range,1/1/2023 - 7/17/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/11/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
State of Residence (U.S.),Age in Years (Current),,,
Texas,Less than 18,3047952,0.265%,5.3%
,≥ 18 and < 25,1117976,0.922%,26.1%
,≥ 25 and < 35,1625086,1.6%,42.2%
,≥ 35 and < 45,1729135,3.7%,46.7%
,≥ 45 and < 55,1618615,8%,49.2%
,≥ 55 and < 65,1605675,12.1%,48.8%
,65 or more,2725457,13.8%,41.9%
,No value,92,-,50%
,Total,13469988,6%,34.7%
California,Less than 18,1916276,0.184%,5.2%
,≥ 18 and < 25,880009,0.647%,19.6%
,≥ 25 and < 35,1409193,1.2%,28%
,≥ 35 and < 45,1416521,2.9%,31.1%
,≥ 45 and < 55,1239451,6.6%,33.3%
,≥ 55 and < 65,1275435,10.1%,33.5%
,65 or more,2221524,11.3%,27.7%
,No value,56,26.8%,41.1%
,Total,10358465,5.1%,24.7%
Florida,Less than 18,1725276,0.342%,5.4%
,≥ 18 and < 25,725342,0.962%,23.6%
,≥ 25 and < 35,1081579,1.4%,38.8%
,≥ 35 and < 45,1134613,3.1%,44.4%
,≥ 45 and < 55,1091723,6.5%,46.3%
,≥ 55 and < 65,1285452,9.9%,45%
,65 or more,2522301,11.6%,36.7%
,No value,38,-,42.1%
,Total,9566324,5.8%,33.4%
Ohio,Less than 18,1585558,0.249%,5.5%
,≥ 18 and < 25,756962,0.898%,26.6%
,≥ 25 and < 35,1149966,2%,44.4%
,≥ 35 and < 45,1167922,4.7%,52%
,≥ 45 and < 55,1107771,10.3%,56%
,≥ 55 and < 65,1249189,15.6%,55.5%
,65 or more,2356687,19.4%,50.3%
,No value,79,21.5%,44.3%
,Total,9374134,9.1%,41.6%
Pennsylvania,Less than 18,1097768,0.204%,5.5%
,≥ 18 and < 25,585976,0.752%,24.7%
,≥ 25 and < 35,963293,1.6%,40.2%
,≥ 35 and < 45,1010462,3.6%,47.4%
,≥ 45 and < 55,921267,8.3%,51.1%
,≥ 55 and < 65,1089904,13.4%,51.7%
,65 or more,2084735,17.7%,46.9%
,No value,73,-,41.1%
,Total,7753478,8.4%,39.7%
New York,Less than 18,1042775,0.29%,5.6%
,≥ 18 and < 25,560606,0.806%,22.1%
,≥ 25 and < 35,957144,1.4%,34.6%
,≥ 35 and < 45,970704,3.2%,41.8%
,≥ 45 and < 55,901245,7%,44.9%
,≥ 55 and < 65,1121505,11.4%,46%
,65 or more,2131618,15.1%,40.8%
,No value,32,-,46.9%
,Total,7685629,7.4%,35.2%
Illinois,Less than 18,1149309,0.308%,5.9%
,≥ 18 and < 25,548809,0.966%,25.2%
,≥ 25 and < 35,826549,1.9%,40.6%
,≥ 35 and < 45,812842,4.6%,48.2%
,≥ 45 and < 55,775611,9.9%,51.6%
,≥ 55 and < 65,841461,14.5%,51.4%
,65 or more,1596853,17.5%,46.7%
,No value,31,35.5%,61.3%
,Total,6551465,8.2%,38.4%
North Carolina,Less than 18,1086167,0.334%,5.7%
,≥ 18 and < 25,509121,1%,26.8%
,≥ 25 and < 35,794418,1.9%,42.9%
,≥ 35 and < 45,807913,4.5%,49.1%
,≥ 45 and < 55,799900,9.7%,52.2%
,≥ 55 and < 65,880545,14.8%,52.2%
,65 or more,1623598,18%,45.2%
,No value,56,-,41.1%
,Total,6501718,8.6%,39.2%
Michigan,Less than 18,953041,0.36%,5.9%
,≥ 18 and < 25,451503,1.1%,25.4%
,≥ 25 and < 35,699514,1.8%,41.7%
,≥ 35 and < 45,693125,4%,48.3%
,≥ 45 and < 55,654104,9.1%,52.1%
,≥ 55 and < 65,764426,13.9%,50.8%
,65 or more,1435731,18.2%,46.7%
,No value,44,-,38.6%
,Total,5651488,8.4%,38.9%
Virginia,Less than 18,791945,0.319%,5.4%
,≥ 18 and < 25,389417,0.955%,24.5%
,≥ 25 and < 35,632858,1.7%,40.6%
,≥ 35 and < 45,697781,3.7%,47.1%
,≥ 45 and < 55,665419,8%,49.7%
,≥ 55 and < 65,749723,12.9%,50.7%
,65 or more,1372454,16.9%,44.6%
,No value,40,-,32.5%
,Total,5299637,8%,38.6%
Georgia,Less than 18,954195,0.291%,5%
,≥ 18 and < 25,331594,0.993%,24.1%
,≥ 25 and < 35,419678,1.5%,40.5%
