Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2023,,,
Session ID,2775282,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States KY_NC,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2023 - 12/31/2023,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/11/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"VANCE, NC",1.95%,2.12%,2310
,"BERTIE, NC",-,-,2130
,"HOWARD, MO",-,-,10 or fewer
,"ESMERALDA, NV",-,-,10 or fewer
,"MONROE, MO",-,-,10 or fewer
,"KEWEENAW, MI",-,-,20
,"HERTFORD, NC",0.64%,0.93%,2795
,"POWELL, KY",-,-,593
,"WEBSTER, MS",-,-,1457
,"WARREN, NC",-,-,652
,"LENOIR, NC",0.46%,0.86%,5916
,"SOMERSET, MD",-,1.01%,1483
,"CLEVELAND, NC",-,0.52%,2868
,"YADKIN, NC",-,0.31%,3603
,"WALTHALL, MS",1.14%,1.29%,1316
,"ESTILL, KY",0.79%,1.45%,1520
,"EDGECOMBE, NC",0.35%,0.77%,7419
,"BLADEN, NC",1.00%,1.19%,4618
,"GRANVILLE, NC",0.73%,0.93%,5786
,"PENDLETON, KY",-,0.45%,2685
,"STOKES, NC",-,0.31%,5468
,"PERRY, MS",0.61%,0.65%,2312
,"CLAY, MS",0.39%,0.43%,3043
,"SURRY, NC",-,0.36%,4728
,"JONES, NC",-,-,234
,"CHRISTIAN, KY",-,-,1522
,"WILSON, NC",0.48%,0.73%,4550
,"KNOX, KY",1.27%,1.59%,2523
,"ANDERSON, KY",0.49%,0.68%,3077
,"GATES, NC",-,-,862
,"SCHOHARIE, NY",-,0.40%,3720
,"MARTIN, NC",-,0.71%,1689
,"YAZOO, MS",0.58%,0.87%,2771
,"MUHLENBERG, KY",0.89%,0.99%,2021
,"AITKIN, MN",-,-,757
,"MERCER, MO",-,-,389
,"ALAMANCE, NC",0.55%,0.82%,22376
,"RUTHERFORD, NC",-,-,1110
,"WASHINGTON, NC",-,-,1327
,"BOYD, NE",-,-,38
,"GALLATIN, KY",-,-,1359
,"JEFFERSON DAVIS, MS",-,-,1323
,"UNION, KY",-,0.55%,2379
,"TREASURE, MT",-,-,29
,"BEAUFORT, NC",0.28%,0.58%,4622
,"COVINGTON, MS",0.70%,0.77%,2719
,"SAMPSON, NC",0.81%,1.15%,3207
,"CHOCTAW, MS",-,-,593
,"WHITLEY, KY",0.36%,0.64%,5004
,"WAYNE, NC",0.39%,0.74%,10134
,"WASHINGTON, MD",0.26%,0.57%,19562
,"WASHINGTON, MO",-,-,170
,"WIBAUX, MT",-,-,33
,"CHOWAN, NC",-,-,2360
,"MISSISSIPPI, MO",-,-,2099
,"GRUNDY, MO",-,-,1426
,"MONTGOMERY, MS",-,-,987
,"RIPLEY, MO",-,-,953
,"NANCE, NE",-,-,112
,"WORTH, MO",-,-,179
,"KEMPER, MS",1.35%,1.47%,815
,"DAVIE, NC",-,0.35%,3677
,"CALDWELL, NC",0.23%,0.37%,11356
,"SAINT FRANCOIS, MO",-,-,1382
,"LESLIE, KY",-,2.37%,591
,"DOUGLAS, MO",-,-,11
,"MORA, NM",-,-,11
,"ORLEANS, NY",0.56%,0.67%,3894
,"SPENCER, KY",0.55%,0.77%,2348
,"POINTE COUPEE, LA",-,-,2800
,"ROWAN, NC",0.24%,0.49%,9934
,"GRANT, KY",0.22%,0.37%,6232
,"FRANKLIN, NC",0.79%,0.93%,8064
,"DAVIDSON, NC",0.14%,0.40%,12142
,"MCDOWELL, NC",-,-,2738
,"LUNA, NM",-,-,20
,"ST JOHN THE BAPTIST, LA",-,0.47%,4214
,"IBERVILLE, LA",0.45%,0.52%,4414
,"MARION, MS",0.55%,0.68%,3964
,"HENDERSON, KY",0.41%,0.47%,8088
,"TODD, KY",-,-,71
,"LAKE, MI",-,-,886
,"NORTHAMPTON, NC",-,0.69%,1603
,"LARUE, KY",-,-,2112
,"WAYNE, NY",0.42%,0.58%,15590
,"CASWELL, NC",-,1.06%,1416
,"LAUREL, KY",1.02%,1.32%,2733
,"HYDE, NC",-,-,356
,"NELSON, KY",0.93%,1.02%,3446
,"NEWTON, MS",0.90%,1.27%,1889
,"FULTON, KY",-,-,589
,"WORCESTER, MD",0.88%,1.17%,1709
,"HALL, NE",-,-,1468
,"IRON, MO",-,-,243
,"WILKES, NC",-,-,1592
,"CHICKASAW, MS",-,0.55%,1983
,"HOLT, NE",-,-,115
,"RAY, MO",-,-,180
,"LIVINGSTON, NY",0.45%,0.53%,8147
,"SHELBY, MO",-,-,10 or fewer
,"GASTON, NC",0.39%,0.47%,11243
,"HINDS, MS",0.67%,0.82%,22977
,"MARSHALL, KY",0.28%,0.49%,4271
,"NESHOBA, MS",0.84%,1.22%,2368
,"CHENANGO, NY",0.15%,0.36%,8438
,"OSCEOLA, MI",0.41%,0.44%,3166
,"OTSEGO, NY",0.22%,0.41%,9027
,"CAROLINE, MD",0.45%,0.56%,3566
,"HOLMES, MS",0.91%,1.29%,2089
,"MERRICK, NE",-,-,816
,"MERCER, KY",1.36%,1.63%,1101
,"SULLIVAN, MO",-,-,82
,"HICKORY, MO",-,-,10 or fewer
,"PEARL RIVER, MS",0.28%,0.44%,9692
,"MADISON, NC",-,-,1249
,"OWEN, KY",-,-,1157
,"PASQUOTANK, NC",-,0.23%,4727
,"OGEMAW, MI",10.78%,11.76%,102
,"SCOTT, MS",0.80%,1.03%,2513
,"WASHINGTON, LA",-,0.32%,4617
,"LAWRENCE, MS",0.92%,0.92%,1305
,"WEBSTER, KY",-,0.57%,2100
,"GENESEE, NY",0.39%,0.51%,7626
,"ROBESON, NC",0.63%,0.94%,12478
,"DELAWARE, NY",-,0.40%,6302
,"OCEANA, MI",-,0.38%,5214
,"PERSON, NC",0.63%,0.81%,3817
,"SCOTT, KY",1.05%,1.25%,2488
,"MONROE, NY",0.45%,0.53%,114100
,"ALLEGANY, NY",0.34%,0.47%,4708
,"LEAKE, MS",0.57%,0.57%,2788
,"HOPKINS, KY",0.27%,0.41%,7143
,"GENTRY, MO",-,-,580
,"ITASCA, MN",0.41%,0.47%,7639
,"BENTON, MO",-,-,25
,"REYNOLDS, MO",-,-,394
,"LIVINGSTON, MO",-,-,1939
,"HILLSDALE, MI",-,0.47%,3836
,"PRENTISS, MS",0.43%,0.58%,2759
,"FRANKLIN, ME",0.59%,0.75%,3198
,"NASH, NC",0.43%,0.68%,10508
,"HERKIMER, NY",0.22%,0.43%,7675
,"CARROLL, MS",-,-,1017
,"BOONE, KY",0.47%,0.58%,24460
,"MONTGOMERY, NY",-,-,1537
,"FRANKLIN, KY",0.38%,0.51%,7113
,"PISCATAQUIS, ME",-,-,186
,"MORGAN, MO",-,-,15
,"HARRISON, KY",-,-,721
,"LENAWEE, MI",0.25%,0.48%,12694
,"MONROE, MS",0.70%,1.03%,3010
,"WICOMICO, MD",0.93%,1.20%,7083
,"KENTON, KY",0.40%,0.57%,25004
,"JACKSON, MI",0.29%,0.46%,24925
,"HUMPHREYS, MS",-,-,499
,"PERSHING, NV",-,-,157
,"GREENE, NC",-,0.99%,1420
,"TYRRELL, NC",-,-,436
,"KOOCHICHING, MN",-,-,1808
,"HALIFAX, NC",0.39%,0.86%,5095
,"QUITMAN, MS",-,-,67
,"DEKALB, MO",-,-,413
,"LEE, KY",-,-,395
,"BERRIEN, MI",0.41%,0.57%,22270
,"HARNETT, NC",1.01%,1.30%,11735
,"BUTLER, MO",0.19%,0.39%,6966
,"BULLITT, KY",0.44%,0.56%,14926
,"BRACKEN, KY",-,-,800
,"WAYNE, MO",-,-,1576
,"OXFORD, ME",0.56%,0.60%,6479
,"COPIAH, MS",1.36%,1.72%,1399
,"ROCKINGHAM, NC",0.26%,0.58%,12127
,"PERQUIMANS, NC",-,-,1566
,"CARROLL, MO",-,-,120
,"RENSSELAER, NY",0.28%,0.54%,7804
,"MUSSELSHELL, MT",-,-,118
,"LAFAYETTE, MO",-,-,327
,"WOLFE, KY",-,-,114
,"MCKINLEY, NM",-,-,66
,"NODAWAY, MO",-,-,2293
,"MASON, MI",0.39%,0.45%,4674
,"LYON, KY",-,-,624
,"ANSON, NC",-,-,969
,"WASHINGTON, KY",-,-,397
,"FORSYTH, NC",0.12%,0.36%,50671
,"AROOSTOOK, ME",-,0.44%,2498
,"HENRY, MO",-,-,36
,"CHATHAM, NC",0.42%,0.58%,7702
,"DAVIESS, MO",-,-,319
,"NORMAN, MN",-,-,1187
,"PONTOTOC, MS",0.51%,0.69%,2761
,"NICHOLAS, KY",-,-,201
,"KITTSON, MN",-,-,753
,"KEYA PAHA, NE",-,-,13
,"DALLAS, MO",-,-,28
,"BRUNSWICK, NC",0.58%,0.77%,9035
,"ONTARIO, NY",0.43%,0.48%,15050
,"KENT, MD",-,-,1328
,"MEADE, KY",0.66%,0.85%,2713
,"FARIBAULT, MN",-,-,1441
,"TUNICA, MS",-,-,236
