Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2023,,,
Session ID,2775289,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States ND_VA,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2023 - 12/31/2023,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/11/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"CROSBY, TX",-,-,56
,"MCCORMICK, SC",-,-,655
,"CROCKETT, TX",-,-,575
,"VAN WERT, OH",1.04%,1.33%,1055
,"KENT, TX",-,-,10 or fewer
,"COKE, TX",-,-,518
,"SURRY, VA",-,-,406
,"PATRICK, VA",-,-,208
,"GARZA, TX",-,-,24
,"UNION, SC",0.35%,0.86%,4559
,"NORTON CITY, VA",-,-,848
,"SULLIVAN, PA",-,-,332
,"ESSEX, VA",1.17%,1.40%,1362
,"LAURENS, SC",0.46%,0.60%,9331
,"BROWN, OH",0.80%,0.99%,5478
,"HALIFAX, VA",0.72%,1.00%,3900
,"EDGEFIELD, SC",-,-,1165
,"MORROW, OH",-,0.41%,2925
,"CONCHO, TX",-,-,310
,"SALUDA, SC",-,-,1957
,"PREBLE, OH",0.54%,0.68%,6346
,"HAMPTON CITY, VA",0.23%,0.61%,10178
,"MARION, SC",0.39%,0.90%,3566
,"WISE, VA",0.53%,1.05%,5983
,"CRAWFORD, OH",0.23%,0.44%,6107
,"PICKAWAY, OH",-,0.50%,4034
,"ADAMS, OH",0.92%,1.22%,2382
,"MILAM, TX",0.46%,0.64%,3260
,"MEIGS, OH",-,-,587
,"CLARK, OH",0.61%,0.74%,17152
,"BUCKINGHAM, VA",-,-,959
,"WILLIAMS, OH",0.32%,0.41%,6348
,"CHESTER, SC",0.35%,0.70%,3696
,"ADAMS, PA",0.30%,0.52%,12519
,"WILLIAMSBURG, SC",0.80%,1.39%,1876
,"NORTHAMPTON, VA",-,-,672
,"NORTHUMBERLAND, VA",-,-,1330
,"CHEROKEE, SC",0.43%,0.61%,8916
,"FRANKLIN CITY, VA",-,-,1073
,"REAGAN, TX",-,-,484
,"RICHLAND, OH",0.12%,0.44%,12038
,"FRANKLIN, PA",0.21%,0.48%,13880
,"ZIEBACH, SD",-,-,35
,"KING AND QUEEN, VA",-,-,729
,"MCNAIRY, TN",-,-,622
,"MARION, OH",0.17%,0.45%,10887
,"OKMULGEE, OK",-,0.64%,3139
,"SUTTON, TX",-,-,354
,"SOUTHAMPTON, VA",-,-,918
,"ISLE OF WIGHT, VA",-,-,2437
,"NORFOLK CITY, VA",-,0.28%,4263
,"OKFUSKEE, OK",-,-,870
,"SOMERSET, PA",-,-,2174
,"MANASSAS PARK CITY, VA",-,-,294
,"FALLS, TX",-,0.64%,1871
,"YOAKUM, TX",-,-,32
,"DICKENSON, VA",0.88%,1.17%,1705
,"SCHLEICHER, TX",-,-,317
,"TOM GREEN, TX",0.33%,0.45%,23238
,"GREENWOOD, SC",0.38%,0.51%,13797
,"RICHMOND, VA",-,-,1113
,"PORTSMOUTH CITY, VA",-,0.50%,4001
,"SIOUX, ND",-,-,380
,"MADISON, VA",1.03%,1.03%,1556
,"CLERMONT, OH",0.63%,0.73%,30753
,"VINTON, OH",-,-,283
,"ASHLAND, OH",-,0.42%,3323
,"CAMBRIA, PA",0.20%,0.45%,7398
,"SUFFOLK CITY, VA",-,0.45%,4853
,"NELSON, VA",-,0.71%,1549
,"LANCASTER, VA",-,-,1464
,"RUNNELS, TX",-,-,1331
,"WHEELER, OR",-,-,169
,"BUTLER, OH",0.41%,0.54%,65531
,"CARBON, PA",0.31%,0.53%,11055
,"LAKE, OR",-,-,401
,"CHAMPAIGN, OH",0.42%,0.50%,4030
,"COOS, OR",0.36%,0.58%,7292
,"GREENE, VA",-,-,2473
,"FLUVANNA, VA",0.72%,0.79%,2909
,"HENDERSON, TN",-,-,220
,"DICKENS, TX",-,-,15
,"PICKENS, SC",0.42%,0.54%,20537
,"MIAMI, OH",0.52%,0.61%,17822
,"MIDDLESEX, VA",-,-,1423
,"MATHEWS, VA",-,-,941
,"LOUISA, VA",0.67%,0.78%,3740
,"NOTTOWAY, VA",-,1.37%,878
,"ADAMS, ND",-,-,66
,"MONROE, OH",-,-,1177
,"NEWPORT NEWS CITY, VA",0.13%,0.35%,16783
,"MADISON, OH",-,0.38%,3424
,"CHESTER, TN",-,-,298
,"MONTGOMERY, OH",0.46%,0.53%,83552
,"LEE, SC",-,-,732
,"HARDIN, OH",-,0.50%,2997
,"OCONEE, SC",0.51%,0.70%,7399
,"FAYETTE, OH",0.89%,1.22%,1234
,"CLINTON, OH",0.54%,0.70%,5741
,"BRADFORD, PA",0.29%,0.59%,10647
,"ABBEVILLE, SC",0.74%,0.85%,2823
,"GLOUCESTER, VA",-,0.41%,4582
,"CREEK, OK",0.25%,0.61%,7063
,"YORK, PA",0.23%,0.41%,74974
,"BELMONT, OH",0.22%,0.41%,8535
,"LICKING, OH",0.07%,0.33%,20226
,"MONROE, PA",0.32%,0.56%,26753
,"UPSHUR, TX",1.04%,1.28%,1247
,"COSHOCTON, OH",-,-,471
,"STERLING, TX",-,-,296
,"MCINTOSH, OK",-,1.37%,1096
,"SAN SABA, TX",-,-,624
,"BEXAR, TX",0.67%,0.81%,72926
,"WYANDOT, OH",-,0.63%,2526
,"HAMILTON, OH",0.42%,0.51%,148905
,"LUBBOCK, TX",-,0.47%,4456
,"JACKSON, OH",-,-,237
,"DEFIANCE, OH",0.36%,0.52%,6188
,"ROGERS, OK",0.23%,0.46%,7982
,"DYER, TN",-,-,2189
,"ANDERSON, SC",0.41%,0.46%,37896
,"LAKE, TN",-,-,180
,"LINCOLN, OR",0.51%,0.64%,6117
,"CHESAPEAKE CITY, VA",-,0.25%,8083
,"LEBANON, PA",0.18%,0.40%,19097
,"GREGORY, SD",-,-,334
,"MARION, TN",1.66%,1.81%,1268
,"SPARTANBURG, SC",0.44%,0.55%,62762
,"BURLESON, TX",-,0.58%,2060
,"MALHEUR, OR",0.52%,0.71%,5195
,"FLORENCE, SC",0.47%,0.83%,11872
,"OBION, TN",-,-,2185
,"ALLEN, OH",0.40%,0.57%,12252
,"FULTON, OH",0.49%,0.57%,6530
,"HUGHES, SD",-,-,392
,"HIGHLAND, OH",0.75%,0.82%,3048
,"CARROLL, VA",-,-,259
,"FAIRFIELD, OH",-,0.31%,6354
,"ORANGE, VA",0.71%,0.79%,4657
,"CAMP, TX",-,-,1688
,"CROOK, OR",0.50%,0.73%,4386
,"GRANT, ND",-,-,252
,"FRANKLIN, OH",0.08%,0.35%,59744
,"RANSOM, ND",-,-,963
,"HOCKING, OH",-,-,794
,"CLAY, TN",-,-,10 or fewer
,"ROBERTSON, TX",-,0.68%,1761
,"IRION, TX",-,-,358
,"EDWARDS, TX",-,-,39
,"LEWIS, TN",-,-,10 or fewer
,"ROSS, OH",-,-,963
,"SUSSEX, VA",-,-,545
,"HASKELL, OK",-,-,533
,"CULPEPER, VA",0.48%,0.62%,8093
,"ATHENS, OH",0.28%,0.43%,4598
,"NORTHAMPTON, PA",0.35%,0.56%,54433
,"MCCULLOCH, TX",-,-,465
,"TUSCARAWAS, OH",-,0.17%,9007
,"CHARLES CITY, VA",-,-,661
,"CHARLES MIX, SD",-,-,301
,"VIRGINIA BEACH CITY, VA",0.07%,0.26%,27572
,"BAKER, OR",0.45%,0.49%,2437
,"GREENE, OH",0.42%,0.51%,25701
,"GREENVILLE, SC",0.44%,0.55%,79260
,"LAWRENCE, TN",-,-,18
,"CAMPBELL, TN",-,-,92
