Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2023,,,
Session ID,2775290,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States WA_WY,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2023 - 12/31/2023,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/11/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"CLAY, WV",-,-,518
,"DODDRIDGE, WV",-,-,686
,"TYLER, WV",-,-,965
,"WETZEL, WV",0.64%,0.68%,2486
,"BRAXTON, WV",-,0.89%,1348
,"PLEASANTS, WV",-,-,586
,"LEWIS, WV",-,0.55%,2015
,"WIRT, WV",-,-,513
,"HARRISON, WV",0.48%,0.61%,11248
,"UPSHUR, WV",0.44%,0.56%,3414
,"WOOD, WV",0.44%,0.60%,9896
,"MENOMINEE, WI",-,-,649
,"RITCHIE, WV",-,-,944
,"POCAHONTAS, WV",-,-,232
,"NICHOLAS, WV",0.95%,1.42%,1903
,"TAYLOR, WV",-,-,1718
,"BARBOUR, WV",-,1.05%,1240
,"MARSHALL, WV",-,0.39%,4634
,"BROOKE, WV",-,-,1409
,"WAUSHARA, WI",-,0.85%,1411
,"ROANE, WV",-,-,349
,"MINERAL, WV",0.60%,0.81%,2825
,"MARQUETTE, WI",-,-,889
,"CALHOUN, WV",-,-,294
,"JACKSON, WV",0.26%,0.43%,4225
,"MARION, WV",0.41%,0.50%,8680
,"SAWYER, WI",-,-,1578
,"WASHBURN, WI",-,-,1241
,"GILMER, WV",-,-,390
,"WEBSTER, WV",-,-,491
,"GRAYS HARBOR, WA",-,-,65
,"ADAMS, WI",-,-,1121
,"BAYFIELD, WI",-,-,1232
,"SHEBOYGAN, WI",0.31%,0.39%,18776
,"ROCK, WI",0.46%,0.68%,19344
,"WAHKIAKUM, WA",-,-,214
,"RUSK, WI",-,-,797
,"OHIO, WV",-,0.31%,6361
,"DODGE, WI",0.78%,0.99%,6953
,"LARAMIE, WY",0.45%,0.62%,13508
,"DOUGLAS, WI",0.39%,0.53%,5899
,"MINGO, WV",-,-,558
,"MANITOWOC, WI",0.38%,0.48%,10815
,"JEFFERSON, WV",0.37%,0.56%,8697
,"WALWORTH, WI",0.38%,0.45%,13807
,"GRANT, WA",0.16%,0.35%,9712
,"ASHLAND, WI",-,-,1628
,"MONROE, WI",0.51%,0.58%,5531
,"FOREST, WI",-,-,187
,"BERKELEY, WV",0.38%,0.54%,20502
,"COLUMBIA, WI",0.49%,0.94%,4468
,"PEPIN, WI",-,-,475
,"PRESTON, WV",0.49%,0.70%,3450
,"PIERCE, WI",0.72%,0.72%,1675
,"POLK, WI",-,-,657
,"DOUGLAS, WA",0.32%,0.47%,6528
,"CRAWFORD, WI",-,-,1377
,"WAYNE, WV",-,0.47%,3858
,"MILWAUKEE, WI",0.38%,0.46%,147860
,"OKANOGAN, WA",-,-,4821
,"GREEN LAKE, WI",1.41%,1.61%,991
,"GREEN, WI",0.66%,1.21%,2559
,"PENDLETON, WV",-,-,390
,"JEFFERSON, WI",0.82%,1.20%,5254
,"KENOSHA, WI",0.44%,0.46%,25616
,"VILAS, WI",-,-,101
,"CHELAN, WA",0.19%,0.34%,10392
,"OCONTO, WI",0.48%,0.55%,6191
,"TREMPEALEAU, WI",0.30%,0.35%,4036
,"RACINE, WI",0.50%,0.57%,24313
,"BURNETT, WI",-,-,488
,"MARINETTE, WI",0.43%,0.50%,6796
,"BUFFALO, WI",-,0.94%,1176
,"FAYETTE, WV",-,1.18%,932
,"FERRY, WA",-,-,26
,"RANDOLPH, WV",1.49%,2.15%,1211
,"LINCOLN, WY",-,-,1561
,"KITTITAS, WA",-,-,749
,"MORGAN, WV",-,-,1591
,"SHAWANO, WI",0.31%,0.52%,3495
,"VERNON, WI",0.45%,0.50%,3571
,"KEWAUNEE, WI",-,-,3471
,"PLATTE, WY",-,-,260
,"LA CROSSE, WI",0.29%,0.33%,15550
,"WINNEBAGO, WI",0.54%,0.67%,14183
,"DOOR, WI",-,-,1743
,"ADAMS, WA",-,-,530
,"IRON, WI",-,-,259
,"SKAGIT, WA",0.12%,0.24%,12716
,"LOGAN, WV",-,-,379
,"COWLITZ, WA",1.16%,1.34%,6131
,"ASOTIN, WA",-,-,18
,"JUNEAU, WI",0.58%,0.92%,2062
,"TUCKER, WV",-,-,347
,"MONONGALIA, WV",0.39%,0.51%,12941
,"WASHINGTON, WI",0.57%,0.62%,15366
,"FOND DU LAC, WI",0.79%,1.03%,7366
,"GRANT, WV",-,-,743
,"GOSHEN, WY",-,-,208
,"LANGLADE, WI",-,-,266
,"SAINT CROIX, WI",-,-,1425
,"LINCOLN, WA",-,-,51
,"YAKIMA, WA",0.14%,0.36%,9447
,"SWEETWATER, WY",-,-,729
,"GRANT, WI",0.78%,0.98%,2442
,"LINCOLN, WV",-,-,805
,"PACIFIC, WA",-,-,370
,"ISLAND, WA",-,-,1552
,"MASON, WV",-,-,1294
,"FRANKLIN, WA",-,-,115
,"CHIPPEWA, WI",0.29%,0.37%,4879
,"WOOD, WI",-,-,847
,"BROWN, WI",0.31%,0.39%,53993
,"WESTON, WY",-,-,404
,"IOWA, WI",-,1.45%,1172
,"OZAUKEE, WI",0.33%,0.36%,14595
,"NIOBRARA, WY",-,-,17
,"EAU CLAIRE, WI",0.29%,0.55%,7309
,"MCDOWELL, WV",-,-,489
,"DANE, WI",0.33%,0.45%,76448
,"CABELL, WV",0.15%,0.34%,7907
,"ALBANY, WY",-,0.45%,3109
,"KING, WA",0.09%,0.24%,76082
,"WAUPACA, WI",1.19%,1.61%,2354
,"CARBON, WY",-,-,509
,"CALUMET, WI",0.61%,0.88%,3417
,"CLALLAM, WA",-,-,52
,"SAUK, WI",0.89%,1.56%,2370
,"ONEIDA, WI",-,-,209
,"HARDY, WV",-,-,663
,"GREENBRIER, WV",-,-,481
,"SPOKANE, WA",-,-,341
,"WAUKESHA, WI",0.44%,0.50%,50461
,"STEVENS, WA",-,-,23
,"CAMPBELL, WY",-,3.26%,399
,"RALEIGH, WV",-,-,909
,"LEWIS, WA",-,-,366
,"TAYLOR, WI",-,-,148
,"PIERCE, WA",-,0.38%,4436
,"JACKSON, WI",0.76%,0.89%,1577
,"RICHLAND, WI",-,1.15%,953
,"LAFAYETTE, WI",-,-,866
,"WHATCOM, WA",-,0.37%,4362
,"BARRON, WI",-,-,1712
,"OUTAGAMIE, WI",0.86%,1.16%,13668
,"SNOHOMISH, WA",-,0.18%,16473
,"MASON, WA",-,-,74
,"MERCER, WV",-,0.35%,4797
,"DUNN, WI",-,-,1436
,"CLARK, WI",-,-,575
,"FLORENCE, WI",-,-,284
,"HANCOCK, WV",-,-,1677
,"BENTON, WA",-,-,269
,"HAMPSHIRE, WV",0.86%,1.01%,1392
,"JOHNSON, WY",-,-,51
,"WALLA WALLA, WA",-,-,71
,"PARK, WY",-,-,1198
,"NATRONA, WY",-,-,664
,"PUTNAM, WV",-,0.45%,2690
,"SUMMERS, WV",-,-,187
,"FREMONT, WY",-,-,453
,"UINTA, WY",-,-,1240
,"CONVERSE, WY",-,-,115
,"PORTAGE, WI",-,1.02%,1076
,"SUBLETTE, WY",-,-,98
,"WASHAKIE, WY",-,-,101
,"SHERIDAN, WY",-,-,203
,"CLARK, WA",0.71%,0.82%,39390
,"WHITMAN, WA",-,-,47
,"PRICE, WI",-,-,169
,"HOT SPRINGS, WY",-,-,35
,"LINCOLN, WI",-,-,287
,"BIG HORN, WY",-,-,255
,"CROOK, WY",-,-,301
,"JEFFERSON, WA",-,-,19
,"KLICKITAT, WA",0.84%,1.08%,1659
,"GARFIELD, WA",-,-,10 or fewer
,"THURSTON, WA",-,-,714
,"WYOMING, WV",-,-,398
,"KITSAP, WA",-,-,427
,"SAN JUAN, WA",-,-,118
