Session Title,HA1C % or more and BMI by Age and County,,,
Session Description,states ND-VA,,,
Session ID,2733054,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia",Base Patient,,
Session Date Range,1/1/2023 - 7/17/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/7/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
Age in Years (Current),County of Residence,,,
Less than 18,"HARRIS, TX",749093,0.264%,5%
,"DALLAS, TX",202870,0.097%,5%
,"TARRANT, TX",380453,0.265%,6.3%
,"CUYAHOGA, OH",210637,0.28%,5.1%
,"PHILADELPHIA, PA",133745,0.189%,5.5%
,"FRANKLIN, OH",93564,0.059%,4.7%
,"HAMILTON, OH",164010,0.256%,4.9%
,"BEXAR, TX",117132,0.4%,6.1%
,"FAIRFAX, VA",106021,0.219%,3.3%
,"COLLIN, TX",108438,0.133%,3.6%
,"MONTGOMERY, PA",60472,0.117%,3.4%
,"TULSA, OK",101370,0.24%,6%
,"ALLEGHENY, PA",56510,0.042%,4.3%
,"GREENVILLE, SC",97719,0.337%,6.3%
,"FORT BEND, TX",131328,0.34%,4%
,"MULTNOMAH, OR",90398,0.335%,4.6%
,"MONTGOMERY, OH",104683,0.323%,5.4%
,"DENTON, TX",104786,0.178%,3.7%
,"SALT LAKE, UT",101561,0.059%,2.7%
,"LANCASTER, PA",80916,0.138%,4.3%
,"TRAVIS, TX",108068,0.097%,5.3%
,"YORK, PA",81548,0.235%,6.3%
,"SHELBY, TN",60589,0.51%,4.8%
,"BUCKS, PA",41046,0.161%,4.3%
,"LEHIGH, PA",75682,0.314%,6.6%
,"CHESTER, PA",56240,0.261%,3.1%
,"MONTGOMERY, TX",110824,0.305%,3.9%
,"LUCAS, OH",77350,0.368%,8%
,"BUTLER, OH",73513,0.268%,5.1%
,"SPARTANBURG, SC",72966,0.319%,8.2%
,"BELL, TX",84388,0.374%,6.9%
,"DELAWARE, PA",46559,0.258%,3.8%
,"SUMMIT, OH",37887,0.135%,5.2%
,"NORTHAMPTON, PA",57717,0.334%,7%
,"WASHINGTON, OR",68333,0.293%,4.5%
,"CHARLESTON, SC",53582,0.338%,4.3%
,"VIRGINIA BEACH CITY, VA",38673,0.041%,3.6%
,"BERKS, PA",54884,0.193%,4.1%
,"PRINCE WILLIAM, VA",51364,0.257%,4.8%
,"RICHLAND, SC",47832,0.481%,5.9%
,"LORAIN, OH",53530,0.323%,5.4%
,"LOUDOUN, VA",40632,0.335%,2.9%
,"CLACKAMAS, OR",47913,0.351%,4%
,"CHESTERFIELD, VA",38789,0.598%,6.2%
,"WILLIAMSON, TX",40482,0.274%,4.5%
,"HENRICO, VA",37130,0.461%,5.4%
,"WARREN, OH",44981,0.376%,3.8%
,"DAUPHIN, PA",33502,0.209%,6%
,"HAMILTON, TN",39899,0.449%,5.9%
,"DESCHUTES, OR",36630,0.235%,4.4%
,"CUMBERLAND, PA",28227,0.202%,5.5%
,"ANDERSON, SC",41978,0.348%,7.6%
,"CLERMONT, OH",35294,0.419%,4.7%
,"CASS, ND",43093,0.244%,3.8%
,"OKLAHOMA, OK",52168,0.291%,7.7%
,"STARK, OH",20002,-,4.2%
,"DELAWARE, OH",24242,0.087%,3.3%
,"BRAZORIA, TX",44524,0.321%,4.4%
,"MCLENNAN, TX",39253,0.352%,7.7%
,"LAKE, OH",31321,0.236%,5.2%
,"BERKELEY, SC",36706,0.441%,5.5%
,"ELLIS, TX",31908,0.154%,6.3%
,"MONROE, PA",28987,0.283%,7.8%
,"LEXINGTON, SC",31684,0.505%,5.5%
,"CHESAPEAKE CITY, VA",10966,-,4.9%
,"JOHNSON, TX",40666,0.263%,6.1%
,"MINNEHAHA, SD",34699,0.248%,3.8%
,"GREENE, OH",31827,0.276%,5.4%
,"NEWPORT NEWS CITY, VA",22913,0.096%,5.8%
,"MAHONING, OH",12478,0.144%,6.8%
,"ERIE, PA",23099,0.143%,7.5%
,"LICKING, OH",24268,0.058%,5.7%
,"HORRY, SC",15813,0.797%,7.2%
,"CHITTENDEN, VT",18705,0.39%,3.2%
,"ARLINGTON, VA",19117,0.183%,3.2%
,"SULLIVAN, TN",21423,0.187%,7.9%
,"NORFOLK CITY, VA",7317,-,5.9%
,"MEDINA, OH",22960,0.144%,3.3%
,"WESTMORELAND, PA",7614,-,5.9%
,"MARION, OR",25464,0.746%,5.4%
,"LINN, OR",24911,0.405%,6.6%
,"RICHMOND CITY, VA",20984,0.357%,5.9%
,"SCHUYLKILL, PA",19951,0.231%,7.3%
,"KAUFMAN, TX",21631,0.079%,6.6%
,"PICKENS, SC",22795,0.316%,8%
,"TOM GREEN, TX",26202,0.206%,8.1%
,"BRAZOS, TX",28234,0.283%,5.4%
,"TRUMBULL, OH",12041,0.108%,4.7%
,"LEBANON, PA",22179,0.212%,6.5%
,"CLARK, OH",23111,0.394%,6.4%
,"PARKER, TX",32435,0.296%,4.6%
,"SMITH, TX",22418,0.103%,6.6%
,"GALVESTON, TX",20132,0.442%,3.8%
,"FLORENCE, SC",14608,0.377%,7.8%
,"HAMPTON CITY, VA",14051,0.185%,6.1%
,"MIAMI, OH",21705,0.355%,4.9%
,"ALBEMARLE, VA",16103,0.255%,3.9%
,"LUZERNE, PA",15934,0.201%,5.9%
,"RICHLAND, OH",15402,0.11%,6.6%
,"PORTAGE, OH",13495,0.156%,5.2%
,"WASHINGTON, TN",14437,0.194%,6.7%
,"FRANKLIN, PA",17389,0.207%,6.6%
,"WASHINGTON, PA",11525,-,5.1%
,"FAYETTE, PA",13278,0.294%,8%
,"DAVIS, UT",24196,-,1.6%
,"FAIRFIELD, OH",8867,-,5.5%
,"WOOD, OH",19323,0.362%,6.4%
,"ALEXANDRIA CITY, VA",13413,0.209%,2.8%
