Session Title,HA1C 6.5+ and Percentage w/BMI 30.0+ by BRFSS Age and County,,,
Session Description,"commercial, medicare and medicaid for states WA-WY",,,
Session ID,2732946,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): Washington, West Virginia, Wisconsin, Wyoming",Base Patient,,
Session Date Range,1/1/2023 12:00 AM - 7/17/2025 12:00 AM,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/7/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
Age in Years (Current),County of Residence,,,
Less than 18,"KING, WA",111668,0.069%,3.4%
,"MILWAUKEE, WI",176274,0.269%,6.7%
,"DANE, WI",79386,0.265%,2.7%
,"BROWN, WI",63445,0.188%,4.6%
,"CLARK, WA",56286,0.474%,3.3%
,"WAUKESHA, WI",58442,0.33%,2.8%
,"SNOHOMISH, WA",25715,0.066%,4.3%
,"RACINE, WI",28862,0.43%,5.3%
,"BERKELEY, WV",26120,0.314%,7.2%
,"KENOSHA, WI",28781,0.358%,5.6%
,"ROCK, WI",22523,0.382%,5.3%
,"SHEBOYGAN, WI",20303,0.256%,4.9%
,"SKAGIT, WA",18445,0.081%,7.7%
,"WINNEBAGO, WI",17377,0.397%,4.6%
,"LA CROSSE, WI",16665,0.186%,2.9%
,"WALWORTH, WI",14950,0.314%,5.3%
,"WASHINGTON, WI",18013,0.3%,3.1%
,"MONONGALIA, WV",15040,0.299%,5%
,"OUTAGAMIE, WI",17391,0.61%,3.8%
,"LARAMIE, WY",17917,0.413%,4.1%
,"WOOD, WV",12469,0.401%,8.5%
,"KANAWHA, WV",14058,0.313%,6.9%
,"CHELAN, WA",12891,0.116%,4.5%
,"MANITOWOC, WI",12384,0.25%,5.4%
,"HARRISON, WV",12735,0.408%,8.6%
,"OZAUKEE, WI",15531,0.245%,2.3%
,"GRANT, WA",12380,0.121%,6.2%
,"PIERCE, WA",6242,-,2.8%
,"JEFFERSON, WV",10666,0.206%,6.3%
,"MARION, WV",9982,0.391%,8.7%
,"MARINETTE, WI",8543,0.304%,5.4%
,"COWLITZ, WA",9565,0.69%,4.6%
,"EAU CLAIRE, WI",8499,0.212%,4.7%
,"FOND DU LAC, WI",8744,0.492%,4.8%
,"WHATCOM, WA",6222,-,5.3%
,"OCONTO, WI",7271,0.358%,5.1%
,"DODGE, WI",7824,0.562%,4.6%
,"OHIO, WV",6833,0.234%,8.8%
,"MERCER, WV",6465,0.309%,8.6%
,"DOUGLAS, WA",7797,0.218%,4.6%
,"DOUGLAS, WI",6414,0.296%,4.8%
,"CABELL, WV",9246,0.141%,8.7%
,"JEFFERSON, WI",6134,0.619%,3.9%
,"CHIPPEWA, WI",5935,0.202%,5.2%
,"OKANOGAN, WA",5959,-,5.4%
,"ISLAND, WA",2559,-,4.1%
,"MONROE, WI",6457,0.341%,4.5%
,"COLUMBIA, WI",4864,0.535%,3.6%
,"YAKIMA, WA",11177,-,6.3%
,"JACKSON, WV",5136,-,10%
,"MARSHALL, WV",4715,0.276%,10.4%
,"SHAWANO, WI",4368,0.298%,5.2%
,"DOOR, WI",2277,0.483%,5.7%
,"VERNON, WI",3970,-,3.2%
,"TREMPEALEAU, WI",4662,-,4.4%
,"PRESTON, WV",4250,0.306%,6%
,"UPSHUR, WV",3947,0.405%,8.3%
,"ALBANY, WY",4088,0.318%,2.8%
,"KEWAUNEE, WI",4037,-,4.9%
,"MINERAL, WV",3570,0.476%,9.6%
,"SAUK, WI",2973,0.572%,4.2%
,"GRANT, WI",3228,0.496%,6.1%
,"CALUMET, WI",3996,0.576%,4.3%
,"PUTNAM, WV",5111,0.215%,5.4%
,"NICHOLAS, WV",2607,0.729%,8.8%
,"HAMPSHIRE, WV",2533,-,7%
,"GREEN, WI",2766,0.434%,3.8%
,"JUNEAU, WI",2294,0.48%,4.8%
,"WAYNE, WV",4247,-,10.9%
,"RANDOLPH, WV",1811,0.939%,7.4%
,"SAINT CROIX, WI",1937,-,4.4%
,"LEWIS, WV",2408,-,7.5%
,"WETZEL, WV",2677,0.598%,9.6%
,"THURSTON, WA",1054,-,4.1%
,"WAUPACA, WI",3102,0.709%,5.4%
,"MORGAN, WV",2128,-,7.6%
,"SAWYER, WI",1954,-,6.1%
,"JACKSON, WI",1848,-,4%
,"BARRON, WI",2227,-,4.4%
,"PIERCE, WI",1947,-,7.1%
,"HANCOCK, WV",2324,-,7.5%
,"RALEIGH, WV",1633,1%,8.3%
,"TAYLOR, WV",2043,-,9.1%
,"DUNN, WI",1804,-,4.6%
,"BROOKE, WV",1732,-,9%
,"LINCOLN, WY",2409,-,2.8%
,"BRAXTON, WV",1720,-,11.5%
,"ASHLAND, WI",1934,-,5.6%
,"MARATHON, WI",2544,-,4%
,"CRAWFORD, WI",1578,-,4.9%
,"KLICKITAT, WA",1895,0.58%,5.9%
,"BAYFIELD, WI",1424,-,4.8%
,"BARBOUR, WV",1703,-,7.5%
,"WASHBURN, WI",1424,-,6.9%
,"POLK, WI",1548,-,4.1%
,"KITSAP, WA",633,-,2.5%
,"ADAMS, WI",1378,-,7.2%
,"FAYETTE, WV",1535,1.4%,6.6%
,"PARK, WY",1505,-,3.6%
,"WAUSHARA, WI",1581,-,5.7%
,"KITTITAS, WA",945,-,4.8%
,"SWEETWATER, WY",1317,-,1.6%
,"GRANT, WV",1281,-,8.8%
,"HARDY, WV",1162,-,9%
,"RICHLAND, WI",1219,-,4.8%
,"IOWA, WI",1420,-,4.6%
,"BUFFALO, WI",1334,-,5.5%
