Session Title,COVID ICD10s in ED in 2023-2025,,,
Session Description,base al ed encounters53 states of residence6 age groupslong formatstate age date,,,
Session ID,2726824,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: COVID-19( ICD-10-CM: U07.* ),,,
Session Date Range,12/29/2024 12:00 AM - 9/10/2025 12:00 AM (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,9/23/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2024 – 2025,Dec 29 – Jan 4,45
,,2025,Jan 5 – Jan 11,23
,,,Jan 12 – Jan 18,38
,,,Jan 19 – Jan 25,32
,,,Jan 26 – Feb 1,39
,,,Feb 2 – Feb 8,38
,,,Feb 9 – Feb 15,33
,,,Feb 16 – Feb 22,24
,,,Feb 23 – Mar 1,24
,,,Mar 2 – Mar 8,33
,,,Mar 9 – Mar 15,31
,,,Mar 16 – Mar 22,18
,,,Mar 23 – Mar 29,33
,,,Mar 30 – Apr 5,25
,,,Apr 6 – Apr 12,27
,,,Apr 13 – Apr 19,21
,,,Apr 20 – Apr 26,36
,,,Apr 27 – May 3,21
,,,May 4 – May 10,30
,,,May 11 – May 17,30
,,,May 18 – May 24,34
,,,May 25 – May 31,46
,,,Jun 1 – Jun 7,56
,,,Jun 8 – Jun 14,62
,,,Jun 15 – Jun 21,65
,,,Jun 22 – Jun 28,94
,,,Jun 29 – Jul 5,113
,,,Jul 6 – Jul 12,127
,,,Jul 13 – Jul 19,158
,,,Jul 20 – Jul 26,202
,,,Jul 27 – Aug 2,210
,,,Aug 3 – Aug 9,225
,,,Aug 10 – Aug 16,217
,,,Aug 17 – Aug 23,295
,,,Aug 24 – Aug 30,281
,,,Aug 31 – Sep 6,197
,,,Sep 7 – Sep 10,10 or fewer
,≥ 1 and < 5 Years,2024 – 2025,Dec 29 – Jan 4,37
,,2025,Jan 5 – Jan 11,30
,,,Jan 12 – Jan 18,38
,,,Jan 19 – Jan 25,36
,,,Jan 26 – Feb 1,30
,,,Feb 2 – Feb 8,39
,,,Feb 9 – Feb 15,28
,,,Feb 16 – Feb 22,23
,,,Feb 23 – Mar 1,27
,,,Mar 2 – Mar 8,27
,,,Mar 9 – Mar 15,19
,,,Mar 16 – Mar 22,21
,,,Mar 23 – Mar 29,24
,,,Mar 30 – Apr 5,25
,,,Apr 6 – Apr 12,21
,,,Apr 13 – Apr 19,25
,,,Apr 20 – Apr 26,25
,,,Apr 27 – May 3,27
,,,May 4 – May 10,33
,,,May 11 – May 17,39
,,,May 18 – May 24,21
,,,May 25 – May 31,34
,,,Jun 1 – Jun 7,58
,,,Jun 8 – Jun 14,42
,,,Jun 15 – Jun 21,50
,,,Jun 22 – Jun 28,57
,,,Jun 29 – Jul 5,53
,,,Jul 6 – Jul 12,84
,,,Jul 13 – Jul 19,102
,,,Jul 20 – Jul 26,134
,,,Jul 27 – Aug 2,196
,,,Aug 3 – Aug 9,157
,,,Aug 10 – Aug 16,158
,,,Aug 17 – Aug 23,233
,,,Aug 24 – Aug 30,233
,,,Aug 31 – Sep 6,137
,,,Sep 7 – Sep 10,10 or fewer
,≥ 5 and < 18 Years,2024 – 2025,Dec 29 – Jan 4,19
,,2025,Jan 5 – Jan 11,27
,,,Jan 12 – Jan 18,46
,,,Jan 19 – Jan 25,43
,,,Jan 26 – Feb 1,68
,,,Feb 2 – Feb 8,60
,,,Feb 9 – Feb 15,40
,,,Feb 16 – Feb 22,37
,,,Feb 23 – Mar 1,30
,,,Mar 2 – Mar 8,26
,,,Mar 9 – Mar 15,26
,,,Mar 16 – Mar 22,14
,,,Mar 23 – Mar 29,34
,,,Mar 30 – Apr 5,27
,,,Apr 6 – Apr 12,21
,,,Apr 13 – Apr 19,35
,,,Apr 20 – Apr 26,39
,,,Apr 27 – May 3,36
,,,May 4 – May 10,41
,,,May 11 – May 17,38
,,,May 18 – May 24,32
,,,May 25 – May 31,41
,,,Jun 1 – Jun 7,28
,,,Jun 8 – Jun 14,29
,,,Jun 15 – Jun 21,34
,,,Jun 22 – Jun 28,36
,,,Jun 29 – Jul 5,45
,,,Jul 6 – Jul 12,79
,,,Jul 13 – Jul 19,91
,,,Jul 20 – Jul 26,133
,,,Jul 27 – Aug 2,127
,,,Aug 3 – Aug 9,152
,,,Aug 10 – Aug 16,294
,,,Aug 17 – Aug 23,571
,,,Aug 24 – Aug 30,583
,,,Aug 31 – Sep 6,310
,,,Sep 7 – Sep 10,10 or fewer
,≥ 18 and < 50 Years,2024 – 2025,Dec 29 – Jan 4,195
,,2025,Jan 5 – Jan 11,174
,,,Jan 12 – Jan 18,181
,,,Jan 19 – Jan 25,186
,,,Jan 26 – Feb 1,217
,,,Feb 2 – Feb 8,191
,,,Feb 9 – Feb 15,179
,,,Feb 16 – Feb 22,160
,,,Feb 23 – Mar 1,149
,,,Mar 2 – Mar 8,138
,,,Mar 9 – Mar 15,149
,,,Mar 16 – Mar 22,137
,,,Mar 23 – Mar 29,161
,,,Mar 30 – Apr 5,134
,,,Apr 6 – Apr 12,115
,,,Apr 13 – Apr 19,117
,,,Apr 20 – Apr 26,131
,,,Apr 27 – May 3,152
,,,May 4 – May 10,150
,,,May 11 – May 17,146
,,,May 18 – May 24,176
,,,May 25 – May 31,219
,,,Jun 1 – Jun 7,273
,,,Jun 8 – Jun 14,290
,,,Jun 15 – Jun 21,323
,,,Jun 22 – Jun 28,417
,,,Jun 29 – Jul 5,376
,,,Jul 6 – Jul 12,591
,,,Jul 13 – Jul 19,624
,,,Jul 20 – Jul 26,737
,,,Jul 27 – Aug 2,853
,,,Aug 3 – Aug 9,806
,,,Aug 10 – Aug 16,899
,,,Aug 17 – Aug 23,977
,,,Aug 24 – Aug 30,1070
,,,Aug 31 – Sep 6,908
,,,Sep 7 – Sep 10,10 or fewer
,≥ 50 and < 65 Years,2024 – 2025,Dec 29 – Jan 4,99
,,2025,Jan 5 – Jan 11,91
,,,Jan 12 – Jan 18,93
,,,Jan 19 – Jan 25,109
,,,Jan 26 – Feb 1,105
,,,Feb 2 – Feb 8,95
,,,Feb 9 – Feb 15,76
,,,Feb 16 – Feb 22,82
,,,Feb 23 – Mar 1,76
,,,Mar 2 – Mar 8,63
,,,Mar 9 – Mar 15,71
,,,Mar 16 – Mar 22,62
,,,Mar 23 – Mar 29,60
,,,Mar 30 – Apr 5,57
,,,Apr 6 – Apr 12,52
,,,Apr 13 – Apr 19,51
,,,Apr 20 – Apr 26,57
,,,Apr 27 – May 3,57
,,,May 4 – May 10,56
,,,May 11 – May 17,58
,,,May 18 – May 24,69
,,,May 25 – May 31,88
,,,Jun 1 – Jun 7,80
,,,Jun 8 – Jun 14,132
,,,Jun 15 – Jun 21,139
,,,Jun 22 – Jun 28,161
,,,Jun 29 – Jul 5,182
,,,Jul 6 – Jul 12,195
,,,Jul 13 – Jul 19,229
,,,Jul 20 – Jul 26,277
,,,Jul 27 – Aug 2,291
,,,Aug 3 – Aug 9,285
,,,Aug 10 – Aug 16,288
,,,Aug 17 – Aug 23,305
,,,Aug 24 – Aug 30,383
,,,Aug 31 – Sep 6,309
,,,Sep 7 – Sep 10,10 or fewer
,65 Years or more,2024 – 2025,Dec 29 – Jan 4,322
,,2025,Jan 5 – Jan 11,281
,,,Jan 12 – Jan 18,256
,,,Jan 19 – Jan 25,255
,,,Jan 26 – Feb 1,220
,,,Feb 2 – Feb 8,240
,,,Feb 9 – Feb 15,206
,,,Feb 16 – Feb 22,171
,,,Feb 23 – Mar 1,189
,,,Mar 2 – Mar 8,185
,,,Mar 9 – Mar 15,183
,,,Mar 16 – Mar 22,203
,,,Mar 23 – Mar 29,178
,,,Mar 30 – Apr 5,141
,,,Apr 6 – Apr 12,129
,,,Apr 13 – Apr 19,130
,,,Apr 20 – Apr 26,137
,,,Apr 27 – May 3,116
,,,May 4 – May 10,118
,,,May 11 – May 17,130
,,,May 18 – May 24,168
,,,May 25 – May 31,179
,,,Jun 1 – Jun 7,184
,,,Jun 8 – Jun 14,219
,,,Jun 15 – Jun 21,253
,,,Jun 22 – Jun 28,305
,,,Jun 29 – Jul 5,355
,,,Jul 6 – Jul 12,438
,,,Jul 13 – Jul 19,425
,,,Jul 20 – Jul 26,462
,,,Jul 27 – Aug 2,544
,,,Aug 3 – Aug 9,592
,,,Aug 10 – Aug 16,662
,,,Aug 17 – Aug 23,637
,,,Aug 24 – Aug 30,669
,,,Aug 31 – Sep 6,517
,,,Sep 7 – Sep 10,10 or fewer
,No value,2024 – 2025,Dec 29 – Jan 4,10 or fewer
,,2025,Jan 5 – Jan 11,10 or fewer
,,,Jan 12 – Jan 18,10 or fewer
,,,Jan 19 – Jan 25,10 or fewer
,,,Jan 26 – Feb 1,10 or fewer
,,,Feb 2 – Feb 8,10 or fewer
,,,Feb 9 – Feb 15,10 or fewer
,,,Feb 16 – Feb 22,10 or fewer
,,,Feb 23 – Mar 1,10 or fewer
,,,Mar 2 – Mar 8,10 or fewer
,,,Mar 9 – Mar 15,10 or fewer
,,,Mar 16 – Mar 22,10 or fewer
,,,Mar 23 – Mar 29,10 or fewer
,,,Mar 30 – Apr 5,10 or fewer
,,,Apr 6 – Apr 12,10 or fewer
,,,Apr 13 – Apr 19,10 or fewer
,,,Apr 20 – Apr 26,10 or fewer
,,,Apr 27 – May 3,10 or fewer
,,,May 4 – May 10,10 or fewer
,,,May 11 – May 17,10 or fewer
,,,May 18 – May 24,10 or fewer
,,,May 25 – May 31,10 or fewer
,,,Jun 1 – Jun 7,10 or fewer
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,10 or fewer
,,,Aug 24 – Aug 30,10 or fewer
,,,Aug 31 – Sep 6,10 or fewer
,,,Sep 7 – Sep 10,10 or fewer
,Total,2024 – 2025,Dec 29 – Jan 4,717
,,2025,Jan 5 – Jan 11,626
,,,Jan 12 – Jan 18,652
,,,Jan 19 – Jan 25,661
,,,Jan 26 – Feb 1,679
,,,Feb 2 – Feb 8,663
,,,Feb 9 – Feb 15,562
,,,Feb 16 – Feb 22,497
,,,Feb 23 – Mar 1,495
,,,Mar 2 – Mar 8,472
,,,Mar 9 – Mar 15,479
,,,Mar 16 – Mar 22,455
,,,Mar 23 – Mar 29,490
,,,Mar 30 – Apr 5,409
,,,Apr 6 – Apr 12,365
,,,Apr 13 – Apr 19,379
,,,Apr 20 – Apr 26,425
,,,Apr 27 – May 3,409
,,,May 4 – May 10,428
,,,May 11 – May 17,441
,,,May 18 – May 24,500
,,,May 25 – May 31,607
,,,Jun 1 – Jun 7,679
,,,Jun 8 – Jun 14,774
,,,Jun 15 – Jun 21,864
,,,Jun 22 – Jun 28,1070
,,,Jun 29 – Jul 5,1124
,,,Jul 6 – Jul 12,1514
,,,Jul 13 – Jul 19,1629
,,,Jul 20 – Jul 26,1945
,,,Jul 27 – Aug 2,2221
,,,Aug 3 – Aug 9,2217
,,,Aug 10 – Aug 16,2518
,,,Aug 17 – Aug 23,3018
,,,Aug 24 – Aug 30,3219
,,,Aug 31 – Sep 6,2378
,,,Sep 7 – Sep 10,10 or fewer
Texas,Less than 1 Years,2024 – 2025,Dec 29 – Jan 4,69
,,2025,Jan 5 – Jan 11,62
,,,Jan 12 – Jan 18,45
,,,Jan 19 – Jan 25,85
,,,Jan 26 – Feb 1,113
,,,Feb 2 – Feb 8,128
,,,Feb 9 – Feb 15,85
,,,Feb 16 – Feb 22,73
,,,Feb 23 – Mar 1,100
,,,Mar 2 – Mar 8,99
,,,Mar 9 – Mar 15,105
,,,Mar 16 – Mar 22,90
,,,Mar 23 – Mar 29,89
,,,Mar 30 – Apr 5,77
,,,Apr 6 – Apr 12,65
,,,Apr 13 – Apr 19,77
,,,Apr 20 – Apr 26,75
,,,Apr 27 – May 3,56
,,,May 4 – May 10,52
,,,May 11 – May 17,43
,,,May 18 – May 24,63
,,,May 25 – May 31,77
,,,Jun 1 – Jun 7,66
,,,Jun 8 – Jun 14,66
,,,Jun 15 – Jun 21,66
,,,Jun 22 – Jun 28,79
,,,Jun 29 – Jul 5,89
,,,Jul 6 – Jul 12,125
,,,Jul 13 – Jul 19,154
,,,Jul 20 – Jul 26,200
,,,Jul 27 – Aug 2,280
,,,Aug 3 – Aug 9,292
,,,Aug 10 – Aug 16,339
,,,Aug 17 – Aug 23,465
,,,Aug 24 – Aug 30,391
,,,Aug 31 – Sep 6,322
,,,Sep 7 – Sep 10,10 or fewer
,≥ 1 and < 5 Years,2024 – 2025,Dec 29 – Jan 4,48
,,2025,Jan 5 – Jan 11,44
,,,Jan 12 – Jan 18,49
,,,Jan 19 – Jan 25,69
,,,Jan 26 – Feb 1,84
,,,Feb 2 – Feb 8,65
,,,Feb 9 – Feb 15,59
,,,Feb 16 – Feb 22,51
,,,Feb 23 – Mar 1,56
,,,Mar 2 – Mar 8,66
,,,Mar 9 – Mar 15,55
,,,Mar 16 – Mar 22,56
,,,Mar 23 – Mar 29,52
,,,Mar 30 – Apr 5,46
,,,Apr 6 – Apr 12,51
,,,Apr 13 – Apr 19,47
,,,Apr 20 – Apr 26,30
,,,Apr 27 – May 3,34
,,,May 4 – May 10,25
,,,May 11 – May 17,31
,,,May 18 – May 24,34
,,,May 25 – May 31,31
,,,Jun 1 – Jun 7,37
,,,Jun 8 – Jun 14,34
,,,Jun 15 – Jun 21,40
,,,Jun 22 – Jun 28,53
,,,Jun 29 – Jul 5,57
,,,Jul 6 – Jul 12,82
,,,Jul 13 – Jul 19,93
,,,Jul 20 – Jul 26,111
,,,Jul 27 – Aug 2,145
,,,Aug 3 – Aug 9,184
