Session Title,COVID ICD10s in ED in 2023-2025,,,
Session Description,base al ed encounters53 states of residence6 age groupslong formatstate age date,,,
Session ID,2763651,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: COVID-19( ICD-10-CM: U07.* ),,,
Session Date Range,12/29/2024 - 9/30/2025 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,10/8/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2024 – 2025,Dec 29 – Jan 4,45
,,2025,Jan 5 – Jan 11,23
,,,Jan 12 – Jan 18,38
,,,Jan 19 – Jan 25,32
,,,Jan 26 – Feb 1,39
,,,Feb 2 – Feb 8,38
,,,Feb 9 – Feb 15,33
,,,Feb 16 – Feb 22,24
,,,Feb 23 – Mar 1,24
,,,Mar 2 – Mar 8,33
,,,Mar 9 – Mar 15,31
,,,Mar 16 – Mar 22,18
,,,Mar 23 – Mar 29,33
,,,Mar 30 – Apr 5,25
,,,Apr 6 – Apr 12,27
,,,Apr 13 – Apr 19,21
,,,Apr 20 – Apr 26,36
,,,Apr 27 – May 3,21
,,,May 4 – May 10,30
,,,May 11 – May 17,30
,,,May 18 – May 24,34
,,,May 25 – May 31,46
,,,Jun 1 – Jun 7,56
,,,Jun 8 – Jun 14,62
,,,Jun 15 – Jun 21,65
,,,Jun 22 – Jun 28,94
,,,Jun 29 – Jul 5,114
,,,Jul 6 – Jul 12,130
,,,Jul 13 – Jul 19,159
,,,Jul 20 – Jul 26,203
,,,Jul 27 – Aug 2,210
,,,Aug 3 – Aug 9,227
,,,Aug 10 – Aug 16,217
,,,Aug 17 – Aug 23,294
,,,Aug 24 – Aug 30,283
,,,Aug 31 – Sep 6,209
,,,Sep 7 – Sep 13,129
,,,Sep 14 – Sep 20,79
,,,Sep 21 – Sep 27,49
,,,Sep 28 – Sep 30,10 or fewer
,≥ 1 and < 5 Years,2024 – 2025,Dec 29 – Jan 4,37
,,2025,Jan 5 – Jan 11,30
,,,Jan 12 – Jan 18,38
,,,Jan 19 – Jan 25,36
,,,Jan 26 – Feb 1,30
,,,Feb 2 – Feb 8,39
,,,Feb 9 – Feb 15,28
,,,Feb 16 – Feb 22,23
,,,Feb 23 – Mar 1,27
,,,Mar 2 – Mar 8,27
,,,Mar 9 – Mar 15,19
,,,Mar 16 – Mar 22,20
,,,Mar 23 – Mar 29,24
,,,Mar 30 – Apr 5,25
,,,Apr 6 – Apr 12,21
,,,Apr 13 – Apr 19,25
,,,Apr 20 – Apr 26,25
,,,Apr 27 – May 3,27
,,,May 4 – May 10,33
,,,May 11 – May 17,39
,,,May 18 – May 24,21
,,,May 25 – May 31,34
,,,Jun 1 – Jun 7,58
,,,Jun 8 – Jun 14,42
,,,Jun 15 – Jun 21,50
,,,Jun 22 – Jun 28,57
,,,Jun 29 – Jul 5,53
,,,Jul 6 – Jul 12,85
,,,Jul 13 – Jul 19,102
,,,Jul 20 – Jul 26,134
,,,Jul 27 – Aug 2,196
,,,Aug 3 – Aug 9,157
,,,Aug 10 – Aug 16,160
,,,Aug 17 – Aug 23,235
,,,Aug 24 – Aug 30,234
,,,Aug 31 – Sep 6,142
,,,Sep 7 – Sep 13,89
,,,Sep 14 – Sep 20,79
,,,Sep 21 – Sep 27,33
,,,Sep 28 – Sep 30,10 or fewer
,≥ 5 and < 18 Years,2024 – 2025,Dec 29 – Jan 4,19
,,2025,Jan 5 – Jan 11,27
,,,Jan 12 – Jan 18,46
,,,Jan 19 – Jan 25,42
,,,Jan 26 – Feb 1,68
,,,Feb 2 – Feb 8,59
,,,Feb 9 – Feb 15,40
,,,Feb 16 – Feb 22,37
,,,Feb 23 – Mar 1,30
,,,Mar 2 – Mar 8,26
,,,Mar 9 – Mar 15,26
,,,Mar 16 – Mar 22,14
,,,Mar 23 – Mar 29,34
,,,Mar 30 – Apr 5,26
,,,Apr 6 – Apr 12,21
,,,Apr 13 – Apr 19,35
,,,Apr 20 – Apr 26,39
,,,Apr 27 – May 3,36
,,,May 4 – May 10,41
,,,May 11 – May 17,38
,,,May 18 – May 24,33
,,,May 25 – May 31,42
,,,Jun 1 – Jun 7,28
,,,Jun 8 – Jun 14,29
,,,Jun 15 – Jun 21,34
,,,Jun 22 – Jun 28,36
,,,Jun 29 – Jul 5,45
,,,Jul 6 – Jul 12,80
,,,Jul 13 – Jul 19,91
,,,Jul 20 – Jul 26,133
,,,Jul 27 – Aug 2,126
,,,Aug 3 – Aug 9,151
,,,Aug 10 – Aug 16,295
,,,Aug 17 – Aug 23,571
,,,Aug 24 – Aug 30,584
,,,Aug 31 – Sep 6,311
,,,Sep 7 – Sep 13,131
,,,Sep 14 – Sep 20,95
,,,Sep 21 – Sep 27,45
,,,Sep 28 – Sep 30,10 or fewer
,≥ 18 and < 50 Years,2024 – 2025,Dec 29 – Jan 4,195
,,2025,Jan 5 – Jan 11,175
,,,Jan 12 – Jan 18,182
,,,Jan 19 – Jan 25,186
,,,Jan 26 – Feb 1,217
,,,Feb 2 – Feb 8,190
,,,Feb 9 – Feb 15,182
,,,Feb 16 – Feb 22,160
,,,Feb 23 – Mar 1,149
,,,Mar 2 – Mar 8,140
,,,Mar 9 – Mar 15,147
,,,Mar 16 – Mar 22,139
,,,Mar 23 – Mar 29,163
,,,Mar 30 – Apr 5,133
,,,Apr 6 – Apr 12,117
,,,Apr 13 – Apr 19,116
,,,Apr 20 – Apr 26,131
,,,Apr 27 – May 3,154
,,,May 4 – May 10,150
,,,May 11 – May 17,144
,,,May 18 – May 24,175
,,,May 25 – May 31,218
,,,Jun 1 – Jun 7,272
,,,Jun 8 – Jun 14,289
,,,Jun 15 – Jun 21,323
,,,Jun 22 – Jun 28,414
,,,Jun 29 – Jul 5,379
,,,Jul 6 – Jul 12,592
,,,Jul 13 – Jul 19,625
,,,Jul 20 – Jul 26,733
,,,Jul 27 – Aug 2,851
,,,Aug 3 – Aug 9,805
,,,Aug 10 – Aug 16,896
,,,Aug 17 – Aug 23,974
,,,Aug 24 – Aug 30,1062
,,,Aug 31 – Sep 6,938
,,,Sep 7 – Sep 13,611
,,,Sep 14 – Sep 20,415
,,,Sep 21 – Sep 27,234
,,,Sep 28 – Sep 30,10 or fewer
,≥ 50 and < 65 Years,2024 – 2025,Dec 29 – Jan 4,99
,,2025,Jan 5 – Jan 11,92
,,,Jan 12 – Jan 18,92
,,,Jan 19 – Jan 25,109
,,,Jan 26 – Feb 1,105
,,,Feb 2 – Feb 8,96
,,,Feb 9 – Feb 15,76
,,,Feb 16 – Feb 22,82
,,,Feb 23 – Mar 1,76
,,,Mar 2 – Mar 8,61
,,,Mar 9 – Mar 15,72
,,,Mar 16 – Mar 22,62
,,,Mar 23 – Mar 29,60
,,,Mar 30 – Apr 5,57
,,,Apr 6 – Apr 12,52
,,,Apr 13 – Apr 19,51
,,,Apr 20 – Apr 26,57
,,,Apr 27 – May 3,57
,,,May 4 – May 10,56
,,,May 11 – May 17,59
,,,May 18 – May 24,69
,,,May 25 – May 31,88
,,,Jun 1 – Jun 7,79
,,,Jun 8 – Jun 14,132
,,,Jun 15 – Jun 21,139
,,,Jun 22 – Jun 28,160
,,,Jun 29 – Jul 5,181
,,,Jul 6 – Jul 12,195
,,,Jul 13 – Jul 19,224
,,,Jul 20 – Jul 26,277
,,,Jul 27 – Aug 2,286
,,,Aug 3 – Aug 9,284
,,,Aug 10 – Aug 16,288
,,,Aug 17 – Aug 23,301
,,,Aug 24 – Aug 30,385
,,,Aug 31 – Sep 6,330
,,,Sep 7 – Sep 13,212
,,,Sep 14 – Sep 20,169
,,,Sep 21 – Sep 27,102
,,,Sep 28 – Sep 30,10 or fewer
,65 Years or more,2024 – 2025,Dec 29 – Jan 4,320
,,2025,Jan 5 – Jan 11,281
,,,Jan 12 – Jan 18,256
,,,Jan 19 – Jan 25,254
,,,Jan 26 – Feb 1,220
,,,Feb 2 – Feb 8,241
,,,Feb 9 – Feb 15,204
,,,Feb 16 – Feb 22,171
,,,Feb 23 – Mar 1,188
,,,Mar 2 – Mar 8,184
,,,Mar 9 – Mar 15,184
,,,Mar 16 – Mar 22,202
,,,Mar 23 – Mar 29,178
,,,Mar 30 – Apr 5,141
,,,Apr 6 – Apr 12,128
,,,Apr 13 – Apr 19,131
,,,Apr 20 – Apr 26,137
,,,Apr 27 – May 3,115
,,,May 4 – May 10,118
,,,May 11 – May 17,130
,,,May 18 – May 24,168
,,,May 25 – May 31,179
,,,Jun 1 – Jun 7,183
,,,Jun 8 – Jun 14,219
,,,Jun 15 – Jun 21,252
,,,Jun 22 – Jun 28,306
,,,Jun 29 – Jul 5,356
,,,Jul 6 – Jul 12,436
,,,Jul 13 – Jul 19,426
,,,Jul 20 – Jul 26,461
,,,Jul 27 – Aug 2,544
,,,Aug 3 – Aug 9,593
,,,Aug 10 – Aug 16,661
,,,Aug 17 – Aug 23,636
,,,Aug 24 – Aug 30,674
,,,Aug 31 – Sep 6,661
,,,Sep 7 – Sep 13,517
,,,Sep 14 – Sep 20,376
,,,Sep 21 – Sep 27,182
,,,Sep 28 – Sep 30,10 or fewer
,No value,2024 – 2025,Dec 29 – Jan 4,10 or fewer
,,2025,Jan 5 – Jan 11,10 or fewer
,,,Jan 12 – Jan 18,10 or fewer
,,,Jan 19 – Jan 25,10 or fewer
,,,Jan 26 – Feb 1,10 or fewer
,,,Feb 2 – Feb 8,10 or fewer
,,,Feb 9 – Feb 15,10 or fewer
,,,Feb 16 – Feb 22,10 or fewer
,,,Feb 23 – Mar 1,10 or fewer
,,,Mar 2 – Mar 8,10 or fewer
,,,Mar 9 – Mar 15,10 or fewer
,,,Mar 16 – Mar 22,10 or fewer
,,,Mar 23 – Mar 29,10 or fewer
,,,Mar 30 – Apr 5,10 or fewer
,,,Apr 6 – Apr 12,10 or fewer
,,,Apr 13 – Apr 19,10 or fewer
,,,Apr 20 – Apr 26,10 or fewer
,,,Apr 27 – May 3,10 or fewer
,,,May 4 – May 10,10 or fewer
,,,May 11 – May 17,10 or fewer
,,,May 18 – May 24,10 or fewer
,,,May 25 – May 31,10 or fewer
,,,Jun 1 – Jun 7,10 or fewer
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,10 or fewer
,,,Aug 24 – Aug 30,10 or fewer
,,,Aug 31 – Sep 6,10 or fewer
,,,Sep 7 – Sep 13,10 or fewer
,,,Sep 14 – Sep 20,10 or fewer
,,,Sep 21 – Sep 27,10 or fewer
,,,Sep 28 – Sep 30,10 or fewer
,Total,2024 – 2025,Dec 29 – Jan 4,715
,,2025,Jan 5 – Jan 11,628
,,,Jan 12 – Jan 18,652
,,,Jan 19 – Jan 25,659
,,,Jan 26 – Feb 1,679
,,,Feb 2 – Feb 8,663
,,,Feb 9 – Feb 15,563
,,,Feb 16 – Feb 22,497
,,,Feb 23 – Mar 1,494
,,,Mar 2 – Mar 8,471
,,,Mar 9 – Mar 15,479
,,,Mar 16 – Mar 22,455
,,,Mar 23 – Mar 29,492
,,,Mar 30 – Apr 5,407
,,,Apr 6 – Apr 12,366
,,,Apr 13 – Apr 19,379
,,,Apr 20 – Apr 26,425
,,,Apr 27 – May 3,410
,,,May 4 – May 10,428
,,,May 11 – May 17,440
,,,May 18 – May 24,500
,,,May 25 – May 31,607
,,,Jun 1 – Jun 7,676
,,,Jun 8 – Jun 14,773
,,,Jun 15 – Jun 21,863
,,,Jun 22 – Jun 28,1067
,,,Jun 29 – Jul 5,1128
,,,Jul 6 – Jul 12,1518
,,,Jul 13 – Jul 19,1627
,,,Jul 20 – Jul 26,1941
,,,Jul 27 – Aug 2,2213
,,,Aug 3 – Aug 9,2217
,,,Aug 10 – Aug 16,2517
,,,Aug 17 – Aug 23,3011
,,,Aug 24 – Aug 30,3222
,,,Aug 31 – Sep 6,2591
,,,Sep 7 – Sep 13,1689
,,,Sep 14 – Sep 20,1213
,,,Sep 21 – Sep 27,645
,,,Sep 28 – Sep 30,10 or fewer
Texas,Less than 1 Years,2024 – 2025,Dec 29 – Jan 4,70
,,2025,Jan 5 – Jan 11,62
,,,Jan 12 – Jan 18,45
,,,Jan 19 – Jan 25,86
,,,Jan 26 – Feb 1,113
,,,Feb 2 – Feb 8,128
,,,Feb 9 – Feb 15,86
,,,Feb 16 – Feb 22,72
,,,Feb 23 – Mar 1,100
,,,Mar 2 – Mar 8,99
,,,Mar 9 – Mar 15,105
,,,Mar 16 – Mar 22,90
,,,Mar 23 – Mar 29,89
,,,Mar 30 – Apr 5,77
,,,Apr 6 – Apr 12,65
,,,Apr 13 – Apr 19,77
,,,Apr 20 – Apr 26,75
,,,Apr 27 – May 3,56
,,,May 4 – May 10,52
,,,May 11 – May 17,42
,,,May 18 – May 24,63
,,,May 25 – May 31,77
,,,Jun 1 – Jun 7,66
,,,Jun 8 – Jun 14,66
,,,Jun 15 – Jun 21,66
,,,Jun 22 – Jun 28,79
,,,Jun 29 – Jul 5,89
,,,Jul 6 – Jul 12,125
,,,Jul 13 – Jul 19,155
,,,Jul 20 – Jul 26,199
,,,Jul 27 – Aug 2,280
,,,Aug 3 – Aug 9,291
,,,Aug 10 – Aug 16,338
,,,Aug 17 – Aug 23,466
,,,Aug 24 – Aug 30,393
,,,Aug 31 – Sep 6,334
,,,Sep 7 – Sep 13,206
,,,Sep 14 – Sep 20,154
,,,Sep 21 – Sep 27,71
,,,Sep 28 – Sep 30,10 or fewer
,≥ 1 and < 5 Years,2024 – 2025,Dec 29 – Jan 4,48
,,2025,Jan 5 – Jan 11,44
,,,Jan 12 – Jan 18,50
