Session Title,HbA1c 7.5+ and HbA1c 7.0+ and HbA1c 6.5+ and Number of Patients by Age in Years (Current) Range and State of Residence (U.S.),,,,
Session ID,2748873,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,,
Session Date Range,1/1/2023 - 7/10/2025,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,8/11/2025,,,,
,,,,,
,,,,,
,Measures,HbA1c 7.5+ (%),HbA1c 7.0+ (%),HbA1c 6.5+ (%),Number of Patients
Age in Years (Current),State of Residence (U.S.),,,,
Less than 18,Federated States of Micronesia,-,-,-,10 or fewer
,Northern Mariana Islands,-,-,-,10 or fewer
,Marshall Islands,-,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,-,18
,Mississippi,0.342%,0.363%,0.41%,375375
,Indiana,0.171%,0.185%,0.208%,606154
,West Virginia,0.313%,0.333%,0.357%,206518
,Ohio,0.217%,0.23%,0.249%,1585556
,Kentucky,0.379%,0.404%,0.439%,549361
,South Carolina,0.349%,0.368%,0.401%,664834
,Alabama,0.18%,0.201%,0.231%,76729
,North Carolina,0.285%,0.304%,0.334%,1086165
,Maine,0.344%,0.362%,0.384%,127191
,Guam,-,-,-,80
,Illinois,0.253%,0.276%,0.308%,1149308
,Delaware,0.342%,0.36%,0.386%,145432
,Michigan,0.305%,0.331%,0.36%,953038
,Oklahoma,0.424%,0.48%,0.528%,304234
,Pennsylvania,0.17%,0.184%,0.204%,1097767
,Missouri,0.085%,0.098%,0.114%,176719
,Virginia,0.273%,0.294%,0.319%,791940
,Louisiana,0.228%,0.242%,0.271%,474224
,Virgin Islands,-,-,-,199
,Nebraska,0.135%,0.148%,0.162%,118327
,Kansas,0.191%,0.213%,0.235%,139299
,Maryland,0.275%,0.29%,0.314%,284869
,Iowa,0.349%,0.37%,0.392%,424678
,Arkansas,0.453%,0.481%,0.527%,314860
,Idaho,0.346%,0.369%,0.391%,214358
,North Dakota,0.268%,0.281%,0.291%,147992
,Wisconsin,0.266%,0.281%,0.305%,774926
,Tennessee,0.312%,0.343%,0.374%,265822
,Minnesota,0.228%,0.242%,0.261%,541400
,New York,0.233%,0.257%,0.29%,1042774
,New Jersey,0.265%,0.289%,0.323%,442202
,New Hampshire,0.434%,0.49%,0.529%,103026
,South Dakota,0.273%,0.3%,0.322%,112569
,Wyoming,0.326%,0.365%,0.403%,38669
,New Mexico,0.052%,0.059%,0.062%,30569
,Massachusetts,0.269%,0.327%,0.379%,602087
,Hawaii,0.226%,0.233%,0.257%,145862
,Connecticut,0.327%,0.345%,0.373%,480917
,Rhode Island,0.071%,0.118%,0.146%,32229
,Oregon,0.377%,0.402%,0.43%,436106
,Texas,0.227%,0.244%,0.265%,3047945
,Georgia,0.255%,0.268%,0.291%,954192
,Arizona,0.152%,0.165%,0.178%,271526
,Washington,0.145%,0.158%,0.175%,326553
,Vermont,0.429%,0.462%,0.487%,60389
,Florida,0.292%,0.314%,0.342%,1725272
,Puerto Rico,-,-,-,16186
,California,0.15%,0.164%,0.184%,1916274
,Alaska,-,-,-,2758
,Montana,0.207%,0.223%,0.239%,67761
,Colorado,0.236%,0.255%,0.282%,736336
,None of the above,0.179%,0.191%,0.207%,654530
,Total,0.253%,0.273%,0.299%,26844128
≥ 18 and < 25,Federated States of Micronesia,-,-,-,10 or fewer
,Northern Mariana Islands,-,-,-,10 or fewer
,Marshall Islands,-,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,-,12
,Mississippi,1.1%,1.2%,1.3%,163527
,Indiana,0.695%,0.765%,0.875%,266037
,West Virginia,0.942%,1%,1.1%,85626
,Ohio,0.723%,0.79%,0.898%,756961
,Kentucky,1.1%,1.2%,1.3%,224890
,South Carolina,1.1%,1.1%,1.3%,278481
,Alabama,0.948%,1.1%,1.2%,43756
,North Carolina,0.839%,0.906%,1%,509120
,Maine,0.935%,0.981%,1.1%,57202
,Guam,-,-,-,46
,Illinois,0.775%,0.85%,0.966%,548809
,Delaware,1%,1.1%,1.2%,48957
,Michigan,0.858%,0.933%,1.1%,451502
,Oklahoma,1%,1.1%,1.3%,111965
,Pennsylvania,0.597%,0.661%,0.752%,585974
,Missouri,0.645%,0.722%,0.82%,96732
,Virginia,0.782%,0.852%,0.955%,389415
