Session Title,"Opioid Overdoses in ED, AL-KS",,
Session Description,ED encountersAlabama-Kansas pts with ED diagnosis opioid overdose,,
Session ID,2731206,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: EDG ICD-10 OPIOID OVERDOSE,"State of Residence (U.S.): Alaska, Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas",
Session Date Range,1/1/2023 - 7/17/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/8/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,County of Residence,Age at Time of Visit,
Jan 1 – Dec 31 2023,"COOK, IL",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,472
,,≥ 45 and < 65 Years,518
,,65 Years or more,186
,,No value,10 or fewer
,,Total,1183
,"MARION, IN",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,563
,,≥ 45 and < 65 Years,234
,,65 Years or more,36
,,No value,10 or fewer
,,Total,843
,"DENVER, CO",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,444
,,≥ 45 and < 65 Years,128
,,65 Years or more,13
,,No value,10 or fewer
,,Total,594
,"NEW HAVEN, CT",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,338
,,≥ 45 and < 65 Years,265
,,65 Years or more,55
,,No value,10 or fewer
,,Total,660
,"SAN DIEGO, CA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,288
,,≥ 45 and < 65 Years,100
,,65 Years or more,46
,,No value,10 or fewer
,,Total,437
,"ORANGE, FL",Less than 18 Years,12
,,≥ 18 and < 45 Years,350
,,≥ 45 and < 65 Years,183
,,65 Years or more,30
,,No value,10 or fewer
,,Total,575
,"MARICOPA, AZ",Less than 18 Years,11
,,≥ 18 and < 45 Years,258
,,≥ 45 and < 65 Years,61
,,65 Years or more,25
,,No value,10 or fewer
,,Total,355
