Session Title,"Opioid Overdoses in ED, ND-VA",,
Session Description,ED encountersND-VA by countycount pts with ED diagnosis opioid overdose,,
Session ID,2748528,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: EDG ICD-10 OPIOID OVERDOSE,State of Residence (U.S.): ND-VA,
Session Date Range,1/1/2023 - 7/17/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/8/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,County of Residence,Age at Time of Visit,
Jan 1 – Dec 31 2023,"PHILADELPHIA, PA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,500
,,≥ 45 and < 65 Years,348
,,65 Years or more,82
,,No value,10 or fewer
,,Total,934
,"FRANKLIN, OH",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,577
,,≥ 45 and < 65 Years,228
,,65 Years or more,53
,,No value,10 or fewer
,,Total,860
,"MULTNOMAH, OR",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,408
,,≥ 45 and < 65 Years,136
,,65 Years or more,29
,,No value,10 or fewer
,,Total,581
,"CUYAHOGA, OH",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,301
,,≥ 45 and < 65 Years,164
,,65 Years or more,43
,,No value,10 or fewer
,,Total,514
,"TARRANT, TX",Less than 18 Years,34
,,≥ 18 and < 45 Years,277
,,≥ 45 and < 65 Years,103
,,65 Years or more,49
,,No value,10 or fewer
,,Total,463
,"DALLAS, TX",Less than 18 Years,30
,,≥ 18 and < 45 Years,303
,,≥ 45 and < 65 Years,78
,,65 Years or more,42
,,No value,10 or fewer
,,Total,453
,"HAMILTON, OH",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,301
,,≥ 45 and < 65 Years,155
,,65 Years or more,40
,,No value,10 or fewer
,,Total,496
,"TULSA, OK",Less than 18 Years,11
,,≥ 18 and < 45 Years,290
,,≥ 45 and < 65 Years,80
,,65 Years or more,24
,,No value,10 or fewer
,,Total,405
,"MONTGOMERY, OH",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,227
,,≥ 45 and < 65 Years,110
,,65 Years or more,18
,,No value,10 or fewer
,,Total,360
,"ALLEGHENY, PA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,130
,,≥ 45 and < 65 Years,78
,,65 Years or more,20
,,No value,10 or fewer
,,Total,229
