Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768312,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2023 - 3/31/2024 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
2023,Jan,Florida,Less than 15 Years,10 or fewer,60473,60475
,,,≥ 15 and < 25 Years,26,37588,37614
,,,≥ 25 and < 45 Years,193,83997,84190
,,,≥ 45 and < 65 Years,116,73482,73598
,,,65 Years or more,42,78856,78898
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,379,334396,334775
,,Ohio,Less than 15 Years,10 or fewer,37548,37551
,,,≥ 15 and < 25 Years,19,37126,37145
,,,≥ 25 and < 45 Years,255,85598,85853
,,,≥ 45 and < 65 Years,109,74725,74834
,,,65 Years or more,26,74160,74186
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,412,309158,309570
,,Texas,Less than 15 Years,10 or fewer,55685,55686
,,,≥ 15 and < 25 Years,28,34784,34812
,,,≥ 25 and < 45 Years,63,73966,74029
,,,≥ 45 and < 65 Years,27,65724,65751
,,,65 Years or more,17,63036,63053
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,136,293198,293334
,,Pennsylvania,Less than 15 Years,10 or fewer,25375,25378
,,,≥ 15 and < 25 Years,10 or fewer,23077,23087
,,,≥ 25 and < 45 Years,135,55673,55808
,,,≥ 45 and < 65 Years,67,52351,52418
,,,65 Years or more,16,59809,59825
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,231,216287,216518
,,North Carolina,Less than 15 Years,10 or fewer,25487,25489
,,,≥ 15 and < 25 Years,33,21633,21666
,,,≥ 25 and < 45 Years,134,50080,50214
,,,≥ 45 and < 65 Years,62,44540,44602
,,,65 Years or more,20,46187,46207
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,251,187929,188180
,,Virginia,Less than 15 Years,10 or fewer,22809,22810
,,,≥ 15 and < 25 Years,25,20374,20399
,,,≥ 25 and < 45 Years,84,48468,48552
,,,≥ 45 and < 65 Years,84,43009,43093
,,,65 Years or more,31,43847,43878
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,225,178508,178733
,,New York,Less than 15 Years,10 or fewer,20891,20891
,,,≥ 15 and < 25 Years,10 or fewer,19918,19927
,,,≥ 25 and < 45 Years,98,47592,47690
,,,≥ 45 and < 65 Years,59,43159,43218
,,,65 Years or more,20,45722,45742
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,186,177283,177469
,,Illinois,Less than 15 Years,10 or fewer,23332,23332
,,,≥ 15 and < 25 Years,10 or fewer,17407,17417
,,,≥ 25 and < 45 Years,48,36170,36218
,,,≥ 45 and < 65 Years,60,33292,33352
,,,65 Years or more,24,38992,39016
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,142,149193,149335
,,Michigan,Less than 15 Years,10 or fewer,15686,15688
,,,≥ 15 and < 25 Years,10 or fewer,15484,15492
,,,≥ 25 and < 45 Years,66,35453,35519
,,,≥ 45 and < 65 Years,44,32700,32744
,,,65 Years or more,19,35319,35338
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,139,134642,134781
,,California,Less than 15 Years,10 or fewer,17276,17278
,,,≥ 15 and < 25 Years,20,13308,13328
,,,≥ 25 and < 45 Years,77,32811,32888
,,,≥ 45 and < 65 Years,29,28867,28896
,,,65 Years or more,13,28436,28449
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,141,120705,120846
,,Georgia,Less than 15 Years,10 or fewer,27026,27027
,,,≥ 15 and < 25 Years,10 or fewer,14848,14856
,,,≥ 25 and < 45 Years,70,32561,32631
,,,≥ 45 and < 65 Years,36,29466,29502
,,,65 Years or more,11,24995,25006
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,126,128896,129022
,,South Carolina,Less than 15 Years,10 or fewer,16916,16917
,,,≥ 15 and < 25 Years,18,13871,13889
,,,≥ 25 and < 45 Years,94,32209,32303
,,,≥ 45 and < 65 Years,60,29717,29777
,,,65 Years or more,20,29535,29555
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,193,122250,122443
,,New Jersey,Less than 15 Years,10 or fewer,10563,10563
,,,≥ 15 and < 25 Years,10 or fewer,8270,8277
,,,≥ 25 and < 45 Years,40,18787,18827
,,,≥ 45 and < 65 Years,33,17737,17770
,,,65 Years or more,10 or fewer,18956,18962
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,86,74313,74399
