Session Title,Falls in AL-KS,,
Session Description,county level by year,,
Session ID,2748495,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): StateGroupA,ED Diagnoses: Fall,
Session Date Range,1/1/2023 - 7/10/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/8/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,County of Residence,Age at Time of Visit,
Jan 1 – Dec 31 2023,"COOK, IL",Less than 65 Years,6242
,,65 Years or more,10697
,,No value,10 or fewer
,,Total,16939
,"SAN DIEGO, CA",Less than 65 Years,3817
,,65 Years or more,9341
,,No value,10 or fewer
,,Total,13158
,"ORANGE, FL",Less than 65 Years,6203
,,65 Years or more,7344
,,No value,10 or fewer
,,Total,13547
,"LEE, FL",Less than 65 Years,3706
,,65 Years or more,8124
,,No value,10 or fewer
,,Total,11830
,"DUVAL, FL",Less than 65 Years,4590
,,65 Years or more,4892
,,No value,10 or fewer
,,Total,9482
,"MARICOPA, AZ",Less than 65 Years,3025
,,65 Years or more,6229
,,No value,10 or fewer
,,Total,9254
,"HONOLULU, HI",Less than 65 Years,3378
,,65 Years or more,4840
,,No value,10 or fewer
,,Total,8218
,"BROWARD, FL",Less than 65 Years,2995
,,65 Years or more,4813
,,No value,10 or fewer
,,Total,7808
,"NEW HAVEN, CT",Less than 65 Years,2582
,,65 Years or more,4792
,,No value,10 or fewer
,,Total,7374
,"VOLUSIA, FL",Less than 65 Years,2302
,,65 Years or more,5017
,,No value,10 or fewer
,,Total,7319
,"FRESNO, CA",Less than 65 Years,3042
,,65 Years or more,3208
,,No value,10 or fewer
,,Total,6250
,"HILLSBOROUGH, FL",Less than 65 Years,3117
,,65 Years or more,3561
,,No value,10 or fewer
,,Total,6678
,"EL PASO, CO",Less than 65 Years,3500
,,65 Years or more,3368
,,No value,10 or fewer
,,Total,6868
,"LAKE, FL",Less than 65 Years,1748
,,65 Years or more,4702
,,No value,10 or fewer
,,Total,6450
,"HARTFORD, CT",Less than 65 Years,2134
,,65 Years or more,3603
,,No value,10 or fewer
,,Total,5737
,"ADA, ID",Less than 65 Years,1913
,,65 Years or more,3654
,,No value,10 or fewer
,,Total,5567
,"COBB, GA",Less than 65 Years,2168
,,65 Years or more,3274
,,No value,10 or fewer
,,Total,5442
,"RIVERSIDE, CA",Less than 65 Years,1965
,,65 Years or more,3276
,,No value,10 or fewer
,,Total,5241
,"SEMINOLE, FL",Less than 65 Years,1612
,,65 Years or more,3008
,,No value,10 or fewer
,,Total,4620
,"FULTON, GA",Less than 65 Years,1828
,,65 Years or more,2165
,,No value,10 or fewer
,,Total,3993
,"FAIRFIELD, CT",Less than 65 Years,1420
,,65 Years or more,2659
,,No value,10 or fewer
,,Total,4079
,"MARION, IN",Less than 65 Years,1950
,,65 Years or more,2040
,,No value,10 or fewer
,,Total,3990
,"PULASKI, AR",Less than 65 Years,1858
,,65 Years or more,2182
,,No value,10 or fewer
,,Total,4040
,"ALLEN, IN",Less than 65 Years,1551
,,65 Years or more,2095
,,No value,10 or fewer
,,Total,3646
,"OSCEOLA, FL",Less than 65 Years,2000
,,65 Years or more,1504
,,No value,10 or fewer
,,Total,3504
,"HALL, GA",Less than 65 Years,1404
,,65 Years or more,2053
,,No value,10 or fewer
,,Total,3457
,"PASCO, FL",Less than 65 Years,1168
,,65 Years or more,2101
,,No value,10 or fewer
,,Total,3269
,"DEKALB, GA",Less than 65 Years,1612
,,65 Years or more,1635
,,No value,10 or fewer
,,Total,3247
,"SAN BERNARDINO, CA",Less than 65 Years,1693
,,65 Years or more,1467
,,No value,10 or fewer
,,Total,3160
,"JOHNSON, KS",Less than 65 Years,745
,,65 Years or more,2303
,,No value,10 or fewer
,,Total,3048
,"DENVER, CO",Less than 65 Years,1795
,,65 Years or more,1129
,,No value,10 or fewer
,,Total,2924
,"PINELLAS, FL",Less than 65 Years,1175
,,65 Years or more,2148
,,No value,10 or fewer
,,Total,3323
,"POLK, IA",Less than 65 Years,1558
,,65 Years or more,1573
,,No value,10 or fewer
,,Total,3131
,"MARION, FL",Less than 65 Years,1312
,,65 Years or more,1466
,,No value,10 or fewer
,,Total,2778
,"NEW LONDON, CT",Less than 65 Years,1031
,,65 Years or more,1984
,,No value,10 or fewer
,,Total,3015
,"LAKE, IL",Less than 65 Years,636
,,65 Years or more,2100
,,No value,10 or fewer
,,Total,2736
,"LINN, IA",Less than 65 Years,1122
,,65 Years or more,1804
,,No value,10 or fewer
,,Total,2926
,"COLLIER, FL",Less than 65 Years,859
,,65 Years or more,1987
,,No value,10 or fewer
,,Total,2846
,"POLK, FL",Less than 65 Years,1178
,,65 Years or more,1337
,,No value,10 or fewer
,,Total,2515
,"WINNEBAGO, IL",Less than 65 Years,1077
