Session Title,Falls in ND-VA,,
Session Description,county level by year,,
Session ID,2748483,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): ND-VA,ED Diagnoses: Fall,
Session Date Range,1/1/2023 - 7/17/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/8/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,County of Residence,Age at Time of Visit,
Jan 1 – Dec 31 2023,"CUYAHOGA, OH",Less than 65 Years,9181
,,65 Years or more,9408
,,No value,10 or fewer
,,Total,18589
,"TARRANT, TX",Less than 65 Years,9996
,,65 Years or more,10822
,,No value,10 or fewer
,,Total,20818
,"FRANKLIN, OH",Less than 65 Years,7235
,,65 Years or more,9486
,,No value,10 or fewer
,,Total,16721
,"DALLAS, TX",Less than 65 Years,7208
,,65 Years or more,8669
,,No value,10 or fewer
,,Total,15877
,"HARRIS, TX",Less than 65 Years,4074
,,65 Years or more,4555
,,No value,10 or fewer
,,Total,8629
,"PHILADELPHIA, PA",Less than 65 Years,5613
,,65 Years or more,5438
,,No value,10 or fewer
,,Total,11052
,"HAMILTON, OH",Less than 65 Years,3922
,,65 Years or more,7265
,,No value,10 or fewer
,,Total,11187
,"MONTGOMERY, OH",Less than 65 Years,4260
,,65 Years or more,6316
,,No value,10 or fewer
,,Total,10576
,"LEHIGH, PA",Less than 65 Years,2919
,,65 Years or more,4595
,,No value,10 or fewer
,,Total,7514
,"NORTHAMPTON, PA",Less than 65 Years,2346
,,65 Years or more,4347
,,No value,10 or fewer
,,Total,6693
,"TULSA, OK",Less than 65 Years,2382
,,65 Years or more,4296
,,No value,10 or fewer
,,Total,6678
,"GREENVILLE, SC",Less than 65 Years,2117
,,65 Years or more,3496
,,No value,10 or fewer
,,Total,5613
,"YORK, PA",Less than 65 Years,1869
,,65 Years or more,3823
,,No value,10 or fewer
,,Total,5692
,"SPARTANBURG, SC",Less than 65 Years,2172
,,65 Years or more,3373
,,No value,10 or fewer
,,Total,5545
,"ALLEGHENY, PA",Less than 65 Years,1564
,,65 Years or more,3438
,,No value,10 or fewer
,,Total,5002
,"SUMMIT, OH",Less than 65 Years,1499
,,65 Years or more,3214
,,No value,10 or fewer
,,Total,4713
,"VIRGINIA BEACH CITY, VA",Less than 65 Years,1770
,,65 Years or more,3840
,,No value,10 or fewer
,,Total,5610
,"BUTLER, OH",Less than 65 Years,1935
,,65 Years or more,3374
,,No value,10 or fewer
,,Total,5309
,"FAIRFAX, VA",Less than 65 Years,1768
,,65 Years or more,3109
,,No value,10 or fewer
,,Total,4877
,"MONTGOMERY, PA",Less than 65 Years,1226
,,65 Years or more,3551
,,No value,10 or fewer
,,Total,4777
,"LORAIN, OH",Less than 65 Years,1794
,,65 Years or more,2454
,,No value,10 or fewer
,,Total,4248
,"SHELBY, TN",Less than 65 Years,1252
,,65 Years or more,1744
,,No value,10 or fewer
,,Total,2996
,"COLLIN, TX",Less than 65 Years,1566
,,65 Years or more,2946
,,No value,10 or fewer
,,Total,4512
,"CHESTER, PA",Less than 65 Years,1191
,,65 Years or more,3189
,,No value,10 or fewer
,,Total,4380
,"DELAWARE, PA",Less than 65 Years,1324
,,65 Years or more,2927
,,No value,10 or fewer
,,Total,4251
,"BUCKS, PA",Less than 65 Years,1139
,,65 Years or more,3000
,,No value,10 or fewer
,,Total,4139
,"CHARLESTON, SC",Less than 65 Years,1378
,,65 Years or more,2627
,,No value,10 or fewer
,,Total,4005
,"LUCAS, OH",Less than 65 Years,1867
,,65 Years or more,2017
,,No value,10 or fewer
,,Total,3884
,"LANCASTER, PA",Less than 65 Years,1081
,,65 Years or more,2562
,,No value,10 or fewer
,,Total,3643
,"DENTON, TX",Less than 65 Years,1362
,,65 Years or more,2228
,,No value,10 or fewer
,,Total,3590
