Session Title,Falls in WA-WY,,
Session ID,2748285,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): Washington, West Virginia, Wisconsin, Wyoming",ED Diagnoses: Fall,
Session Date Range,1/1/2023 - 7/10/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/8/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,County of Residence,Age at Time of Visit,
Jan 1 – Dec 31 2023,"MILWAUKEE, WI",Less than 18 Years,643
,,≥ 18 and < 25 Years,131
,,≥ 25 and < 35 Years,236
,,≥ 35 and < 45 Years,267
,,≥ 45 and < 55 Years,387
,,≥ 55 and < 65 Years,738
,,65 Years or more,2611
,,No value,10 or fewer
,,Total,5013
,"KING, WA",Less than 18 Years,238
,,≥ 18 and < 25 Years,75
,,≥ 25 and < 35 Years,127
,,≥ 35 and < 45 Years,148
,,≥ 45 and < 55 Years,225
,,≥ 55 and < 65 Years,451
,,65 Years or more,3141
,,No value,10 or fewer
,,Total,4405
,"DANE, WI",Less than 18 Years,234
,,≥ 18 and < 25 Years,59
,,≥ 25 and < 35 Years,80
,,≥ 35 and < 45 Years,104
,,≥ 45 and < 55 Years,140
,,≥ 55 and < 65 Years,333
,,65 Years or more,1952
,,No value,10 or fewer
,,Total,2902
,"BROWN, WI",Less than 18 Years,207
,,≥ 18 and < 25 Years,32
,,≥ 25 and < 35 Years,81
,,≥ 35 and < 45 Years,91
,,≥ 45 and < 55 Years,122
,,≥ 55 and < 65 Years,224
,,65 Years or more,1105
,,No value,10 or fewer
,,Total,1862
,"CLARK, WA",Less than 18 Years,236
,,≥ 18 and < 25 Years,42
,,≥ 25 and < 35 Years,62
,,≥ 35 and < 45 Years,71
,,≥ 45 and < 55 Years,115
,,≥ 55 and < 65 Years,204
,,65 Years or more,1013
,,No value,10 or fewer
,,Total,1743
,"BERKELEY, WV",Less than 18 Years,159
,,≥ 18 and < 25 Years,28
,,≥ 25 and < 35 Years,43
,,≥ 35 and < 45 Years,75
,,≥ 45 and < 55 Years,122
,,≥ 55 and < 65 Years,170
,,65 Years or more,758
,,No value,10 or fewer
,,Total,1355
,"SHEBOYGAN, WI",Less than 18 Years,117
,,≥ 18 and < 25 Years,22
,,≥ 25 and < 35 Years,27
,,≥ 35 and < 45 Years,78
,,≥ 45 and < 55 Years,82
,,≥ 55 and < 65 Years,197
,,65 Years or more,902
,,No value,10 or fewer
,,Total,1425
,"SNOHOMISH, WA",Less than 18 Years,136
,,≥ 18 and < 25 Years,35
,,≥ 25 and < 35 Years,56
,,≥ 35 and < 45 Years,78
,,≥ 45 and < 55 Years,90
,,≥ 55 and < 65 Years,152
,,65 Years or more,928
,,No value,10 or fewer
,,Total,1475
,"HARRISON, WV",Less than 18 Years,100
,,≥ 18 and < 25 Years,32
,,≥ 25 and < 35 Years,37
,,≥ 35 and < 45 Years,59
,,≥ 45 and < 55 Years,92
,,≥ 55 and < 65 Years,152
,,65 Years or more,848
,,No value,10 or fewer
,,Total,1320
,"RACINE, WI",Less than 18 Years,91
,,≥ 18 and < 25 Years,21
,,≥ 25 and < 35 Years,30
,,≥ 35 and < 45 Years,51
,,≥ 45 and < 55 Years,63
