Session Title,Number of Patients by Diagnosis (Encounter) and State of Residence (U.S.) and Age at Encounter in Years Range,,,,,
Session ID,2770886,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2023 - 12/31/2023,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/29/2025,,,,,
,,,,,,
,,,,,,
,,,Diagnosis (Encounter),Heat,None of the above,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,
Florida,Less than 15 Years,2023,Jan,10 or fewer,54971,54975
,,,Feb,10 or fewer,55715,55722
,,,Mar,10 or fewer,58741,58751
,,,Apr,10 or fewer,57582,57591
,,,May,20,59118,59138
,,,Jun,24,45368,45392
,,,Jul,31,42595,42626
,,,Aug,49,50589,50638
,,,Sep,16,57600,57616
,,,Oct,13,68245,68258
,,,Nov,10 or fewer,64124,64124
,,,Dec,10 or fewer,60768,60770
,≥ 15 and < 25 Years,2023,Jan,10 or fewer,33488,33492
,,,Feb,10 or fewer,30787,30796
,,,Mar,24,33432,33456
,,,Apr,22,32498,32520
,,,May,24,33488,33512
,,,Jun,43,31151,31194
,,,Jul,105,32290,32395
,,,Aug,124,33895,34019
,,,Sep,47,34529,34576
,,,Oct,21,35860,35881
,,,Nov,11,34386,34397
,,,Dec,10 or fewer,33965,33969
,≥ 25 and < 45 Years,2023,Jan,10 or fewer,72603,72612
,,,Feb,10 or fewer,65886,65894
,,,Mar,30,73446,73476
,,,Apr,38,71582,71620
,,,May,53,76087,76140
,,,Jun,104,73593,73697
,,,Jul,312,75700,76012
,,,Aug,262,77428,77690
,,,Sep,90,74240,74330
,,,Oct,19,75985,76004
,,,Nov,10 or fewer,74235,74241
,,,Dec,10 or fewer,77173,77181
,≥ 45 and < 65 Years,2023,Jan,10 or fewer,61905,61914
,,,Feb,10 or fewer,55366,55375
,,,Mar,22,60664,60686
,,,Apr,28,59366,59394
,,,May,34,63457,63491
,,,Jun,128,61531,61659
,,,Jul,212,64440,64652
,,,Aug,238,65303,65541
,,,Sep,65,63106,63171
,,,Oct,13,63535,63548
,,,Nov,10 or fewer,61266,61276
,,,Dec,10 or fewer,64786,64789
,65 Years or more,2023,Jan,11,66140,66151
,,,Feb,14,58294,58308
,,,Mar,21,63724,63745
,,,Apr,32,61343,61375
,,,May,45,66624,66669
,,,Jun,66,64847,64913
,,,Jul,166,67083,67249
,,,Aug,188,68921,69109
,,,Sep,61,66599,66660
,,,Oct,22,68300,68322
,,,Nov,16,67985,68001
,,,Dec,13,73823,73836
,No value,2023,Jan,10 or fewer,9103,9103
,,,Feb,10 or fewer,9590,9590
,,,Mar,10 or fewer,9210,9210
,,,Apr,10 or fewer,8629,8629
,,,May,10 or fewer,8910,8911
,,,Jun,10 or fewer,9017,9017
,,,Jul,10 or fewer,8598,8598
,,,Aug,10 or fewer,8972,8973
,,,Sep,10 or fewer,8662,8663
,,,Oct,10 or fewer,8549,8549
,,,Nov,10 or fewer,9075,9075
