Session Title,Firearm injury in ED by state and BRFSS Age,,,,
Session ID,2770964,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 12/31/2023 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/29/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,Firearm Injury,None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
2023,Jan,Florida,Less than 18 Years,10 or fewer,70075
,,,≥ 18 and < 25 Years,38,27968
,,,≥ 25 and < 35 Years,36,44314
,,,≥ 35 and < 45 Years,20,39820
,,,≥ 45 and < 55 Years,10 or fewer,35393
,,,≥ 55 and < 65 Years,12,38183
,,,65 Years or more,10 or fewer,78893
,,,No value,10 or fewer,10 or fewer
,,,Total,129,334646
,,Ohio,Less than 18 Years,24,45474
,,,≥ 18 and < 25 Years,60,29138
,,,≥ 25 and < 35 Years,53,44189
,,,≥ 35 and < 45 Years,21,41590
,,,≥ 45 and < 55 Years,18,36535
,,,≥ 55 and < 65 Years,10 or fewer,38273
,,,65 Years or more,10 or fewer,74180
,,,No value,10 or fewer,10 or fewer
,,,Total,190,309380
,,Texas,Less than 18 Years,21,65151
,,,≥ 18 and < 25 Years,44,25282
,,,≥ 25 and < 35 Years,39,39001
,,,≥ 35 and < 45 Years,26,34963
,,,≥ 45 and < 55 Years,17,32625
,,,≥ 55 and < 65 Years,10 or fewer,33099
,,,65 Years or more,10 or fewer,63052
,,,No value,10 or fewer,10 or fewer
,,,Total,158,293176
,,Pennsylvania,Less than 18 Years,10 or fewer,30279
,,,≥ 18 and < 25 Years,28,18150
,,,≥ 25 and < 35 Years,20,28957
,,,≥ 35 and < 45 Years,17,26814
,,,≥ 45 and < 55 Years,10 or fewer,24380
,,,≥ 55 and < 65 Years,10 or fewer,28028
,,,65 Years or more,10 or fewer,59820
,,,No value,10 or fewer,10 or fewer
,,,Total,88,216430
,,North Carolina,Less than 18 Years,19,30423
,,,≥ 18 and < 25 Years,36,16677
,,,≥ 25 and < 35 Years,33,26791
,,,≥ 35 and < 45 Years,20,23370
,,,≥ 45 and < 55 Years,10 or fewer,21667
,,,≥ 55 and < 65 Years,10 or fewer,22922
