Session Title,Number of Patients by Diagnosis (Encounter) and State of Residence (U.S.) and Age at Encounter in Years Range,,,,,
Session ID,2773512,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2024 - 12/31/2024,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,11/5/2025,,,,,
,,,,,,
,,,,,,
,,,Diagnosis (Encounter),firearms initial,None of the above,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,
Texas,Less than 15 Years,2024,Jan,10 or fewer,59467,59470
,,,Feb,10 or fewer,61178,61185
,,,Mar,10 or fewer,57121,57124
,,,Apr,10 or fewer,58742,58750
,,,May,11,60490,60501
,,,Jun,11,50570,50581
,,,Jul,10 or fewer,47811,47818
,,,Aug,10 or fewer,55796,55801
,,,Sep,10 or fewer,62501,62509
,,,Oct,10 or fewer,74833,74842
,,,Nov,12,76933,76945
,,,Dec,15,79130,79145
,≥ 15 and < 25 Years,2024,Jan,65,33991,34056
,,,Feb,56,33112,33168
,,,Mar,80,32776,32856
,,,Apr,75,33930,34005
,,,May,61,34376,34437
,,,Jun,77,33066,33143
,,,Jul,76,33884,33960
,,,Aug,72,35795,35867
,,,Sep,56,36339,36395
,,,Oct,90,42658,42748
,,,Nov,85,40494,40579
,,,Dec,90,41800,41890
,≥ 25 and < 45 Years,2024,Jan,76,72491,72567
,,,Feb,71,68045,68116
,,,Mar,66,68764,68830
,,,Apr,87,69821,69908
,,,May,97,73024,73121
,,,Jun,83,72268,72351
,,,Jul,75,75746,75821
,,,Aug,86,76635,76721
,,,Sep,65,73566,73631
,,,Oct,107,88181,88288
,,,Nov,88,83581,83669
,,,Dec,88,89478,89566
,≥ 45 and < 65 Years,2024,Jan,17,59826,59843
,,,Feb,17,56410,56427
,,,Mar,15,58563,58578
,,,Apr,21,58214,58235
,,,May,21,60605,60626
,,,Jun,26,60526,60552
,,,Jul,22,63175,63197
,,,Aug,25,64223,64248
,,,Sep,24,61353,61377
,,,Oct,33,71579,71612
,,,Nov,29,68805,68834
,,,Dec,27,74035,74062
,65 Years or more,2024,Jan,10 or fewer,60315,60323
,,,Feb,10 or fewer,56198,56208
,,,Mar,11,58315,58326
,,,Apr,10 or fewer,58302,58312
,,,May,10 or fewer,60700,60708
,,,Jun,10 or fewer,59697,59707
,,,Jul,10 or fewer,63142,63148
,,,Aug,10 or fewer,63047,63054
,,,Sep,10 or fewer,60449,60458
,,,Oct,12,71170,71182
,,,Nov,10 or fewer,70002,70010
,,,Dec,13,78296,78309
,No value,2024,Jan,10 or fewer,8695,8705
,,,Feb,10 or fewer,9597,9599
,,,Mar,10 or fewer,8581,8588
