Session Title,Drowning in ED by state and BRFSS Age,,
Session ID,2748876,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: Drowning,,
Session Date Range,1/1/2023 - 7/10/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/11/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,State of Residence (U.S.),Age at Time of Visit,
Jan 1 – Dec 31 2023,Ohio,Less than 18 Years,117
,,≥ 18 and < 25 Years,14
,,≥ 25 and < 35 Years,14
,,≥ 35 and < 45 Years,13
,,≥ 45 and < 55 Years,15
,,≥ 55 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,192
,Texas,Less than 18 Years,386
,,≥ 18 and < 25 Years,18
,,≥ 25 and < 35 Years,21
,,≥ 35 and < 45 Years,16
,,≥ 45 and < 55 Years,10 or fewer
,,≥ 55 and < 65 Years,10 or fewer
,,65 Years or more,14
,,No value,10 or fewer
,,Total,466
,North Carolina,Less than 18 Years,93
,,≥ 18 and < 25 Years,10 or fewer
,,≥ 25 and < 35 Years,12
,,≥ 35 and < 45 Years,10 or fewer
,,≥ 45 and < 55 Years,10 or fewer
,,≥ 55 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,133
,Florida,Less than 18 Years,402
,,≥ 18 and < 25 Years,23
,,≥ 25 and < 35 Years,20
,,≥ 35 and < 45 Years,17
,,≥ 45 and < 55 Years,10 or fewer
,,≥ 55 and < 65 Years,19
,,65 Years or more,27
,,No value,10 or fewer
,,Total,518
,Mississippi,Less than 18 Years,57
,,≥ 18 and < 25 Years,10 or fewer
,,≥ 25 and < 35 Years,10 or fewer
,,≥ 35 and < 45 Years,10 or fewer
,,≥ 45 and < 55 Years,10 or fewer
,,≥ 55 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,70
,South Carolina,Less than 18 Years,99
,,≥ 18 and < 25 Years,10 or fewer
,,≥ 25 and < 35 Years,10 or fewer
,,≥ 35 and < 45 Years,10 or fewer
,,≥ 45 and < 55 Years,10 or fewer
,,≥ 55 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,120
,Louisiana,Less than 18 Years,93
,,≥ 18 and < 25 Years,10 or fewer
,,≥ 25 and < 35 Years,10 or fewer
,,≥ 35 and < 45 Years,10 or fewer
,,≥ 45 and < 55 Years,10 or fewer
,,≥ 55 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,113
,Pennsylvania,Less than 18 Years,105
,,≥ 18 and < 25 Years,10 or fewer
,,≥ 25 and < 35 Years,10 or fewer
