Accidental discharge of other larger firearm  initial encounter( ICD-10-CM: W33.09XA )
Accidental malfunction of other larger firearm  initial encounter( ICD-10-CM: W33.19XA )
Accidental discharge from other specified firearms  initial encounter( ICD-10-CM: W34.09XA )
Accidental discharge of unspecified larger firearm  initial encounter( ICD-10-CM: W33.00XA )
Accidental malfunction from other specified firearms  initial encounter( ICD-10-CM: W34.19XA )
Accidental malfunction of unspecified larger firearm  initial encounter( ICD-10-CM: W33.10XA )
Assault by other firearm discharge  initial encounter( ICD-10-CM: X95.8XXA )
Assault by other larger firearm discharge  initial encounter( ICD-10-CM: X94.8XXA )
Assault by unspecified firearm discharge  initial encounter( ICD-10-CM: X95.9XXA )
Other firearm discharge  undetermined intent  initial encounter( ICD-10-CM: Y24.8XXA )
Assault by unspecified larger firearm discharge  initial encounter( ICD-10-CM: X94.9XXA )
Intentional self-harm by other firearm discharge  initial encounter( ICD-10-CM: X74.8XXA )
Military firearm discharge  undetermined intent  initial encounter( ICD-10-CM: Y23.2XXA )
Unspecified firearm discharge  undetermined intent  initial encounter( ICD-10-CM: Y24.9XXA )
Intentional self-harm by unspecified firearm discharge  initial encounter( ICD-10-CM: X74.9XXA )
Other larger firearm discharge  undetermined intent  initial encounter( ICD-10-CM: Y23.8XXA )
Intentional self-harm by other larger firearm discharge  initial encounter( ICD-10-CM: X73.8XXA )
Unspecified larger firearm discharge  undetermined intent  initial encounter( ICD-10-CM: Y23.9XXA )
Intentional self-harm by unspecified larger firearm discharge  initial encounter( ICD-10-CM: X73.9XXA )
Legal intervention involving other firearm discharge  bystander injured  initial encounter( ICD-10-CM: Y35.092A )
Legal intervention involving other firearm discharge  suspect injured  initial encounter( ICD-10-CM: Y35.093A )
Legal intervention involving unspecified firearm discharge  bystander injured  initial encounter( ICD-10-CM: Y35.002A )
Legal intervention involving unspecified firearm discharge  suspect injured  initial encounter( ICD-10-CM: Y35.003A )
Legal intervention involving other firearm discharge  unspecified person injured  initial encounter( ICD-10-CM: Y35.099A )
Legal intervention involving other firearm discharge  law enforcement official injured  initial encounter( ICD-10-CM: Y35.091A )
Legal intervention involving unspecified firearm discharge  law enforcement official injured  initial encounter( ICD-10-CM: Y35.001A )
Legal intervention involving unspecified firearm discharge  unspecified person injured  initial encounter( ICD-10-CM: Y35.009A )
Accidental discharge from unspecified firearms or gun  initial encounter( ICD-10-CM: W34.00XA )
Accidental malfunction from unspecified firearms or gun  initial encounter( ICD-10-CM: W34.10XA )
Military operations involving firearms pellets  civilian  initial encounter( ICD-10-CM: Y37.421A )
War operations involving firearms pellets  military personnel  initial encounter( ICD-10-CM: Y36.420A )
Military operations involving firearms pellets  military personnel  initial encounter( ICD-10-CM: Y37.420A )
War operations involving other firearms discharge  military personnel  initial encounter( ICD-10-CM: Y36.430A )
Military operations involving other firearms discharge  military personnel  initial encounter( ICD-10-CM: Y37.430A )

