geography,time,genus,species,serotype,meat_source,antimicrobial,pct_resistant,n_resistant,n_tested,mic50,mic90
09,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Ciprofloxacin,13.636363636363635,3,22,0.25,14.450000000000033
13,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Ciprofloxacin,18.181818181818183,4,22,0.25,14.500000000000032
24,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Ciprofloxacin,70,7,10,1,17.599999999999994
27,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Ciprofloxacin,0,0,14,0.125,0.125
47,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Ciprofloxacin,9.090909090909092,2,22,0.25,0.5
09,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Doxycycline,63.63636363636363,14,22,32,32
13,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Doxycycline,36.36363636363637,8,22,0.125,32
24,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Doxycycline,60,6,10,24,32
27,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Doxycycline,0,0,14,0.125,0.25
47,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Doxycycline,54.54545454545454,12,22,16,32
09,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Erythromycin,18.181818181818183,4,22,2,64
13,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Erythromycin,9.090909090909092,2,22,2,4
24,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Erythromycin,10,1,10,4,13.59999999999998
27,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Erythromycin,0,0,14,0.5,0.5
47,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Erythromycin,0,0,22,2,8
09,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Gentamicin,0,0,22,0.5,0.5
13,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Gentamicin,0,0,22,0.5,0.5
24,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Gentamicin,0,0,10,0.5,0.5499999999999998
27,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Gentamicin,0,0,14,0.5,0.5
47,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Gentamicin,0,0,22,0.5,0.5
09,2002-12-31,Campylobacter,coli,NA,Retail Chickens,Meropenem,0,0,22,0.0925,0.25
