"Week","Minimum, 2012-25","Maximum, 2012-25","25th perc, 2012-25","75th perc, 2012-25","2025-2026"
"1-Aug",0,8,5,7,5
"8-Aug",1,17,4,8,4
"15-Aug",1,12,5,6,9
"22-Aug",2,9,5,8,7
"29-Aug",0,12,4,7,8
"5-Sep",0,15,5,10,7
"12-Sep",1,14,7,11,9
"19-Sep",1,16,6,12,7
"26-Sep",0,17,4,11,12
"3-Oct",2,16,6,11,13
"10-Oct",0,20,9,13,9
"17-Oct",0,19,8,16,11
"24-Oct",1,42,10,15,21
"31-Oct",0,33,13,24,36
"7-Nov",2,35,14,25,30
"14-Nov",0,42,14,23,30
"21-Nov",0,41,11,27,15
"28-Nov",2,97,27,51,41
"5-Dec",2,146,35,56,55
"12-Dec",0,103,30,51,39
"19-Dec",0,91,15,49,19
"26-Dec",1,112,23,59,25
"2-Jan",6,158,43,80,42
"9-Jan",3,176,36,64,40
"16-Jan",4,164,39,63,47
"23-Jan",7,205,46,62,56
"30-Jan",14,144,51,61,68
"6-Feb",10,117,50,63,78
"13-Feb",15,82,54,62,70
"20-Feb",8,101,51,68,57
"27-Feb",14,108,54,79,61
"6-Mar",23,78,40,64,42
"13-Mar",25,74,45,56,37
"20-Mar",11,70,43,53,35
"27-Mar",11,66,34,55,40
"3-Apr",8,69,35,48,22
"10-Apr",1,52,26,35,28
"17-Apr",2,38,24,36,29
"24-Apr",3,46,21,27,31
"1-May",2,40,17,29,26
"8-May",0,27,18,26,26
"15-May",0,31,12,19,12
"22-May",0,17,8,11,7
"29-May",0,13,7,12,12
"5-Jun",0,13,7,9,9
"12-Jun",2,13,7,9,NA
"19-Jun",1,14,6,11,NA
"26-Jun",1,11,4,7,NA
"3-Jul",1,11,4,7,NA
"10-Jul",1,14,7,9,NA
"17-Jul",0,11,4,9,NA
"24-Jul",2,11,5,7,NA
