State,Season,Week ending date,Age Category,Sex,Race,Rate,Cumulative Rate,Type
Utah,2022-23,2023-09-30,All,All,All,0.1,78.7,Crude Rate
Utah,2022-23,2023-09-23,All,All,All,0.0,78.6,Crude Rate
Utah,2022-23,2023-09-16,All,All,All,0.1,78.6,Crude Rate
Utah,2022-23,2023-09-09,All,All,All,0.1,78.5,Crude Rate
Utah,2022-23,2023-09-02,All,All,All,0.1,78.4,Crude Rate
Utah,2022-23,2023-08-26,All,All,All,0.0,78.3,Crude Rate
Utah,2022-23,2023-08-19,All,All,All,0.1,78.3,Crude Rate
Utah,2022-23,2023-08-12,All,All,All,0.0,78.2,Crude Rate
Utah,2022-23,2023-08-05,All,All,All,0.0,78.2,Crude Rate
Utah,2022-23,2023-07-29,All,All,All,0.0,78.2,Crude Rate
Utah,2022-23,2023-07-22,All,All,All,0.0,78.2,Crude Rate
Utah,2022-23,2023-07-15,All,All,All,0.0,78.2,Crude Rate
Utah,2022-23,2023-07-08,All,All,All,0.0,78.2,Crude Rate
Utah,2022-23,2023-07-01,All,All,All,0.0,78.2,Crude Rate
Utah,2022-23,2023-06-24,All,All,All,0.0,78.2,Crude Rate
Utah,2022-23,2023-06-17,All,All,All,0.1,78.2,Crude Rate
Utah,2022-23,2023-06-10,All,All,All,0.0,78.1,Crude Rate
Utah,2022-23,2023-06-03,All,All,All,0.1,78.1,Crude Rate
Utah,2022-23,2023-05-27,All,All,All,0.1,78.1,Crude Rate
Utah,2022-23,2023-05-20,All,All,All,0.0,78.0,Crude Rate
Utah,2022-23,2023-05-13,All,All,All,0.1,78.0,Crude Rate
Utah,2022-23,2023-05-06,All,All,All,0.0,77.9,Crude Rate
Utah,2022-23,2023-04-29,All,All,All,0.0,77.9,Crude Rate
Utah,2022-23,2023-04-22,All,All,All,0.3,77.9,Crude Rate
Utah,2022-23,2023-04-15,All,All,All,0.0,77.6,Crude Rate
Utah,2022-23,2023-04-08,All,All,All,0.0,77.6,Crude Rate
Utah,2022-23,2023-04-01,All,All,All,0.2,77.6,Crude Rate
Utah,2022-23,2023-03-25,All,All,All,0.3,77.5,Crude Rate
Utah,2022-23,2023-03-18,All,All,All,0.3,77.2,Crude Rate
Utah,2022-23,2023-03-11,All,All,All,0.2,76.9,Crude Rate
Utah,2022-23,2023-03-04,All,All,All,0.2,76.7,Crude Rate
Utah,2022-23,2023-02-25,All,All,All,0.5,76.5,Crude Rate
Utah,2022-23,2023-02-18,All,All,All,1.3,76.0,Crude Rate
Utah,2022-23,2023-02-11,All,All,All,0.9,74.8,Crude Rate
Utah,2022-23,2023-02-04,All,All,All,0.4,73.8,Crude Rate
Utah,2022-23,2023-01-28,All,All,All,1.2,73.4,Crude Rate
Utah,2022-23,2023-01-21,All,All,All,1.2,72.2,Crude Rate
Utah,2022-23,2023-01-14,All,All,All,2.2,71.1,Crude Rate
Utah,2022-23,2023-01-07,All,All,All,2.4,68.9,Crude Rate
Utah,2022-23,2022-12-31,All,All,All,4.6,66.5,Crude Rate
Utah,2022-23,2022-12-24,All,All,All,3.7,61.9,Crude Rate
Utah,2022-23,2022-12-17,All,All,All,5.5,58.2,Crude Rate
