year,school_name,school_type,address,students_enrolled,mmr_rate,overall_rate,medical_exemption_rate,religious_exemption_rate,personal_exemption_rate,nonmedical_exemption_rate,overall_exemption_rate,LAT,LON,county,state,grade
2023-2024,Heartwood Charter,PUBLIC,"170 LIBERTY SCHOOL RD., PETALUMA, CA",NA,0.01,0.01,NA,NA,NA,NA,NA,38.278741,-122.706194,SONOMA,CA,K
2023-2024,Suncoast Preparatory Academy,PUBLIC,"4761 E HUNTER AVE, ANAHEIM, CA 92807, USA, NEWPORT BEACH, CA",NA,0.01,0.01,NA,NA,NA,NA,NA,33.8646802,-117.8145654,ORANGE,CA,K
2024-2025,Kipp: Blytheville College Preparatory,OTHER,"1124 MOULTRIE DR., BLYTHEVILLE, 72315, AR",NA,0.021276596,0.021276596,0,0,0,NA,NA,34.5229371,-90.5899431,PHILLIPS,AR,K
2023-2024,Giberson Elementary School,PUBLIC,"2880 FERBER DRIVE, COLORADO SPRINGS, CO, 80916",NA,0.0217,NA,0.0217,NA,NA,NA,NA,38.7927,-104.7501,EL PASO,CO,K
2024-2025,Kilgour School,PUBLIC,"1339 HERSCHEL AVE, CINCINNATI, OH, 45208",88,0.022727273,0.011363636,0,NA,NA,0,NA,39.134071,-84.421609,HAMILTON,OH,K
2023-2024,Heritage Elementary School - West Campus,OTHER,"6805 N 125TH AVE, GLENDALE, 85307, AZ",67,0.03,NA,0.01,NA,0.06,NA,0.06,33.533884,-112.327126,MARICOPA,AZ,K
2023-2024,Hillside School,PRIVATE,"2264 HUTH-SAYER RD, ORISKANY FALLS, NY, 13425",NA,0.04,0,NA,NA,NA,NA,NA,42.96834,-75.51686,ONEIDA,NY,K
2023-2024,Rainbow Valley,PRIVATE,"440 BROOKMANS CORNERS ROAD, FORT PLAIN, NY, 13339",NA,0.04,0,NA,NA,NA,NA,NA,42.91994,-74.72453,MONTGOMERY,NY,K
2023-2024,Wind Ridge School,PRIVATE,"2252 WEST WYCOFF ROAD, OVIS, NY, 14521",NA,0.04,0.04,NA,NA,NA,NA,NA,42.6423,-76.81645,SENECA,NY,K
2023-2024,Chino Valley Christian Academy,PRIVATE,"4166 RIVERSIDE DR, CHINO, CA 91710, USA, CHINO, CA",NA,0.04,0.05,NA,NA,NA,NA,NA,34.0198981,-117.7138279,SAN BERNARDINO,CA,K
2023-2024,Frank Hebron Harmon Elementary,PUBLIC,"7660 RIDGE CHAPEL ROAD, HANOVER, MD, 21076",100,0.04,NA,0.01,0,NA,NA,NA,39.146964,-76.717142,ANNE ARUNDEL,MD,K
2023-2024,Adams Elementary,PUBLIC,"2101 MANITOBA DRIVE, COLORADO SPRINGS, CO, 80910",NA,0.0408,NA,NA,NA,NA,NA,NA,38.821093,-104.788525,EL PASO,CO,K
2023-2024,Denmark Mennonite School,PRIVATE,"10211 STATE RTE 26, CARTHAGE, NY, 13619",NA,0.05,0,NA,NA,NA,NA,NA,43.90189,-75.58249,LEWIS,NY,K
2023-2024,Heritage Christian School Of San Diego,PRIVATE,"5725 KEARNY VILLA RD G, SAN DIEGO, CA 92123, USA, SAN DIEGO, CA",NA,0.05,0.05,NA,NA,NA,NA,NA,32.8374061,-117.1333752,SAN DIEGO,CA,K
2024-2025,Mercy Culture Preparatory Academy,PRIVATE,"1401 OAKHURST SCENIC DR, FORT WORTH, TX",NA,0.052631579,NA,NA,NA,NA,NA,NA,32.782035,-97.319497,TARRANT,TX,K
2024-2025,Grant Gordon Learning Center,PUBLIC,"921 W MEINECKE AVE, MILWAUKEE WI 53206-3137",NA,0.06,0.06,NA,NA,NA,NA,NA,43.06146,-87.923415,MILWAUKEE,WI,K
2024-2025,Calvary Christian Academy,PRIVATE,"12820 INDIAN SCHOOL, ALBUQUERQUE, NM, 87112",NA,0.0667,0.0667,0,0.9333,NA,NA,NA,35.094871,-106.501593,BERNALILLO,NM,K
2023-2024,Meadow Valley School,PRIVATE,"8788 CAMRODEN RD, HOLLAND PATENT, NY, 13354",NA,0.07,0,NA,NA,NA,NA,NA,43.28721,-75.36106,ONEIDA,NY,K
2023-2024,Heartshare Schools (The),PRIVATE,"1825 BATH AVENUE, BROOKLYN, NY, 11214",NA,0.07,0.07,NA,NA,NA,NA,NA,40.60347,-74.00539,KINGS,NY,K
2023-2024,Calvary Christian School - Nampa,PRIVATE,"1210 N MIDDLETON RD, NAMPA, 83651, ID",NA,0.071,0.071,0,NA,NA,0.429,NA,43.595217,-116.612613,CANYON,ID,K
2023-2024,Shady Lane School C/O Daniel Hertzler,PRIVATE,"2296 YERKES ROAD, ROMULUS, NY, 14541",NA,0.08,0.04,NA,NA,NA,NA,NA,42.73347,-76.81279,SENECA,NY,K
2023-2024,East Oakland Pride Elementary,PUBLIC,"8000 BIRCH ST, OAKLAND, CA 94621, USA, OAKLAND, CA",NA,0.08,0.08,NA,NA,NA,NA,NA,37.7594582,-122.1747504,ALAMEDA,CA,K
2024-2025,Emerson Academy,PUBLIC,"501 HICKORY ST, DAYTON, OH, 45410",71,0.084507042,0.084507042,0,NA,NA,0,NA,39.751733,-84.180951,MONTGOMERY,OH,K
2024-2025,Council Grove Elementary School,PUBLIC,"7721 MELROSE LANE, OKLAHOMA CITY, OK 73127",NA,0.0875,0.0875,NA,NA,NA,NA,0.0125,35.47224399,-97.65185102,OKLAHOMA,OK,K
2024-2025,Hyde Park School,PUBLIC,"3401 EDWARDS RD, CINCINNATI, OH, 45208",90,0.088888889,0.055555556,0,NA,NA,0,NA,39.138109,-84.444271,HAMILTON,OH,K
2023-2024,Heartland Charter,PUBLIC,"5060 CALIFORNIA AVE STE 420, BAKERSFIELD, CA 93309, USA, MARICOPA, CA",NA,0.09,0.05,NA,NA,NA,NA,NA,35.3625102,-119.0604678,KERN,CA,K
2023-2024,Mother Of Divine Grace,PRIVATE,"407 BRYANT CIR SUITE C, OJAI, CA 93023, USA, OJAI, CA",NA,0.09,0.09,NA,NA,NA,NA,NA,34.44373,-119.2385906,VENTURA,CA,K
2023-2024,Sheep Run School,PRIVATE,"MONTGOMERY COUNTY PUBLIC HEALTH, FONDA, NY, 12068",NA,0.09,0.09,NA,NA,NA,NA,NA,42.947516,-74.367817,MONTGOMERY,NY,K
2024-2025,Green Inspiration Academy,PUBLIC,"4901 GALAXY PKWY STE L, CLEVELAND, OH, 44128",11,0.090909091,0.090909091,0,NA,NA,0,NA,41.426668,-81.501117,CUYAHOGA,OH,K
2023-2024,Harrisburg Catholic Elementary School,NA,"212 STATE STREET, 225 NORTH STREET, HARRISBURG, PA, 17101",21,0.09523809523809525,NA,0,0,0,NA,NA,40.263728,-76.886354,DAUPHIN,PA,K
2024-2025,Assumption Academy,PRIVATE,"472 BEAVER RD, WALTON, KY 41094",NA,0.1,0.06666666667,0,0.9,NA,NA,NA,38.871421,-84.627727,BOONE,KY,K
2023-2024,Peak Prep Pleasant Valley,PUBLIC,"550 TEMPLE AVE., CAMARILLO, CA",NA,0.1,0.07,NA,NA,NA,NA,NA,34.221763,-119.041389,VENTURA,CA,K
2024-2025,Heritage Christian School,PRIVATE,"4604 BOXWOOD DRIVE, OWENSBORO, KY 42303",NA,0.1,0.1,0,0.1,NA,NA,NA,37.777046,-87.029381,DAVIESS,KY,K
2023-2024,Groves Creek School,PRIVATE,"6717 IRON BRIDGE ROAD, OVID, NY, 14521",NA,0.11,0.11,NA,NA,NA,NA,NA,42.70003,-76.76943,SENECA,NY,K
2023-2024,Synergy Public School,OTHER,"2701 W BETHANY HOME RD, PHOENIX, 85017, AZ",65,0.11,NA,0,NA,0,NA,0,33.523606,-112.1175291,MARICOPA,AZ,K
2023-2024,Thunderbird Colony Elementary,PUBLIC,"15185 346TH AVE, FAULKTON, SD, 57438",NA,0.11,NA,0,0.667,NA,NA,NA,45.18949,-99.267765,FAULK,SD,K
2024-2025,Winesburg Elementary School,PUBLIC,"2165 US ROUTE 62, WINESBURG, OH, 44690",18,0.111111111,0.111111111,0,NA,NA,0.6666666666666666,NA,40.612838000000004,-81.700421,HOLMES,OH,K
2024-2025,Neeskara Elementary,PUBLIC,"1601 N HAWLEY RD, MILWAUKEE WI 53208-2116",NA,0.12,0.07,NA,NA,NA,NA,NA,43.051491,-87.983384,MILWAUKEE,WI,K
2023-2024,School Of Extended Educational Options,PUBLIC,"2211 N ORANGE GROVE AVE, POMONA, CA 91767, USA, POMONA, CA",NA,0.12,0.12,NA,NA,NA,NA,NA,34.0872669,-117.744805,LOS ANGELES,CA,K
2024-2025,Fifty-Third Street Elementary,PUBLIC,"3618 N 53RD ST, MILWAUKEE WI 53216-2952",NA,0.12,0.12,NA,NA,NA,NA,NA,43.083514,-87.978446,MILWAUKEE,WI,K
2024-2025,Mt. Airy School,PUBLIC,"5730 COLERAIN AVE, CINCINNATI, OH, 45239",89,0.123595506,0.101123596,0,NA,NA,0,NA,39.198368,-84.576619,HAMILTON,OH,K
2023-2024,Selle Valley Carden School,PRIVATE,"1185 SELLE ROAD, SANDPOINT, 83864, ID",NA,0.125,0.125,0,NA,NA,0.875,NA,48.357864,-116.52192,BONNER,ID,K
2023-2024,St. Dominic School,PRIVATE,"20274 WEST RIVERVIEW DRIVE, POST FALLS, 83854, ID",NA,0.125,0.125,0,NA,NA,0.875,NA,47.6865,-117.020309,KOOTENAI,ID,K
2024-2025,Bismarck Public Schools-Homeschool,NA,"806 N WASHINGTON ST, BISMARCK, ND, 58501",8,0.125,NA,0,0.25,0.25,NA,NA,46.81329,-100.7951,BURLEIGH,ND,K
2024-2025,College Hill Fundamental Academy,PUBLIC,"1625 CEDAR AVE, CINCINNATI, OH, 45224",62,0.129032258,0.080645161,0,NA,NA,0,NA,39.198425,-84.548782,HAMILTON,OH,K
2024-2025,Gec School,PRIVATE,"1410 HUBBARD RD, GALLOWAY, OH, 43119",54,0.12962963,0.074074074,0,NA,NA,0.5925925925925926,NA,39.976519,-83.241104000000007,FRANKLIN,OH,K
2024-2025,Roll Hill School,PUBLIC,"2411 BALTIMORE AVE, CINCINNATI, OH, 45225",54,0.12962963,0.12962963,0,NA,NA,0,NA,39.153683,-84.564576,HAMILTON,OH,K
2024-2025,Thurston Woods Elementary,PUBLIC,"5966 N 35TH ST, MILWAUKEE WI 53209-4055",NA,0.13,0.13,NA,NA,NA,NA,NA,43.12599,-87.954599,MILWAUKEE,WI,K
2023-2024,Wilson Elementary,PUBLIC,"911 W 25TH AVE, SPOKANE, 99203, WA",45,0.133333333,0.111111111,0,0.022222222,0,NA,NA,47.631468,-117.425594,SPOKANE,WA,K
2023-2024,Soaring Eagles Elementary School,PUBLIC,"4710 HARRIER RIDGE DRIVE, COLORADO SPRINGS, CO, 80916",NA,0.1348,NA,NA,NA,NA,NA,NA,38.7852,-104.7376,EL PASO,CO,K
2024-2025,Cheviot School,PUBLIC,"4040 HARRISON AVE, CINCINNATI, OH, 45211",58,0.137931034,0.103448276,0,NA,NA,0,NA,39.157982,-84.617051,HAMILTON,OH,K
2023-2024,Nestle Ridge,PRIVATE,"MONTGOMERY COUNTY PUBLIC HEALTH, FONDA, NY, 12068",NA,0.14,0,NA,NA,NA,NA,NA,42.947516,-74.367817,MONTGOMERY,NY,K
2023-2024,Pleasant Valley School,PRIVATE,"WAIT CORNERS ROAD, SHERMAN, NY, 14781",NA,0.14,0.09,NA,NA,NA,NA,NA,42.114933,-79.554119,CHAUTAUQUA,NY,K
2023-2024,Lake View Charter,PUBLIC,"4672 COUNTY RD N, ORLAND, CA 95963, USA, ORLAND, CA",NA,0.14,0.14,NA,NA,NA,NA,NA,39.7694599,-122.1590737,GLENN,CA,K
2023-2024,Everyday Ibaadah Academy,PRIVATE,"5522 DEANE AVE, LOS ANEGLES, CA",NA,0.14,0.14,NA,NA,NA,NA,NA,33.99168,-118.3375,LOS ANGELES,CA,K
2023-2024,Old Elm Spring Colony Elementary,PUBLIC,"42021 268TH ST, PARKSTON, SD, 57366",NA,0.14,NA,0,0.28600000000000003,NA,NA,NA,43.497294,-97.794332,HUTCHINSON,SD,K
2023-2024,Pleasant Valley Colony Elementary,PUBLIC,"22941 487TH AVE, FLANDREAU, SD, 57028",NA,0.14,NA,0,0.857,NA,NA,NA,44.059264,-96.466976,MOODY,SD,K
2023-2024,Gracevale Colony,NA,"23843 - 446A AVE, WINFRED, SD, 57076",NA,0.14,NA,0,0.7140000000000001,NA,NA,NA,43.927355,-97.285919,LAKE,SD,K
2023-2024,Sage Oak Charter School- Keppel,PUBLIC,"200-312 N RECORD AVE, LOS ANGELES, CA 90063, USA, REDLANDS, CA",NA,0.15,0.09,NA,NA,NA,NA,NA,34.0390315,-118.1821006,LOS ANGELES,CA,K
2023-2024,Twin Ridges Home Study Charter,PUBLIC,"111 NEW MOHAWK RD, NEVADA CITY, CA 95959, USA, NEVADA CITY, CA",NA,0.15,0.12,NA,NA,NA,NA,NA,39.2480082,-121.0162967,NEVADA,CA,K
2023-2024,Granite Mountain Charter,PUBLIC,"8560 ALIENTO RD, LUCERNE VALLEY, CA 92356, USA, LUCERNE VALLEY, CA",NA,0.15,0.12,NA,NA,NA,NA,NA,34.4101832,-116.9073863,SAN BERNARDINO,CA,K
2023-2024,Cottonwood,PUBLIC,"3921 SANDSTONE DRIVE STE. A, EL DORADO HILLS, CA",NA,0.15,0.15,NA,NA,NA,NA,NA,38.629242,-121.071933,EL DORADO,CA,K
2023-2024,North Fork School Of Integrated Studies,PUBLIC,"430 BOX ELDER, PAONIA, CO, 81428",NA,0.15380000000000002,NA,0.07690000000000001,NA,NA,0.7692,NA,38.870613,-107.594942,DELTA,CO,K
2024-2025,Norton Elementary,PUBLIC,"8101 BROWNSBORO ROAD, LOUISVILLE, KY 40241",NA,0.1544715447,0.1382113821,0,0.0081300813,NA,NA,NA,38.297719,-85.599776,JEFFERSON,KY,K
2024-2025,Field Elementary,PUBLIC,"120 SACRED HEART LANE, LOUISVILLE, KY 40206",NA,0.1578947368,0.1184210526,0,0,NA,NA,NA,38.252229,-85.678293,JEFFERSON,KY,K
2024-2025,Flat Ridge Elementary School,PUBLIC,"2609 CO RD 600, CHARM, OH, 44617",25,0.16,0.08,0,NA,NA,0.6,NA,40.507088,-81.782872,HOLMES,OH,K
2024-2025,Westwood School,PUBLIC,"2981 MONTANA AVE, CINCINNATI, OH, 45211",55,0.163636364,0.090909091,0,NA,NA,0,NA,39.147735,-84.598166,HAMILTON,OH,K
