"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Alabama","2023","31","5,108,468","0.61","0.59","672"
"Cut/Pierce","Alabama","2022","36","5,073,903","0.71","0.79","858"
"Cut/Pierce","Alabama","2021","44","5,050,380","0.87","0.95","1,000"
"Cut/Pierce","Alabama","2020","42","5,031,864","0.84","0.86","1,041"
"Cut/Pierce","Alabama","2019","39","4,907,965","0.80","0.82","906"
"Cut/Pierce","Alabama","2018","46","4,891,628","0.94","0.92","1,010"
"Cut/Pierce","Alaska","2023","--","733,406","--","--","--"
"Cut/Pierce","Alaska","2022","12**","733,276","1.64**","1.51**","310"
"Cut/Pierce","Alaska","2021","--","734,923","--","--","--"
"Cut/Pierce","Alaska","2020","15**","732,964","2.05**","1.96**","277"
"Cut/Pierce","Alaska","2019","13**","733,603","1.77**","1.81**","348"
"Cut/Pierce","Alaska","2018","12**","736,624","1.63**","1.54**","260"
"Cut/Pierce","Arizona","2023","64","7,431,344","0.86","0.84","1,424"
"Cut/Pierce","Arizona","2022","64","7,365,684","0.87","0.91","1,324"
"Cut/Pierce","Arizona","2021","89","7,272,487","1.22","1.22","2,119"
"Cut/Pierce","Arizona","2020","63","7,186,683","0.88","0.89","1,380"
"Cut/Pierce","Arizona","2019","71","7,291,843","0.97","0.97","1,428"
"Cut/Pierce","Arizona","2018","65","7,164,228","0.91","0.94","1,618"
"Cut/Pierce","Arkansas","2023","34","3,067,732","1.11","1.16","637"
"Cut/Pierce","Arkansas","2022","22","3,046,404","0.72","0.76","550"
"Cut/Pierce","Arkansas","2021","33","3,028,443","1.09","1.12","785"
"Cut/Pierce","Arkansas","2020","48","3,014,348","1.59","1.56","900"
"Cut/Pierce","Arkansas","2019","27","3,020,985","0.89","0.89","650"
"Cut/Pierce","Arkansas","2018","30","3,012,161","1.00","1.02","689"
"Cut/Pierce","California","2023","417","38,965,193","1.07","1.02","8,786"
"Cut/Pierce","California","2022","408","39,040,616","1.05","1.00","8,772"
"Cut/Pierce","California","2021","433","39,145,060","1.11","1.07","9,603"
"Cut/Pierce","California","2020","457","39,503,200","1.16","1.11","10,107"
"Cut/Pierce","California","2019","373","39,437,610","0.95","0.89","7,745"
"Cut/Pierce","California","2018","373","39,437,463","0.95","0.92","8,423"
"Cut/Pierce","Colorado","2023","59","5,877,610","1.00","0.95","1,261"
"Cut/Pierce","Colorado","2022","56","5,841,039","0.96","0.90","1,110"
"Cut/Pierce","Colorado","2021","61","5,811,596","1.05","0.99","1,234"
"Cut/Pierce","Colorado","2020","64","5,785,219","1.11","1.08","1,470"
"Cut/Pierce","Colorado","2019","47","5,758,486","0.82","0.76","872"
"Cut/Pierce","Colorado","2018","44","5,697,155","0.77","0.73","1,053"
"Cut/Pierce","Connecticut","2023","31","3,617,176","0.86","0.89","746"
"Cut/Pierce","Connecticut","2022","18**","3,608,706","0.50**","0.49**","420"
"Cut/Pierce","Connecticut","2021","36","3,603,691","1.00","1.00","716"
"Cut/Pierce","Connecticut","2020","35","3,577,586","0.98","0.94","758"
"Cut/Pierce","Connecticut","2019","25","3,566,022","0.70","0.62","286"
"Cut/Pierce","Connecticut","2018","29","3,574,561","0.81","0.77","656"
"Cut/Pierce","Delaware","2023","--","1,031,890","--","--","--"
"Cut/Pierce","Delaware","2022","10**","1,019,459","0.98**","0.99**","164"
"Cut/Pierce","Delaware","2021","14**","1,004,881","1.39**","1.17**","188"
"Cut/Pierce","Delaware","2020","--","991,862","--","--","--"
"Cut/Pierce","Delaware","2019","--","976,668","--","--","--"
"Cut/Pierce","Delaware","2018","--","966,985","--","--","--"
"Cut/Pierce","District of Columbia","2023","13**","678,972","1.92**","1.79**","252"
"Cut/Pierce","District of Columbia","2022","15**","670,949","2.24**","2.13**","219"
"Cut/Pierce","District of Columbia","2021","31","669,037","4.63","4.42","881"
"Cut/Pierce","District of Columbia","2020","14**","670,839","2.09**","1.89**","447"
"Cut/Pierce","District of Columbia","2019","14**","708,253","1.98**","2.05**","254"
"Cut/Pierce","District of Columbia","2018","16**","704,147","2.27**","2.29**","368"
"Cut/Pierce","Florida","2023","197","22,610,726","0.87","0.79","3,251"
"Cut/Pierce","Florida","2022","160","22,245,521","0.72","0.69","2,909"
"Cut/Pierce","Florida","2021","199","21,830,708","0.91","0.87","3,835"
"Cut/Pierce","Florida","2020","186","21,591,299","0.86","0.83","3,527"
"Cut/Pierce","Florida","2019","170","21,492,056","0.79","0.74","3,250"
"Cut/Pierce","Florida","2018","177","21,254,926","0.83","0.79","3,246"
"Cut/Pierce","Georgia","2023","83","11,029,227","0.75","0.74","1,945"
"Cut/Pierce","Georgia","2022","95","10,913,150","0.87","0.85","2,327"
"Cut/Pierce","Georgia","2021","74","10,790,385","0.69","0.70","1,816"
"Cut/Pierce","Georgia","2020","88","10,732,390","0.82","0.80","2,146"
"Cut/Pierce","Georgia","2019","75","10,628,020","0.71","0.70","1,668"
"Cut/Pierce","Georgia","2018","67","10,519,389","0.64","0.65","1,626"
"Cut/Pierce","Hawaii","2023","12**","1,435,138","0.84**","0.79**","204"
"Cut/Pierce","Hawaii","2022","17**","1,439,399","1.18**","1.08**","296"
"Cut/Pierce","Hawaii","2021","12**","1,446,745","0.83**","0.78**","230"
"Cut/Pierce","Hawaii","2020","11**","1,451,181","0.76**","0.81**","215"
"Cut/Pierce","Hawaii","2019","16**","1,415,615","1.13**","1.02**","224"
"Cut/Pierce","Hawaii","2018","13**","1,423,102","0.91**","0.82**","293"
"Cut/Pierce","Idaho","2023","14**","1,964,726","0.71**","0.82**","377"
"Cut/Pierce","Idaho","2022","14**","1,938,996","0.72**","0.75**","358"
"Cut/Pierce","Idaho","2021","--","1,904,537","--","--","--"
"Cut/Pierce","Idaho","2020","--","1,849,339","--","--","--"
"Cut/Pierce","Idaho","2019","12**","1,789,060","0.67**","0.64**","162"
"Cut/Pierce","Idaho","2018","10**","1,752,074","0.57**","0.50**","219"
"Cut/Pierce","Illinois","2023","97","12,549,689","0.77","0.75","2,132"
"Cut/Pierce","Illinois","2022","96","12,582,515","0.76","0.74","2,223"
"Cut/Pierce","Illinois","2021","72","12,690,341","0.57","0.55","1,484"
"Cut/Pierce","Illinois","2020","92","12,790,357","0.72","0.71","2,017"
"Cut/Pierce","Illinois","2019","101","12,667,017","0.80","0.75","1,901"
"Cut/Pierce","Illinois","2018","109","12,724,685","0.86","0.82","2,358"
"Cut/Pierce","Indiana","2023","49","6,862,199","0.71","0.71","887"
"Cut/Pierce","Indiana","2022","43","6,832,274","0.63","0.63","877"
