"Mechanism","Age Group","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"","0 to 4","Alabama","2020","--","297,321","0.00**","--","--"
"","0 to 4","Alaska","2021","--","48,058","0.00**","--","--"
"","0 to 4","Alaska","2020","--","49,201","0.00**","--","--"
"","0 to 4","Alaska","2019","--","51,182","0.00**","--","--"
"","0 to 4","Alaska","2018","--","52,694","0.00**","--","--"
"","0 to 4","Arizona","2022","--","396,008","0.00**","--","--"
"","0 to 4","Arizona","2019","--","429,110","0.00**","--","--"
"","0 to 4","Arizona","2018","--","432,285","0.00**","--","--"
"","0 to 4","Colorado","2023","--","308,959","0.00**","--","--"
"","0 to 4","Colorado","2019","--","329,225","0.00**","--","--"
"","0 to 4","Colorado","2018","--","333,970","0.00**","--","--"
"","0 to 4","Connecticut","2022","--","180,904","0.00**","--","--"
"","0 to 4","Connecticut","2020","--","180,915","0.00**","--","--"
"","0 to 4","Connecticut","2019","--","181,785","0.00**","--","--"
"","0 to 4","Connecticut","2018","--","183,232","0.00**","--","--"
"","0 to 4","Delaware","2023","--","54,471","0.00**","--","--"
"","0 to 4","Delaware","2022","--","54,362","0.00**","--","--"
"","0 to 4","Delaware","2021","--","53,913","0.00**","--","--"
"","0 to 4","Delaware","2020","--","54,811","0.00**","--","--"
"","0 to 4","Delaware","2019","--","54,851","0.00**","--","--"
"","0 to 4","District of Columbia","2023","--","38,586","0.00**","--","--"
"","0 to 4","District of Columbia","2022","--","39,657","0.00**","--","--"
"","0 to 4","District of Columbia","2021","--","40,452","0.00**","--","--"
"","0 to 4","District of Columbia","2019","--","45,015","0.00**","--","--"
"","0 to 4","District of Columbia","2018","--","45,114","0.00**","--","--"
"","0 to 4","Georgia","2020","--","646,326","0.00**","--","--"
"","0 to 4","Hawaii","2023","--","77,650","0.00**","--","--"
"","0 to 4","Hawaii","2021","--","81,661","0.00**","--","--"
"","0 to 4","Hawaii","2020","--","84,963","0.00**","--","--"
"","0 to 4","Hawaii","2019","--","86,220","0.00**","--","--"
"","0 to 4","Hawaii","2018","--","88,735","0.00**","--","--"
"","0 to 4","Idaho","2022","--","113,857","0.00**","--","--"
"","0 to 4","Idaho","2021","--","113,916","0.00**","--","--"
"","0 to 4","Idaho","2020","--","113,542","0.00**","--","--"
"","0 to 4","Idaho","2019","--","115,266","0.00**","--","--"
"","0 to 4","Idaho","2018","--","115,485","0.00**","--","--"
"","0 to 4","Indiana","2022","--","408,556","0.00**","--","--"
"","0 to 4","Iowa","2023","--","186,039","0.00**","--","--"
"","0 to 4","Iowa","2022","--","187,474","0.00**","--","--"
"","0 to 4","Iowa","2020","--","193,272","0.00**","--","--"
"","0 to 4","Iowa","2019","--","195,700","0.00**","--","--"
"","0 to 4","Iowa","2018","--","197,771","0.00**","--","--"
"","0 to 4","Kansas","2022","--","176,405","0.00**","--","--"
"","0 to 4","Kansas","2019","--","186,044","0.00**","--","--"
"","0 to 4","Kansas","2018","--","189,101","0.00**","--","--"
"","0 to 4","Kentucky","2021","--","267,377","0.00**","--","--"
"","0 to 4","Kentucky","2018","--","275,516","0.00**","--","--"
"","0 to 4","Maine","2023","--","61,645","0.00**","--","--"
"","0 to 4","Maine","2021","--","62,772","0.00**","--","--"
"","0 to 4","Maine","2020","--","63,675","0.00**","--","--"
"","0 to 4","Maine","2018","--","63,974","0.00**","--","--"
"","0 to 4","Maryland","2021","--","358,439","0.00**","--","--"
"","0 to 4","Maryland","2019","--","363,644","0.00**","--","--"
"","0 to 4","Massachusetts","2023","--","343,943","0.00**","--","--"
"","0 to 4","Massachusetts","2022","--","344,916","0.00**","--","--"
"","0 to 4","Massachusetts","2021","--","348,029","0.00**","--","--"
"","0 to 4","Massachusetts","2020","--","356,775","0.00**","--","--"
"","0 to 4","Massachusetts","2019","--","356,147","0.00**","--","--"
"","0 to 4","Massachusetts","2018","--","360,200","0.00**","--","--"
"","0 to 4","Minnesota","2023","--","328,430","0.00**","--","--"
"","0 to 4","Minnesota","2022","--","332,593","0.00**","--","--"
"","0 to 4","Minnesota","2020","--","347,331","0.00**","--","--"
"","0 to 4","Minnesota","2018","--","354,522","0.00**","--","--"
"","0 to 4","Montana","2023","--","57,574","0.00**","--","--"
"","0 to 4","Montana","2022","--","58,217","0.00**","--","--"
"","0 to 4","Montana","2021","--","58,673","0.00**","--","--"
"","0 to 4","Montana","2020","--","60,022","0.00**","--","--"
"","0 to 4","Montana","2019","--","60,944","0.00**","--","--"
"","0 to 4","Montana","2018","--","62,189","0.00**","--","--"
"","0 to 4","Nebraska","2023","--","123,659","0.00**","--","--"
"","0 to 4","Nebraska","2022","--","124,671","0.00**","--","--"
"","0 to 4","Nebraska","2021","--","126,930","0.00**","--","--"
"","0 to 4","Nebraska","2020","--","129,847","0.00**","--","--"
"","0 to 4","Nebraska","2019","--","130,954","0.00**","--","--"
"","0 to 4","Nebraska","2018","--","132,410","0.00**","--","--"
"","0 to 4","Nevada","2023","--","171,440","0.00**","--","--"
"","0 to 4","Nevada","2021","--","176,831","0.00**","--","--"
"","0 to 4","Nevada","2019","--","185,920","0.00**","--","--"
"","0 to 4","Nevada","2018","--","185,542","0.00**","--","--"
"","0 to 4","New Hampshire","2021","--","63,040","0.00**","--","--"
"","0 to 4","New Hampshire","2020","--","63,345","0.00**","--","--"
"","0 to 4","New Hampshire","2019","--","63,706","0.00**","--","--"
"","0 to 4","New Hampshire","2018","--","63,801","0.00**","--","--"
"","0 to 4","New Jersey","2023","--","519,070","0.00**","--","--"
"","0 to 4","New Jersey","2021","--","523,776","0.00**","--","--"
"","0 to 4","New Jersey","2020","--","533,885","0.00**","--","--"
"","0 to 4","New Jersey","2019","--","517,697","0.00**","--","--"
"","0 to 4","New Jersey","2018","--","519,924","0.00**","--","--"
"","0 to 4","New Mexico","2023","--","107,321","0.00**","--","--"
"","0 to 4","New Mexico","2022","--","110,172","0.00**","--","--"
"","0 to 4","New Mexico","2021","--","113,052","0.00**","--","--"
"","0 to 4","New Mexico","2020","--","117,075","0.00**","--","--"
"","0 to 4","New Mexico","2018","--","123,687","0.00**","--","--"
"","0 to 4","New York","2022","--","1,064,019","0.00**","--","--"
"","0 to 4","New York","2019","--","1,129,537","0.00**","--","--"
"","0 to 4","North Dakota","2023","--","49,307","0.00**","--","--"
"","0 to 4","North Dakota","2022","--","49,943","0.00**","--","--"
"","0 to 4","North Dakota","2021","--","51,416","0.00**","--","--"
"","0 to 4","North Dakota","2020","--","53,530","0.00**","--","--"
"","0 to 4","North Dakota","2019","--","54,103","0.00**","--","--"
"","0 to 4","North Dakota","2018","--","54,397","0.00**","--","--"
"","0 to 4","Oklahoma","2020","--","250,875","0.00**","--","--"
"","0 to 4","Oklahoma","2018","--","259,770","0.00**","--","--"
"","0 to 4","Oregon","2023","--","202,332","0.00**","--","--"
"","0 to 4","Oregon","2022","--","206,911","0.00**","--","--"
"","0 to 4","Oregon","2021","--","212,431","0.00**","--","--"
"","0 to 4","Oregon","2020","--","219,873","0.00**","--","--"
"","0 to 4","Oregon","2018","--","230,374","0.00**","--","--"
"","0 to 4","Pennsylvania","2018","--","705,589","0.00**","--","--"
"","0 to 4","Rhode Island","2023","--","52,210","0.00**","--","--"
"","0 to 4","Rhode Island","2022","--","52,815","0.00**","--","--"
"","0 to 4","Rhode Island","2021","--","53,774","0.00**","--","--"
"","0 to 4","Rhode Island","2020","--","55,116","0.00**","--","--"
"","0 to 4","Rhode Island","2019","--","54,482","0.00**","--","--"
"","0 to 4","Rhode Island","2018","--","54,884","0.00**","--","--"
"","0 to 4","South Carolina","2022","--","289,166","0.00**","--","--"
"","0 to 4","South Dakota","2023","--","57,935","0.00**","--","--"
"","0 to 4","South Dakota","2022","--","58,386","0.00**","--","--"
"","0 to 4","South Dakota","2020","--","59,556","0.00**","--","--"
"","0 to 4","South Dakota","2019","--","61,232","0.00**","--","--"
"","0 to 4","South Dakota","2018","--","61,829","0.00**","--","--"
"","0 to 4","Tennessee","2020","--","410,597","0.00**","--","--"
"","0 to 4","Utah","2022","--","234,381","0.00**","--","--"
"","0 to 4","Utah","2021","--","238,278","0.00**","--","--"
"","0 to 4","Utah","2019","--","245,571","0.00**","--","--"
"","0 to 4","Utah","2018","--","249,486","0.00**","--","--"
"","0 to 4","Vermont","2023","--","27,348","0.00**","--","--"
"","0 to 4","Vermont","2022","--","27,925","0.00**","--","--"
"","0 to 4","Vermont","2021","--","28,365","0.00**","--","--"
"","0 to 4","Vermont","2020","--","29,020","0.00**","--","--"
"","0 to 4","Vermont","2019","--","28,818","0.00**","--","--"
