"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Alabama","2023","--","5,108,468","--","--","--"
"Cut/Pierce","Alabama","2022","--","5,073,903","--","--","--"
"Cut/Pierce","Alabama","2021","--","5,050,380","--","--","--"
"Cut/Pierce","Alabama","2020","--","5,031,864","--","--","--"
"Cut/Pierce","Alabama","2019","--","4,907,965","--","--","--"
"Cut/Pierce","Alabama","2018","--","4,891,628","--","--","--"
"Cut/Pierce","Alaska","2022","--","733,276","--","--","--"
"Cut/Pierce","Alaska","2018","--","736,624","--","--","--"
"Cut/Pierce","Arizona","2022","--","7,365,684","--","--","--"
"Cut/Pierce","Arizona","2019","--","7,291,843","--","--","--"
"Cut/Pierce","Arizona","2018","--","7,164,228","--","--","--"
"Cut/Pierce","Arkansas","2023","--","3,067,732","--","--","--"
"Cut/Pierce","Arkansas","2021","--","3,028,443","--","--","--"
"Cut/Pierce","Arkansas","2020","--","3,014,348","--","--","--"
"Cut/Pierce","Arkansas","2019","--","3,020,985","--","--","--"
"Cut/Pierce","Arkansas","2018","--","3,012,161","--","--","--"
"Cut/Pierce","California","2023","--","38,965,193","--","--","--"
"Cut/Pierce","California","2022","10**","39,040,616","0.03**","0.02**","62"
"Cut/Pierce","California","2021","--","39,145,060","--","--","--"
"Cut/Pierce","California","2020","--","39,503,200","--","--","--"
"Cut/Pierce","California","2019","--","39,437,610","--","--","--"
"Cut/Pierce","California","2018","--","39,437,463","--","--","--"
"Cut/Pierce","Colorado","2023","--","5,877,610","--","--","--"
"Cut/Pierce","Colorado","2022","--","5,841,039","--","--","--"
"Cut/Pierce","Colorado","2021","--","5,811,596","--","--","--"
"Cut/Pierce","Colorado","2020","--","5,785,219","--","--","--"
"Cut/Pierce","Colorado","2019","--","5,758,486","--","--","--"
"Cut/Pierce","Colorado","2018","--","5,697,155","--","--","--"
"Cut/Pierce","Connecticut","2023","--","3,617,176","--","--","--"
"Cut/Pierce","Connecticut","2021","--","3,603,691","--","--","--"
"Cut/Pierce","Connecticut","2020","--","3,577,586","--","--","--"
"Cut/Pierce","Connecticut","2018","--","3,574,561","--","--","--"
"Cut/Pierce","Delaware","2023","--","1,031,890","--","--","--"
"Cut/Pierce","Delaware","2022","--","1,019,459","--","--","--"
"Cut/Pierce","Delaware","2020","--","991,862","--","--","--"
"Cut/Pierce","Florida","2023","--","22,610,726","--","--","--"
