"Age Group","Mechanism","Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"0 to 4","Cut/Pierce","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Cut/Pierce","2023","Montana","--","57,574","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Alabama","13**","293,105","4.44**","--","816"
"0 to 4","Drowning (includes water transport)","2023","Arizona","19**","393,531","4.83**","--","1,202"
"0 to 4","Drowning (includes water transport)","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","California","45","2,097,790","2.15","--","2,829"
"0 to 4","Drowning (includes water transport)","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Delaware","--","54,471","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","District of Columbia","--","38,586","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Florida","74","1,124,756","6.58","--","4,665"
"0 to 4","Drowning (includes water transport)","2023","Georgia","23","635,832","3.62","--","1,444"
"0 to 4","Drowning (includes water transport)","2023","Hawaii","--","77,650","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Illinois","14**","664,874","2.11**","--","883"
"0 to 4","Drowning (includes water transport)","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Louisiana","13**","279,427","4.65**","--","817"
"0 to 4","Drowning (includes water transport)","2023","Maryland","10**","349,713","2.86**","--","631"
"0 to 4","Drowning (includes water transport)","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Montana","--","57,574","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Nevada","--","171,440","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","New Hampshire","--","62,585","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","New Jersey","11**","519,070","2.12**","--","691"
"0 to 4","Drowning (includes water transport)","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","New York","11**","1,038,816","1.06**","--","690"
"0 to 4","Drowning (includes water transport)","2023","North Carolina","15**","606,455","2.47**","--","953"
"0 to 4","Drowning (includes water transport)","2023","Ohio","22","658,693","3.34","--","1,385"
"0 to 4","Drowning (includes water transport)","2023","Oklahoma","14**","244,277","5.73**","--","889"
"0 to 4","Drowning (includes water transport)","2023","Pennsylvania","13**","665,907","1.95**","--","821"
"0 to 4","Drowning (includes water transport)","2023","Rhode Island","--","52,210","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","South Carolina","14**","291,612","4.80**","--","882"
"0 to 4","Drowning (includes water transport)","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Tennessee","20**","411,380","4.86**","--","1,256"
"0 to 4","Drowning (includes water transport)","2023","Texas","66","1,936,893","3.41","--","4,158"
"0 to 4","Drowning (includes water transport)","2023","Utah","--","231,295","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Vermont","--","27,348","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Washington","--","421,127","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Wyoming","--","30,785","--","--","--"
"0 to 4","Fall","2023","California","--","2,097,790","--","--","--"
"0 to 4","Fall","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Fall","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Fall","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Fall","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Fall","2023","Maine","--","61,645","--","--","--"
"0 to 4","Fall","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Fall","2023","New Hampshire","--","62,585","--","--","--"
"0 to 4","Fall","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Fall","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Fall","2023","North Dakota","--","49,307","--","--","--"
"0 to 4","Fall","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Fall","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Fall","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Fire/Flame","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Fire/Flame","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Fire/Flame","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Fire/Flame","2023","California","--","2,097,790","--","--","--"
"0 to 4","Fire/Flame","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Fire/Flame","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Fire/Flame","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Fire/Flame","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Fire/Flame","2023","Kansas","--","174,988","--","--","--"
